logT,logR_-8.0,logR_-7.5,logR_-7.0,logR_-6.5,logR_-6.0,logR_-5.5,logR_-5.0,logR_-4.5,logR_-4.0,logR_-3.5,logR_-3.0,logR_-2.5,logR_-2.0,logR_-1.5,logR_-1.0,logR_-0.5,logR_0.0,logR_0.5,logR_1.0
3.75,-1.181,-1.296,-1.453,-1.643,-1.85,-2.064,-2.277,-2.479,-2.652,-2.769,-2.795,-2.715,-2.559,-2.353,-2.116,-1.855,-1.565,-1.236,-0.867
3.8,-1.071,-1.102,-1.135,-1.207,-1.322,-1.471,-1.634,-1.796,-1.936,-2.025,-2.04,-1.976,-1.84,-1.659,-1.454,-1.231,-0.992,-0.733,-0.448
3.85,-1.085,-1.079,-1.073,-1.067,-1.065,-1.079,-1.12,-1.18,-1.238,-1.271,-1.263,-1.205,-1.101,-0.959,-0.789,-0.599,-0.392,-0.167,0.078
3.9,-1.093,-1.083,-1.073,-1.054,-1.019,-0.955,-0.863,-0.759,-0.664,-0.586,-0.516,-0.444,-0.358,-0.252,-0.124,0.027,0.199,0.392,0.606
3.95,-1.069,-1.071,-1.073,-1.06,-1.025,-0.95,-0.813,-0.609,-0.356,-0.11,0.086,0.227,0.335,0.432,0.533,0.647,0.78,0.936,1.115
4.0,-0.879,-0.933,-0.995,-1.028,-1.022,-0.963,-0.831,-0.605,-0.29,0.077,0.422,0.691,0.882,1.016,1.122,1.221,1.328,1.451,1.595
4.05,-0.777,-0.801,-0.826,-0.87,-0.913,-0.914,-0.829,-0.631,-0.317,0.081,0.507,0.899,1.213,1.434,1.589,1.706,1.809,1.914,2.032
4.1,-0.777,-0.775,-0.773,-0.769,-0.763,-0.746,-0.695,-0.569,-0.327,0.032,0.464,0.915,1.329,1.665,1.911,2.081,2.208,2.317,2.422
4.15,-0.773,-0.764,-0.755,-0.743,-0.718,-0.659,-0.548,-0.386,-0.179,0.088,0.441,0.866,1.319,1.746,2.093,2.347,2.525,2.659,2.77
4.2,-0.778,-0.764,-0.75,-0.729,-0.698,-0.636,-0.511,-0.302,-0.027,0.267,0.565,0.903,1.309,1.752,2.172,2.52,2.769,2.947,3.084
4.25,-0.779,-0.766,-0.753,-0.731,-0.696,-0.631,-0.508,-0.302,-0.004,0.356,0.724,1.065,1.408,1.79,2.216,2.623,2.948,3.187,3.365
4.3,-0.773,-0.762,-0.751,-0.731,-0.695,-0.631,-0.512,-0.31,-0.015,0.362,0.785,1.203,1.58,1.934,2.315,2.716,3.089,3.387,3.612
4.35,-0.752,-0.747,-0.742,-0.724,-0.688,-0.627,-0.515,-0.323,-0.032,0.353,0.797,1.259,1.706,2.114,2.487,2.858,3.234,3.569,3.833
4.4,-0.646,-0.671,-0.698,-0.701,-0.672,-0.61,-0.503,-0.322,-0.041,0.346,0.802,1.288,1.777,2.24,2.667,3.051,3.415,3.756,4.046
4.45,-0.593,-0.602,-0.611,-0.623,-0.618,-0.572,-0.469,-0.293,-0.019,0.361,0.82,1.319,1.827,2.33,2.808,3.237,3.621,3.963,4.258
4.5,-0.595,-0.582,-0.569,-0.539,-0.488,-0.422,-0.33,-0.179,0.066,0.422,0.866,1.362,1.877,2.4,2.909,3.386,3.811,4.171,4.469
4.55,-0.598,-0.582,-0.567,-0.535,-0.465,-0.344,-0.176,0.013,0.241,0.55,0.954,1.427,1.935,2.462,2.985,3.491,3.957,4.346,4.657
4.6,-0.598,-0.582,-0.567,-0.535,-0.471,-0.347,-0.132,0.157,0.467,0.776,1.122,1.538,2.015,2.526,3.048,3.567,4.054,4.471,4.794
4.65,-0.595,-0.583,-0.571,-0.542,-0.485,-0.37,-0.162,0.155,0.56,0.971,1.344,1.712,2.128,2.6,3.103,3.617,4.111,4.543,4.879
4.7,-0.592,-0.581,-0.57,-0.547,-0.497,-0.396,-0.205,0.096,0.503,0.98,1.458,1.883,2.275,2.694,3.16,3.654,4.143,4.577,4.92
4.75,-0.589,-0.579,-0.569,-0.546,-0.504,-0.416,-0.248,0.027,0.411,0.877,1.392,1.91,2.375,2.794,3.223,3.687,4.157,4.586,4.931
4.8,-0.587,-0.576,-0.565,-0.546,-0.508,-0.43,-0.28,-0.033,0.323,0.768,1.269,1.807,2.345,2.835,3.277,3.715,4.162,4.58,4.925
4.85,-0.588,-0.572,-0.557,-0.537,-0.5,-0.433,-0.299,-0.073,0.257,0.681,1.17,1.698,2.248,2.793,3.289,3.736,4.17,4.574,4.916
4.9,-0.579,-0.563,-0.548,-0.525,-0.489,-0.427,-0.308,-0.101,0.211,0.619,1.098,1.62,2.168,2.727,3.259,3.739,4.177,4.571,4.91
4.95,-0.572,-0.553,-0.535,-0.509,-0.47,-0.407,-0.294,-0.101,0.194,0.592,1.064,1.581,2.131,2.687,3.227,3.732,4.184,4.576,4.906
5.0,-0.548,-0.534,-0.52,-0.491,-0.447,-0.381,-0.27,-0.087,0.197,0.587,1.056,1.575,2.124,2.679,3.216,3.73,4.191,4.583,4.897
5.05,-0.508,-0.495,-0.482,-0.458,-0.415,-0.342,-0.227,-0.047,0.229,0.609,1.075,1.593,2.142,2.696,3.232,3.741,4.198,4.581,4.868
5.1,-0.461,-0.448,-0.435,-0.41,-0.37,-0.297,-0.176,0.008,0.28,0.654,1.113,1.627,2.175,2.724,3.255,3.752,4.194,4.555,4.804
5.15,-0.444,-0.417,-0.392,-0.358,-0.315,-0.242,-0.119,0.072,0.347,0.714,1.164,1.669,2.207,2.744,3.262,3.74,4.157,4.486,4.709
5.2,-0.446,-0.407,-0.371,-0.327,-0.269,-0.186,-0.057,0.139,0.416,0.78,1.22,1.711,2.226,2.736,3.227,3.677,4.069,4.374,4.586
5.25,-0.475,-0.425,-0.38,-0.326,-0.257,-0.158,-0.011,0.197,0.474,0.828,1.254,1.727,2.212,2.684,3.136,3.559,3.932,4.227,4.443
5.3,-0.54,-0.477,-0.422,-0.355,-0.277,-0.17,-0.011,0.213,0.499,0.847,1.254,1.702,2.156,2.588,3.002,3.403,3.766,4.064,4.289
5.35,-0.577,-0.527,-0.482,-0.418,-0.328,-0.21,-0.045,0.189,0.488,0.835,1.223,1.644,2.066,2.464,2.849,3.232,3.591,3.896,4.132
5.4,-0.602,-0.567,-0.535,-0.484,-0.405,-0.285,-0.108,0.136,0.444,0.794,1.17,1.565,1.957,2.328,2.692,3.062,3.419,3.73,3.981
5.45,-0.615,-0.594,-0.574,-0.537,-0.473,-0.367,-0.198,0.054,0.375,0.733,1.104,1.479,1.847,2.195,2.541,2.9,3.256,3.571,3.752
5.5,-0.617,-0.605,-0.593,-0.571,-0.527,-0.443,-0.292,-0.049,0.285,0.658,1.028,1.39,1.74,2.07,2.4,2.751,3.104,3.423,3.605
5.55,-0.618,-0.611,-0.604,-0.59,-0.561,-0.501,-0.379,-0.155,0.176,0.567,0.95,1.304,1.638,1.955,2.273,2.615,2.961,3.287,3.471
5.6,-0.617,-0.613,-0.609,-0.6,-0.58,-0.538,-0.444,-0.259,0.053,0.454,0.858,1.217,1.544,1.851,2.16,2.494,2.832,3.02,3.15
5.65,-0.617,-0.614,-0.611,-0.605,-0.591,-0.56,-0.489,-0.341,-0.071,0.321,0.748,1.128,1.456,1.758,2.06,2.384,2.716,2.902,3.032
5.7,-0.618,-0.615,-0.612,-0.607,-0.596,-0.572,-0.518,-0.401,-0.175,0.187,0.626,1.033,1.371,1.673,1.97,2.284,2.61,2.794,2.923
5.75,-0.618,-0.616,-0.614,-0.609,-0.6,-0.581,-0.538,-0.444,-0.257,0.066,0.5,0.929,1.285,1.592,1.888,2.196,2.501,2.678,2.804
