logT,logR_-8.0,logR_-7.5,logR_-7.0,logR_-6.5,logR_-6.0,logR_-5.5,logR_-5.0,logR_-4.5,logR_-4.0,logR_-3.5,logR_-3.0,logR_-2.5,logR_-2.0,logR_-1.5,logR_-1.0,logR_-0.5,logR_0.0,logR_0.5,logR_1.0
3.75,-4.439,-4.688,-5.336,-5.472,-5.6,-5.719,-5.83,-5.934,-6.026,-6.1,-6.144,-6.148,-6.121,-6.072,-6.012,-5.946,-5.876,-5.801,-5.723
3.8,-4.292,-4.39,-4.515,-4.692,-4.858,-5.013,-5.157,-5.291,-5.413,-5.517,-5.593,-5.627,-5.615,-5.569,-5.502,-5.423,-5.336,-5.243,-5.144
3.85,-3.399,-3.506,-3.648,-3.86,-4.063,-4.255,-4.435,-4.603,-4.758,-4.897,-5.006,-5.069,-5.08,-5.039,-4.963,-4.868,-4.76,-4.642,-4.514
3.9,-2.535,-2.647,-2.797,-3.029,-3.257,-3.476,-3.686,-3.886,-4.073,-4.243,-4.382,-4.476,-4.508,-4.471,-4.387,-4.272,-4.138,-3.991,-3.834
3.95,-1.76,-1.872,-2.023,-2.257,-2.492,-2.724,-2.951,-3.168,-3.375,-3.565,-3.725,-3.837,-3.883,-3.849,-3.756,-3.628,-3.477,-3.315,-3.143
4.0,-1.157,-1.26,-1.396,-1.595,-1.81,-2.031,-2.252,-2.465,-2.662,-2.839,-2.982,-3.076,-3.108,-3.078,-2.995,-2.883,-2.756,-2.615,-2.459
4.05,-0.934,-0.995,-1.065,-1.149,-1.279,-1.441,-1.615,-1.784,-1.935,-2.059,-2.15,-2.203,-2.215,-2.19,-2.138,-2.067,-1.984,-1.888,-1.775
4.1,-0.989,-0.995,-1.001,-1.007,-1.023,-1.057,-1.11,-1.172,-1.231,-1.279,-1.31,-1.324,-1.322,-1.307,-1.281,-1.245,-1.2,-1.146,-1.079
4.15,-1.003,-0.999,-0.995,-0.991,-0.978,-0.943,-0.874,-0.778,-0.688,-0.621,-0.577,-0.548,-0.527,-0.509,-0.492,-0.473,-0.45,-0.423,-0.387
4.2,-1.001,-0.997,-0.993,-0.989,-0.975,-0.937,-0.845,-0.676,-0.449,-0.224,-0.054,0.057,0.124,0.165,0.191,0.21,0.226,0.244,0.267
4.25,-1.001,-0.997,-0.993,-0.989,-0.978,-0.945,-0.864,-0.702,-0.447,-0.126,0.191,0.439,0.603,0.702,0.761,0.798,0.824,0.845,0.867
4.3,-1.001,-0.997,-0.993,-0.989,-0.98,-0.953,-0.885,-0.744,-0.509,-0.18,0.206,0.582,0.884,1.089,1.215,1.292,1.34,1.374,1.401
4.35,-0.972,-0.977,-0.982,-0.987,-0.982,-0.96,-0.902,-0.78,-0.571,-0.262,0.131,0.564,0.976,1.309,1.54,1.686,1.775,1.833,1.874
4.4,-0.795,-0.838,-0.886,-0.94,-0.961,-0.954,-0.91,-0.807,-0.622,-0.335,0.049,0.495,0.957,1.387,1.732,1.972,2.127,2.225,2.289
4.45,-0.659,-0.699,-0.743,-0.792,-0.853,-0.897,-0.892,-0.817,-0.655,-0.389,-0.017,0.43,0.911,1.392,1.817,2.156,2.395,2.55,2.651
4.5,-0.727,-0.708,-0.689,-0.671,-0.639,-0.61,-0.58,-0.52,-0.391,-0.18,0.104,0.464,0.906,1.39,1.85,2.262,2.586,2.81,2.961
4.55,-0.736,-0.711,-0.688,-0.666,-0.609,-0.501,-0.349,-0.199,-0.048,0.136,0.371,0.646,1.001,1.43,1.887,2.332,2.718,3.016,3.221
4.6,-0.73,-0.709,-0.689,-0.67,-0.62,-0.513,-0.304,-0.012,0.282,0.53,0.751,0.979,1.241,1.57,1.971,2.407,2.826,3.179,3.438
4.65,-0.724,-0.707,-0.69,-0.674,-0.634,-0.541,-0.358,-0.044,0.381,0.794,1.117,1.366,1.59,1.838,2.15,2.528,2.936,3.316,3.614
4.7,-0.715,-0.702,-0.69,-0.678,-0.644,-0.567,-0.41,-0.14,0.266,0.778,1.274,1.661,1.942,2.178,2.427,2.726,3.085,3.461,3.779
4.75,-0.711,-0.699,-0.688,-0.677,-0.65,-0.586,-0.451,-0.218,0.135,0.61,1.168,1.715,2.155,2.474,2.733,2.993,3.287,3.624,3.931
