logT,logR_-8.0,logR_-7.5,logR_-7.0,logR_-6.5,logR_-6.0,logR_-5.5,logR_-5.0,logR_-4.5,logR_-4.0,logR_-3.5,logR_-3.0,logR_-2.5,logR_-2.0,logR_-1.5,logR_-1.0,logR_-0.5,logR_0.0,logR_0.5,logR_1.0
3.75,-4.354,-4.533,-4.843,-4.85,-4.855,-4.859,-4.865,-4.878,-4.905,-4.947,-4.993,-5.011,-4.971,-4.863,-4.693,-4.475,-4.215,-3.904,-3.53
3.8,-4.262,-4.345,-4.447,-4.581,-4.679,-4.739,-4.767,-4.779,-4.784,-4.785,-4.785,-4.776,-4.736,-4.637,-4.46,-4.206,-3.901,-3.576,-3.237
3.85,-3.391,-3.496,-3.635,-3.841,-4.034,-4.211,-4.367,-4.496,-4.59,-4.641,-4.648,-4.609,-4.523,-4.38,-4.181,-3.931,-3.628,-3.28,-2.913
3.9,-2.527,-2.638,-2.788,-3.018,-3.241,-3.456,-3.66,-3.851,-4.026,-4.178,-4.29,-4.338,-4.295,-4.151,-3.921,-3.633,-3.317,-2.987,-2.634
3.95,-1.756,-1.867,-2.017,-2.248,-2.479,-2.706,-2.925,-3.135,-3.333,-3.513,-3.66,-3.753,-3.767,-3.685,-3.518,-3.28,-2.988,-2.667,-2.338
4.0,-1.154,-1.256,-1.391,-1.587,-1.798,-2.015,-2.229,-2.433,-2.621,-2.786,-2.915,-2.99,-2.999,-2.932,-2.801,-2.632,-2.434,-2.208,-1.953
4.05,-0.929,-0.989,-1.059,-1.142,-1.27,-1.428,-1.597,-1.759,-1.901,-2.015,-2.094,-2.132,-2.122,-2.069,-1.978,-1.858,-1.716,-1.555,-1.37
4.1,-0.985,-0.989,-0.993,-0.997,-1.012,-1.043,-1.092,-1.149,-1.201,-1.239,-1.259,-1.258,-1.238,-1.198,-1.138,-1.06,-0.962,-0.844,-0.706
4.15,-0.997,-0.99,-0.983,-0.976,-0.961,-0.925,-0.853,-0.754,-0.658,-0.583,-0.528,-0.485,-0.445,-0.405,-0.358,-0.302,-0.234,-0.15,-0.049
4.2,-1.0,-0.99,-0.981,-0.972,-0.953,-0.911,-0.816,-0.644,-0.413,-0.184,-0.007,0.115,0.197,0.259,0.313,0.367,0.424,0.489,0.565
4.25,-0.999,-0.991,-0.983,-0.975,-0.958,-0.917,-0.828,-0.659,-0.399,-0.076,0.242,0.493,0.665,0.778,0.859,0.923,0.982,1.042,1.105
4.3,-0.994,-0.988,-0.982,-0.976,-0.963,-0.929,-0.85,-0.697,-0.452,-0.12,0.263,0.634,0.935,1.145,1.283,1.377,1.448,1.51,1.568
4.35,-0.965,-0.967,-0.969,-0.971,-0.962,-0.936,-0.869,-0.735,-0.51,-0.19,0.203,0.627,1.03,1.36,1.594,1.747,1.847,1.92,1.978
4.4,-0.787,-0.827,-0.872,-0.922,-0.939,-0.928,-0.877,-0.764,-0.565,-0.263,0.127,0.568,1.018,1.439,1.78,2.02,2.177,2.28,2.352
4.45,-0.653,-0.69,-0.731,-0.776,-0.831,-0.868,-0.856,-0.772,-0.6,-0.322,0.057,0.501,0.972,1.444,1.863,2.197,2.433,2.588,2.69
4.5,-0.718,-0.696,-0.675,-0.655,-0.621,-0.588,-0.553,-0.486,-0.351,-0.132,0.162,0.53,0.969,1.444,1.897,2.302,2.619,2.839,2.986
4.55,-0.723,-0.697,-0.673,-0.65,-0.589,-0.48,-0.328,-0.175,-0.02,0.168,0.408,0.691,1.05,1.478,1.932,2.371,2.749,3.038,3.238
4.6,-0.724,-0.698,-0.674,-0.651,-0.598,-0.487,-0.279,0.009,0.301,0.551,0.775,1.007,1.275,1.609,2.011,2.443,2.853,3.198,3.451
4.65,-0.719,-0.697,-0.676,-0.656,-0.612,-0.513,-0.324,-0.011,0.405,0.81,1.132,1.383,1.611,1.864,2.18,2.558,2.96,3.332,3.624
4.7,-0.704,-0.689,-0.675,-0.661,-0.622,-0.539,-0.372,-0.095,0.308,0.804,1.289,1.673,1.955,2.194,2.446,2.747,3.103,3.473,3.786
4.75,-0.702,-0.687,-0.673,-0.659,-0.628,-0.558,-0.415,-0.171,0.187,0.653,1.195,1.73,2.166,2.485,2.745,3.005,3.299,3.633,3.937
4.8,-0.694,-0.681,-0.669,-0.657,-0.63,-0.57,-0.446,-0.23,0.095,0.524,1.036,1.604,2.163,2.63,2.985,3.268,3.532,3.816,4.093
4.85,-0.693,-0.678,-0.664,-0.65,-0.623,-0.571,-0.464,-0.271,0.027,0.433,0.922,1.47,2.052,2.618,3.092,3.461,3.755,4.018,4.26
4.9,-0.7,-0.679,-0.659,-0.64,-0.613,-0.565,-0.47,-0.296,-0.018,0.373,0.851,1.384,1.958,2.549,3.097,3.552,3.915,4.198,4.424
4.95,-0.712,-0.684,-0.657,-0.632,-0.598,-0.548,-0.459,-0.297,-0.032,0.349,0.823,1.35,1.921,2.509,3.071,3.58,4.006,4.332,4.574
5.0,-0.718,-0.686,-0.656,-0.628,-0.586,-0.528,-0.438,-0.283,-0.028,0.35,0.82,1.351,1.922,2.505,3.065,3.592,4.054,4.419,4.689
5.05,-0.698,-0.671,-0.646,-0.622,-0.578,-0.507,-0.406,-0.248,0.006,0.379,0.852,1.383,1.953,2.534,3.089,3.615,4.085,4.47,4.752
5.1,-0.677,-0.654,-0.632,-0.611,-0.567,-0.492,-0.377,-0.207,0.052,0.428,0.9,1.432,2.002,2.577,3.13,3.646,4.105,4.484,4.758
5.15,-0.667,-0.642,-0.619,-0.597,-0.558,-0.481,-0.355,-0.168,0.105,0.487,0.961,1.489,2.051,2.616,3.16,3.66,4.098,4.453,4.703
5.2,-0.666,-0.639,-0.614,-0.59,-0.55,-0.475,-0.342,-0.138,0.152,0.542,1.015,1.537,2.082,2.625,3.15,3.627,4.041,4.37,4.603
5.25,-0.671,-0.644,-0.619,-0.595,-0.553,-0.478,-0.342,-0.129,0.173,0.568,1.034,1.539,2.057,2.574,3.073,3.53,3.926,4.241,4.472
5.3,-0.703,-0.669,-0.638,-0.609,-0.568,-0.496,-0.362,-0.146,0.161,0.55,0.999,1.479,1.971,2.461,2.938,3.382,3.77,4.084,4.322
5.35,-0.709,-0.682,-0.657,-0.633,-0.591,-0.52,-0.393,-0.181,0.12,0.495,0.921,1.374,1.839,2.308,2.771,3.208,3.595,3.917,4.165
5.4,-0.709,-0.69,-0.671,-0.653,-0.619,-0.554,-0.432,-0.229,0.059,0.415,0.816,1.243,1.686,2.14,2.594,3.027,3.418,3.749,4.008
5.45,-0.71,-0.696,-0.683,-0.67,-0.643,-0.588,-0.479,-0.287,-0.012,0.324,0.702,1.107,1.532,1.973,2.42,2.852,3.247,3.584,3.858
5.5,-0.704,-0.696,-0.688,-0.68,-0.66,-0.617,-0.525,-0.355,-0.096,0.226,0.584,0.972,1.383,1.813,2.255,2.686,3.084,3.428,3.618
5.55,-0.704,-0.698,-0.692,-0.686,-0.671,-0.639,-0.566,-0.42,-0.185,0.125,0.473,0.847,1.245,1.665,2.1,2.53,2.93,3.28,3.471
5.6,-0.701,-0.697,-0.693,-0.689,-0.678,-0.653,-0.596,-0.478,-0.272,0.02,0.363,0.731,1.119,1.53,1.958,2.385,2.784,3.143,3.337
5.65,-0.703,-0.699,-0.695,-0.691,-0.683,-0.664,-0.617,-0.521,-0.348,-0.082,0.254,0.62,1.003,1.405,1.827,2.252,2.649,2.853,2.991
5.7,-0.699,-0.697,-0.695,-0.693,-0.686,-0.669,-0.632,-0.553,-0.406,-0.169,0.153,0.516,0.894,1.291,1.707,2.126,2.524,2.728,2.866
5.75,-0.7,-0.698,-0.696,-0.694,-0.688,-0.675,-0.644,-0.578,-0.454,-0.244,0.057,0.415,0.791,1.184,1.595,2.011,2.397,2.598,2.735
5.8,-0.698,-0.697,-0.696,-0.695,-0.69,-0.679,-0.653,-0.598,-0.491,-0.305,-0.024,0.324,0.697,1.087,1.493,1.903,2.278,2.476,2.612
5.85,-0.698,-0.697,-0.696,-0.695,-0.691,-0.682,-0.659,-0.612,-0.519,-0.354,-0.094,0.243,0.614,1.0,1.4,1.8,2.167,2.363,2.498
5.9,-0.698,-0.697,-0.696,-0.695,-0.692,-0.684,-0.665,-0.624,-0.543,-0.394,-0.153,0.172,0.541,0.925,1.315,1.702,2.055,2.247,2.38
5.95,-0.695,-0.695,-0.695,-0.695,-0.692,-0.685,-0.669,-0.634,-0.562,-0.427,-0.202,0.111,0.478,0.858,1.236,1.609,1.945,2.132,2.263
6.0,-0.699,-0.697,-0.695,-0.693,-0.691,-0.685,-0.671,-0.641,-0.576,-0.454,-0.244,0.06,0.422,0.796,1.16,1.515,1.838,2.021,2.15
6.1,-0.702,-0.699,-0.696,-0.693,-0.689,-0.682,-0.669,-0.644,-0.592,-0.49,-0.308,-0.03,0.313,0.664,1.003,1.326,1.641,1.822,1.949
6.2,-0.702,-0.7,-0.698,-0.696,-0.693,-0.686,-0.672,-0.645,-0.595,-0.504,-0.343,-0.097,0.207,0.522,0.834,1.143,1.473,1.658,1.788
6.3,-0.698,-0.698,-0.698,-0.698,-0.696,-0.692,-0.683,-0.661,-0.613,-0.524,-0.375,-0.16,0.098,0.378,0.667,0.98,1.37,1.572,1.709
6.4,-0.699,-0.699,-0.699,-0.699,-0.698,-0.695,-0.689,-0.675,-0.64,-0.566,-0.434,-0.245,-0.017,0.238,0.517,0.862,1.286,1.496,1.638
