logT,logR_-8.0,logR_-7.5,logR_-7.0,logR_-6.5,logR_-6.0,logR_-5.5,logR_-5.0,logR_-4.5,logR_-4.0,logR_-3.5,logR_-3.0,logR_-2.5,logR_-2.0,logR_-1.5,logR_-1.0,logR_-0.5,logR_0.0,logR_0.5,logR_1.0
3.75,-0.401,-0.838,-1.038,-1.25,-1.466,-1.679,-1.876,-2.036,-2.13,-2.124,-2.025,-1.864,-1.666,-1.452,-1.229,-0.998,-0.761,-0.517,-0.268
3.8,-0.401,-0.476,-0.566,-0.697,-0.853,-1.019,-1.178,-1.305,-1.374,-1.368,-1.284,-1.139,-0.962,-0.768,-0.564,-0.351,-0.127,0.105,0.345
3.85,-0.396,-0.393,-0.39,-0.393,-0.415,-0.464,-0.526,-0.579,-0.604,-0.584,-0.515,-0.405,-0.263,-0.101,0.074,0.262,0.462,0.675,0.901
3.9,-0.407,-0.388,-0.37,-0.33,-0.255,-0.151,-0.045,0.043,0.114,0.179,0.25,0.335,0.437,0.559,0.698,0.852,1.021,1.207,1.41
3.95,-0.409,-0.391,-0.374,-0.334,-0.244,-0.084,0.147,0.41,0.641,0.812,0.933,1.028,1.114,1.206,1.308,1.425,1.56,1.714,1.887
4.0,-0.406,-0.393,-0.38,-0.346,-0.265,-0.105,0.153,0.496,0.867,1.191,1.427,1.591,1.705,1.794,1.877,1.967,2.072,2.195,2.339
4.05,-0.403,-0.393,-0.383,-0.356,-0.288,-0.145,0.099,0.447,0.865,1.291,1.671,1.956,2.144,2.273,2.37,2.455,2.542,2.644,2.766
4.1,-0.398,-0.39,-0.382,-0.361,-0.304,-0.182,0.038,0.363,0.777,1.237,1.702,2.104,2.413,2.626,2.768,2.874,2.965,3.058,3.166
4.15,-0.393,-0.386,-0.379,-0.361,-0.314,-0.21,-0.018,0.277,0.671,1.132,1.622,2.104,2.525,2.845,3.066,3.219,3.334,3.435,3.539
4.2,-0.394,-0.384,-0.374,-0.356,-0.316,-0.227,-0.06,0.207,0.578,1.03,1.529,2.044,2.532,2.954,3.274,3.494,3.653,3.776,3.886
4.25,-0.394,-0.382,-0.37,-0.351,-0.313,-0.233,-0.084,0.159,0.509,0.953,1.452,1.98,2.499,2.996,3.404,3.705,3.921,4.082,4.208
4.3,-0.399,-0.382,-0.366,-0.343,-0.306,-0.233,-0.096,0.132,0.469,0.904,1.404,1.933,2.472,3.008,3.481,3.864,4.143,4.35,4.51
4.35,-0.4,-0.381,-0.363,-0.334,-0.292,-0.222,-0.093,0.125,0.456,0.889,1.383,1.911,2.466,3.019,3.538,3.984,4.327,4.58,4.779
4.4,-0.402,-0.382,-0.363,-0.329,-0.277,-0.202,-0.077,0.134,0.461,0.895,1.392,1.925,2.473,3.044,3.593,4.084,4.482,4.78,5.009
4.45,-0.402,-0.384,-0.367,-0.33,-0.268,-0.179,-0.047,0.165,0.491,0.926,1.428,1.963,2.516,3.09,3.653,4.174,4.612,4.95,5.203
