logT,logR_-8.0,logR_-7.5,logR_-7.0,logR_-6.5,logR_-6.0,logR_-5.5,logR_-5.0,logR_-4.5,logR_-4.0,logR_-3.5,logR_-3.0,logR_-2.5,logR_-2.0,logR_-1.5,logR_-1.0,logR_-0.5,logR_0.0,logR_0.5,logR_1.0
3.75,-4.056,-4.127,-4.212,-4.214,-4.219,-4.23,-4.255,-4.304,-4.374,-4.444,-4.488,-4.495,-4.457,-4.352,-4.15,-3.855,-3.481,-3.043,-2.561
3.8,-4.087,-4.108,-4.131,-4.155,-4.162,-4.164,-4.165,-4.169,-4.181,-4.209,-4.25,-4.278,-4.246,-4.103,-3.843,-3.515,-3.168,-2.802,-2.397
3.85,-3.363,-3.461,-3.586,-3.763,-3.907,-4.01,-4.067,-4.088,-4.091,-4.083,-4.069,-4.042,-3.973,-3.82,-3.562,-3.22,-2.841,-2.467,-2.103
3.9,-2.519,-2.628,-2.775,-2.998,-3.212,-3.412,-3.593,-3.749,-3.868,-3.936,-3.942,-3.882,-3.747,-3.525,-3.232,-2.904,-2.549,-2.172,-1.794
3.95,-1.749,-1.859,-2.008,-2.236,-2.462,-2.683,-2.893,-3.092,-3.275,-3.433,-3.543,-3.572,-3.482,-3.259,-2.941,-2.587,-2.231,-1.876,-1.511
4.0,-1.149,-1.251,-1.384,-1.577,-1.785,-1.997,-2.204,-2.399,-2.576,-2.728,-2.839,-2.888,-2.853,-2.721,-2.505,-2.229,-1.907,-1.564,-1.216
4.05,-0.924,-0.983,-1.051,-1.132,-1.257,-1.41,-1.573,-1.727,-1.861,-1.964,-2.029,-2.048,-2.013,-1.925,-1.79,-1.614,-1.401,-1.148,-0.858
4.1,-0.976,-0.979,-0.982,-0.985,-0.997,-1.025,-1.068,-1.118,-1.162,-1.189,-1.196,-1.179,-1.139,-1.074,-0.982,-0.861,-0.712,-0.536,-0.331
4.15,-0.986,-0.976,-0.967,-0.958,-0.941,-0.902,-0.825,-0.72,-0.615,-0.529,-0.462,-0.404,-0.349,-0.288,-0.215,-0.124,-0.013,0.121,0.274
4.2,-0.997,-0.981,-0.965,-0.95,-0.925,-0.878,-0.778,-0.599,-0.361,-0.123,0.065,0.2,0.298,0.379,0.455,0.537,0.628,0.733,0.851
4.25,-0.996,-0.982,-0.969,-0.956,-0.932,-0.882,-0.782,-0.604,-0.335,-0.005,0.319,0.58,0.765,0.898,1.0,1.091,1.179,1.27,1.366
4.3,-0.985,-0.975,-0.966,-0.957,-0.938,-0.895,-0.803,-0.634,-0.374,-0.033,0.353,0.726,1.033,1.256,1.415,1.535,1.635,1.726,1.814
4.35,-0.954,-0.952,-0.95,-0.948,-0.935,-0.902,-0.824,-0.673,-0.428,-0.09,0.311,0.733,1.133,1.464,1.708,1.88,2.004,2.105,2.192
4.4,-0.775,-0.812,-0.853,-0.898,-0.909,-0.891,-0.831,-0.704,-0.484,-0.161,0.244,0.687,1.132,1.545,1.885,2.132,2.302,2.423,2.516
4.45,-0.642,-0.677,-0.714,-0.755,-0.802,-0.828,-0.804,-0.707,-0.517,-0.219,0.177,0.628,1.096,1.556,1.967,2.298,2.535,2.695,2.808
4.5,-0.711,-0.684,-0.659,-0.635,-0.597,-0.557,-0.511,-0.433,-0.287,-0.058,0.254,0.641,1.089,1.559,2.004,2.397,2.706,2.923,3.071
4.55,-0.718,-0.686,-0.656,-0.628,-0.563,-0.45,-0.294,-0.134,0.029,0.223,0.47,0.771,1.148,1.584,2.034,2.462,2.829,3.109,3.302
4.6,-0.718,-0.686,-0.656,-0.628,-0.569,-0.452,-0.241,0.045,0.337,0.59,0.819,1.06,1.344,1.694,2.103,2.529,2.929,3.26,3.501
4.65,-0.714,-0.686,-0.659,-0.634,-0.583,-0.476,-0.278,0.038,0.444,0.841,1.163,1.42,1.657,1.924,2.252,2.634,3.029,3.387,3.664
4.7,-0.699,-0.678,-0.658,-0.639,-0.594,-0.502,-0.324,-0.035,0.369,0.85,1.321,1.7,1.987,2.233,2.496,2.806,3.162,3.52,3.819
4.75,-0.694,-0.675,-0.656,-0.638,-0.6,-0.522,-0.367,-0.108,0.262,0.725,1.249,1.765,2.192,2.512,2.777,3.045,3.342,3.669,3.962
4.8,-0.686,-0.669,-0.652,-0.636,-0.603,-0.534,-0.398,-0.168,0.17,0.605,1.108,1.657,2.197,2.654,3.007,3.292,3.559,3.841,4.111
4.85,-0.683,-0.664,-0.645,-0.627,-0.595,-0.536,-0.416,-0.208,0.104,0.515,1.001,1.536,2.099,2.647,3.112,3.477,3.77,4.033,4.272
4.9,-0.681,-0.658,-0.636,-0.615,-0.584,-0.529,-0.423,-0.235,0.058,0.454,0.928,1.453,2.011,2.583,3.119,3.566,3.924,4.206,4.432
4.95,-0.687,-0.656,-0.627,-0.6,-0.565,-0.509,-0.409,-0.234,0.043,0.429,0.897,1.416,1.974,2.545,3.094,3.593,4.013,4.336,4.578
5.0,-0.681,-0.647,-0.616,-0.587,-0.543,-0.483,-0.385,-0.218,0.047,0.426,0.892,1.414,1.971,2.539,3.087,3.606,4.061,4.423,4.691
5.05,-0.642,-0.614,-0.587,-0.562,-0.518,-0.448,-0.342,-0.177,0.083,0.453,0.917,1.439,1.998,2.564,3.109,3.627,4.091,4.472,4.753
5.1,-0.599,-0.573,-0.549,-0.526,-0.483,-0.41,-0.295,-0.122,0.137,0.503,0.962,1.482,2.041,2.605,3.147,3.655,4.11,4.486,4.759
5.15,-0.583,-0.548,-0.516,-0.486,-0.442,-0.368,-0.246,-0.062,0.205,0.569,1.023,1.536,2.087,2.641,3.175,3.668,4.102,4.455,4.704
5.2,-0.591,-0.544,-0.501,-0.462,-0.409,-0.327,-0.196,-0.0,0.275,0.641,1.088,1.592,2.123,2.652,3.165,3.634,4.044,4.372,4.604
5.25,-0.617,-0.56,-0.51,-0.465,-0.402,-0.309,-0.163,0.048,0.33,0.693,1.131,1.617,2.118,2.614,3.094,3.54,3.93,4.243,4.472
5.3,-0.688,-0.612,-0.548,-0.492,-0.423,-0.325,-0.17,0.057,0.352,0.712,1.132,1.592,2.061,2.521,2.968,3.395,3.776,4.087,4.323
5.35,-0.719,-0.653,-0.595,-0.544,-0.468,-0.362,-0.203,0.032,0.338,0.696,1.097,1.529,1.965,2.391,2.813,3.226,3.603,3.921,4.166
5.4,-0.725,-0.678,-0.635,-0.596,-0.531,-0.427,-0.261,-0.019,0.293,0.65,1.035,1.439,1.845,2.245,2.648,3.051,3.429,3.753,4.011
5.45,-0.726,-0.694,-0.664,-0.636,-0.584,-0.494,-0.338,-0.094,0.227,0.584,0.957,1.34,1.721,2.099,2.487,2.883,3.261,3.591,3.863
5.5,-0.714,-0.696,-0.678,-0.661,-0.626,-0.555,-0.419,-0.189,0.136,0.503,0.87,1.236,1.6,1.961,2.336,2.725,3.103,3.437,3.624
5.55,-0.709,-0.697,-0.686,-0.675,-0.651,-0.6,-0.493,-0.288,0.026,0.404,0.78,1.137,1.487,1.834,2.197,2.579,2.954,3.293,3.481
5.6,-0.703,-0.696,-0.689,-0.682,-0.665,-0.629,-0.546,-0.38,-0.095,0.283,0.676,1.039,1.381,1.72,2.072,2.447,2.815,3.163,3.354
5.65,-0.701,-0.696,-0.691,-0.686,-0.674,-0.646,-0.582,-0.45,-0.21,0.149,0.558,0.938,1.284,1.616,1.961,2.327,2.689,2.884,3.018
5.7,-0.7,-0.696,-0.692,-0.688,-0.678,-0.656,-0.606,-0.501,-0.301,0.024,0.434,0.836,1.19,1.522,1.86,2.216,2.574,2.768,2.901
5.75,-0.699,-0.696,-0.693,-0.69,-0.682,-0.664,-0.624,-0.538,-0.371,-0.084,0.312,0.728,1.096,1.431,1.766,2.116,2.458,2.647,2.778
5.8,-0.7,-0.697,-0.694,-0.691,-0.684,-0.669,-0.635,-0.564,-0.422,-0.169,0.204,0.623,1.003,1.344,1.679,2.024,2.353,2.538,2.667
5.85,-0.698,-0.696,-0.694,-0.692,-0.686,-0.673,-0.643,-0.582,-0.459,-0.234,0.114,0.528,0.917,1.264,1.6,1.938,2.256,2.438,2.565
5.9,-0.698,-0.696,-0.694,-0.692,-0.687,-0.676,-0.651,-0.597,-0.488,-0.284,0.041,0.444,0.84,1.195,1.532,1.859,2.16,2.336,2.461
5.95,-0.697,-0.695,-0.693,-0.691,-0.687,-0.677,-0.656,-0.608,-0.511,-0.325,-0.021,0.372,0.773,1.137,1.473,1.787,2.067,2.236,2.357
6.0,-0.694,-0.692,-0.69,-0.688,-0.684,-0.676,-0.657,-0.616,-0.528,-0.358,-0.071,0.312,0.716,1.088,1.421,1.716,1.974,2.135,2.252
6.1,-0.701,-0.696,-0.691,-0.686,-0.678,-0.667,-0.649,-0.614,-0.543,-0.401,-0.145,0.219,0.624,0.999,1.311,1.56,1.797,1.949,2.062
6.2,-0.704,-0.7,-0.696,-0.692,-0.685,-0.67,-0.645,-0.603,-0.531,-0.403,-0.174,0.162,0.543,0.888,1.158,1.381,1.618,1.77,1.883
6.3,-0.702,-0.7,-0.698,-0.696,-0.693,-0.686,-0.667,-0.624,-0.542,-0.4,-0.175,0.132,0.458,0.743,0.973,1.192,1.493,1.669,1.794
6.4,-0.701,-0.7,-0.699,-0.698,-0.696,-0.692,-0.682,-0.657,-0.594,-0.458,-0.23,0.053,0.329,0.568,0.782,1.032,1.38,1.571,1.703
6.5,-0.699,-0.699,-0.699,-0.699,-0.697,-0.695,-0.688,-0.672,-0.63,-0.534,-0.345,-0.09,0.16,0.385,0.611,0.9,1.285,1.486,1.623
6.6,-0.7,-0.7,-0.7,-0.7,-0.699,-0.697,-0.692,-0.68,-0.649,-0.579,-0.438,-0.228,-0.0,0.22,0.466,0.788,1.182,1.385,1.523
6.7,-0.701,-0.701,-0.701,-0.701,-0.7,-0.698,-0.695,-0.685,-0.661,-0.608,-0.5,-0.332,-0.132,0.083,0.346,0.686,1.094,1.301,1.44
