logT,logR_-8.0,logR_-7.5,logR_-7.0,logR_-6.5,logR_-6.0,logR_-5.5,logR_-5.0,logR_-4.5,logR_-4.0,logR_-3.5,logR_-3.0,logR_-2.5,logR_-2.0,logR_-1.5,logR_-1.0,logR_-0.5,logR_0.0,logR_0.5,logR_1.0
3.75,-0.983,-1.106,-1.279,-1.476,-1.684,-1.891,-2.091,-2.268,-2.399,-2.444,-2.371,-2.192,-1.924,-1.583,-1.174,-0.719,-0.254,0.191,0.598
3.8,-0.801,-0.846,-0.896,-0.989,-1.122,-1.278,-1.44,-1.587,-1.693,-1.725,-1.674,-1.538,-1.34,-1.098,-0.816,-0.483,-0.084,0.368,0.827
3.85,-0.812,-0.802,-0.792,-0.785,-0.79,-0.818,-0.87,-0.927,-0.965,-0.964,-0.911,-0.806,-0.659,-0.476,-0.264,-0.019,0.267,0.613,1.018
3.9,-0.83,-0.807,-0.785,-0.751,-0.697,-0.619,-0.521,-0.42,-0.33,-0.249,-0.166,-0.072,0.043,0.182,0.348,0.542,0.766,1.029,1.337
3.95,-0.829,-0.811,-0.794,-0.76,-0.695,-0.582,-0.408,-0.176,0.08,0.305,0.477,0.608,0.723,0.841,0.973,1.129,1.311,1.523,1.769
4.0,-0.743,-0.758,-0.774,-0.761,-0.709,-0.597,-0.404,-0.12,0.231,0.592,0.902,1.135,1.304,1.439,1.563,1.696,1.847,2.023,2.224
4.05,-0.664,-0.672,-0.68,-0.69,-0.676,-0.599,-0.424,-0.138,0.243,0.669,1.084,1.44,1.711,1.909,2.063,2.199,2.335,2.483,2.649
4.1,-0.647,-0.638,-0.629,-0.614,-0.583,-0.518,-0.383,-0.142,0.214,0.646,1.104,1.544,1.922,2.215,2.432,2.598,2.741,2.878,3.021
4.15,-0.629,-0.611,-0.594,-0.573,-0.531,-0.445,-0.288,-0.057,0.248,0.629,1.07,1.538,1.988,2.373,2.67,2.89,3.059,3.201,3.333
4.2,-0.64,-0.608,-0.578,-0.539,-0.487,-0.397,-0.233,0.02,0.341,0.697,1.085,1.52,1.986,2.429,2.805,3.093,3.304,3.467,3.602
4.25,-0.642,-0.612,-0.584,-0.542,-0.477,-0.369,-0.198,0.051,0.379,0.76,1.157,1.563,1.993,2.442,2.87,3.224,3.491,3.691,3.845
4.3,-0.623,-0.598,-0.574,-0.537,-0.477,-0.371,-0.19,0.076,0.409,0.797,1.218,1.648,2.068,2.492,2.919,3.312,3.636,3.88,4.07
4.35,-0.596,-0.574,-0.553,-0.517,-0.46,-0.364,-0.197,0.064,0.413,0.82,1.259,1.71,2.158,2.587,2.998,3.396,3.755,4.047,4.274
4.4,-0.538,-0.527,-0.516,-0.485,-0.426,-0.332,-0.177,0.065,0.404,0.824,1.288,1.765,2.236,2.686,3.111,3.505,3.875,4.202,4.461
4.45,-0.505,-0.485,-0.466,-0.434,-0.374,-0.274,-0.117,0.115,0.435,0.841,1.309,1.81,2.305,2.781,3.225,3.634,4.013,4.354,4.639
4.5,-0.496,-0.463,-0.432,-0.378,-0.293,-0.172,-0.007,0.219,0.522,0.905,1.354,1.849,2.36,2.86,3.325,3.758,4.156,4.508,4.804
4.55,-0.494,-0.457,-0.423,-0.368,-0.273,-0.121,0.091,0.347,0.65,1.016,1.444,1.916,2.415,2.923,3.407,3.862,4.281,4.647,4.951
4.6,-0.499,-0.459,-0.422,-0.36,-0.265,-0.109,0.129,0.44,0.788,1.159,1.567,2.012,2.486,2.978,3.469,3.94,4.375,4.755,5.059
4.65,-0.492,-0.459,-0.428,-0.373,-0.277,-0.117,0.127,0.457,0.854,1.278,1.698,2.126,2.572,3.037,3.517,3.988,4.431,4.818,5.123
4.7,-0.487,-0.455,-0.425,-0.377,-0.292,-0.143,0.103,0.441,0.849,1.304,1.771,2.221,2.656,3.098,3.554,4.014,4.453,4.838,5.139
4.75,-0.488,-0.455,-0.424,-0.373,-0.293,-0.158,0.071,0.405,0.818,1.278,1.763,2.249,2.711,3.149,3.584,4.023,4.448,4.823,5.121
4.8,-0.481,-0.45,-0.421,-0.376,-0.297,-0.165,0.048,0.361,0.765,1.227,1.718,2.219,2.71,3.17,3.601,4.021,4.427,4.788,5.085
4.85,-0.468,-0.435,-0.404,-0.359,-0.286,-0.163,0.043,0.342,0.726,1.178,1.671,2.178,2.679,3.159,3.603,4.016,4.406,4.752,5.045
