logT,logR_-8.0,logR_-7.5,logR_-7.0,logR_-6.5,logR_-6.0,logR_-5.5,logR_-5.0,logR_-4.5,logR_-4.0,logR_-3.5,logR_-3.0,logR_-2.5,logR_-2.0,logR_-1.5,logR_-1.0,logR_-0.5,logR_0.0,logR_0.5,logR_1.0
3.75,-1.22,-1.372,-1.608,-1.776,-1.965,-2.161,-2.351,-2.524,-2.665,-2.747,-2.723,-2.567,-2.278,-1.882,-1.414,-0.921,-0.439,0.011,0.414
3.8,-1.273,-1.311,-1.353,-1.399,-1.489,-1.618,-1.769,-1.922,-2.056,-2.133,-2.12,-2.005,-1.795,-1.518,-1.186,-0.792,-0.323,0.183,0.666
3.85,-1.332,-1.318,-1.305,-1.292,-1.285,-1.29,-1.316,-1.363,-1.411,-1.43,-1.4,-1.308,-1.157,-0.959,-0.723,-0.446,-0.109,0.31,0.796
3.9,-1.368,-1.337,-1.308,-1.281,-1.244,-1.19,-1.113,-1.015,-0.908,-0.805,-0.705,-0.597,-0.473,-0.325,-0.149,0.06,0.307,0.608,0.98
3.95,-1.332,-1.316,-1.3,-1.285,-1.247,-1.178,-1.063,-0.889,-0.655,-0.394,-0.159,0.027,0.178,0.318,0.465,0.633,0.828,1.06,1.337
4.0,-1.022,-1.073,-1.13,-1.196,-1.215,-1.175,-1.063,-0.866,-0.577,-0.223,0.141,0.457,0.702,0.889,1.047,1.202,1.37,1.56,1.78
4.05,-0.823,-0.86,-0.901,-0.946,-1.003,-1.037,-0.999,-0.845,-0.563,-0.181,0.247,0.665,1.028,1.312,1.529,1.707,1.872,2.042,2.226
4.1,-0.845,-0.835,-0.826,-0.817,-0.805,-0.787,-0.746,-0.649,-0.454,-0.137,0.275,0.73,1.174,1.561,1.866,2.1,2.288,2.457,2.624
4.15,-0.829,-0.806,-0.784,-0.763,-0.729,-0.662,-0.542,-0.369,-0.162,0.08,0.386,0.775,1.223,1.671,2.06,2.365,2.598,2.785,2.95
4.2,-0.866,-0.815,-0.77,-0.729,-0.676,-0.597,-0.454,-0.224,0.067,0.367,0.654,0.954,1.312,1.734,2.16,2.529,2.815,3.033,3.209
4.25,-0.872,-0.821,-0.776,-0.735,-0.67,-0.567,-0.404,-0.165,0.15,0.511,0.87,1.2,1.517,1.86,2.244,2.632,2.962,3.219,3.416
4.3,-0.838,-0.798,-0.761,-0.727,-0.671,-0.571,-0.397,-0.134,0.199,0.576,0.979,1.377,1.743,2.075,2.405,2.748,3.08,3.365,3.588
4.35,-0.794,-0.76,-0.729,-0.7,-0.649,-0.56,-0.401,-0.146,0.201,0.605,1.035,1.471,1.893,2.275,2.61,2.918,3.22,3.501,3.746
4.4,-0.676,-0.666,-0.657,-0.648,-0.604,-0.522,-0.375,-0.14,0.191,0.601,1.058,1.527,1.987,2.414,2.793,3.115,3.398,3.663,3.913
4.45,-0.586,-0.573,-0.561,-0.549,-0.518,-0.446,-0.306,-0.083,0.225,0.614,1.068,1.557,2.048,2.511,2.928,3.287,3.589,3.856,4.099
4.5,-0.638,-0.57,-0.511,-0.459,-0.38,-0.274,-0.134,0.061,0.333,0.685,1.109,1.584,2.083,2.573,3.021,3.417,3.76,4.049,4.296
4.55,-0.634,-0.56,-0.497,-0.442,-0.346,-0.196,0.011,0.247,0.509,0.822,1.205,1.648,2.126,2.615,3.083,3.51,3.89,4.212,4.478
4.6,-0.662,-0.571,-0.496,-0.432,-0.332,-0.175,0.064,0.37,0.699,1.025,1.368,1.76,2.199,2.663,3.13,3.575,3.981,4.332,4.617
4.65,-0.648,-0.569,-0.502,-0.444,-0.345,-0.182,0.064,0.394,0.783,1.185,1.562,1.928,2.317,2.737,3.179,3.623,4.042,4.413,4.714
4.7,-0.618,-0.554,-0.497,-0.447,-0.359,-0.207,0.04,0.377,0.782,1.226,1.674,2.087,2.465,2.846,3.249,3.671,4.087,4.466,4.773
4.75,-0.63,-0.558,-0.496,-0.442,-0.356,-0.219,0.01,0.342,0.751,1.204,1.681,2.151,2.582,2.968,3.341,3.728,4.125,4.498,4.804
4.8,-0.608,-0.546,-0.492,-0.444,-0.36,-0.224,-0.009,0.302,0.701,1.157,1.643,2.138,2.616,3.048,3.431,3.795,4.164,4.518,4.819
4.85,-0.593,-0.529,-0.474,-0.425,-0.347,-0.219,-0.01,0.289,0.669,1.113,1.602,2.105,2.602,3.069,3.486,3.855,4.207,4.538,4.828
4.9,-0.562,-0.5,-0.446,-0.398,-0.323,-0.199,-0.0,0.289,0.657,1.086,1.562,2.069,2.576,3.06,3.503,3.896,4.247,4.561,4.841
4.95,-0.503,-0.446,-0.396,-0.351,-0.28,-0.163,0.029,0.31,0.67,1.087,1.549,2.045,2.556,3.049,3.504,3.917,4.279,4.587,4.856
5.0,-0.438,-0.379,-0.328,-0.282,-0.212,-0.1,0.08,0.345,0.694,1.106,1.561,2.046,2.548,3.042,3.504,3.928,4.298,4.606,4.868
5.05,-0.319,-0.267,-0.22,-0.178,-0.111,-0.001,0.171,0.418,0.745,1.142,1.59,2.068,2.559,3.045,3.508,3.933,4.304,4.611,4.857
5.1,-0.202,-0.143,-0.092,-0.046,0.018,0.121,0.287,0.525,0.829,1.201,1.631,2.098,2.582,3.061,3.516,3.931,4.293,4.591,4.813
5.15,-0.157,-0.06,0.019,0.086,0.163,0.272,0.435,0.657,0.94,1.282,1.683,2.133,2.608,3.08,3.524,3.918,4.259,4.535,4.735
5.2,-0.205,-0.035,0.087,0.182,0.293,0.423,0.59,0.807,1.071,1.387,1.761,2.185,2.639,3.097,3.524,3.886,4.194,4.443,4.629
5.25,-0.363,-0.073,0.099,0.222,0.363,0.528,0.725,0.952,1.211,1.505,1.848,2.243,2.672,3.109,3.507,3.831,4.099,4.324,4.504
5.3,-2.116,-0.291,0.007,0.182,0.363,0.559,0.785,1.036,1.302,1.59,1.916,2.289,2.697,3.107,3.47,3.754,3.985,4.191,4.368
5.35,-0.515,-0.173,0.016,0.252,0.511,0.778,1.054,1.342,1.637,1.953,2.308,2.698,3.085,3.414,3.662,3.863,4.054,4.231,
5.4,-1.334,-0.604,-0.345,-0.184,0.036,0.327,0.663,0.996,1.32,1.638,1.96,2.301,2.671,3.038,3.341,3.561,3.742,3.922,4.102
5.45,-0.963,-0.661,-0.485,-0.36,-0.172,0.093,0.442,0.84,1.226,1.584,1.93,2.272,2.626,2.973,3.256,3.459,3.627,3.799,3.922
5.5,-0.793,-0.664,-0.564,-0.483,-0.345,-0.121,0.207,0.624,1.07,1.489,1.871,2.228,2.573,2.903,3.169,3.359,3.519,3.689,3.811
5.55,-0.734,-0.666,-0.607,-0.555,-0.456,-0.281,0.004,0.41,0.887,1.362,1.792,2.172,2.517,2.833,3.085,3.265,3.422,3.59,3.711
5.6,-0.698,-0.661,-0.626,-0.594,-0.526,-0.389,-0.146,0.23,0.714,1.227,1.7,2.108,2.46,2.768,3.007,3.18,3.337,3.452,3.543
5.65,-0.682,-0.657,-0.634,-0.612,-0.566,-0.466,-0.265,0.08,0.556,1.093,1.604,2.043,2.404,2.705,2.936,3.106,3.264,3.38,3.471
5.7,-0.673,-0.655,-0.637,-0.62,-0.585,-0.512,-0.354,-0.053,0.406,0.955,1.503,1.973,2.348,2.646,2.871,3.042,3.198,3.313,3.403
5.75,-0.668,-0.653,-0.639,-0.625,-0.596,-0.536,-0.409,-0.159,0.26,0.807,1.384,1.892,2.287,2.587,2.811,2.985,3.143,3.259,3.35
5.8,-0.668,-0.653,-0.639,-0.625,-0.6,-0.549,-0.44,-0.225,0.144,0.666,1.255,1.796,2.216,2.524,2.752,2.932,3.093,3.21,3.302
5.85,-0.663,-0.65,-0.638,-0.626,-0.601,-0.553,-0.457,-0.266,0.065,0.548,1.129,1.692,2.139,2.46,2.695,2.883,3.045,3.163,3.255
5.9,-0.665,-0.651,-0.638,-0.625,-0.601,-0.556,-0.465,-0.29,0.014,0.463,1.02,1.588,2.057,2.395,2.641,2.836,3.008,3.131,3.227
5.95,-0.66,-0.647,-0.635,-0.623,-0.599,-0.554,-0.467,-0.302,-0.016,0.405,0.935,1.496,1.979,2.335,2.593,2.796,2.974,3.1,3.197
6.0,-0.658,-0.644,-0.631,-0.618,-0.595,-0.549,-0.463,-0.303,-0.031,0.37,0.874,1.419,1.909,2.28,2.552,2.764,2.94,3.065,3.162
6.1,-0.664,-0.645,-0.626,-0.608,-0.58,-0.534,-0.451,-0.298,-0.037,0.342,0.808,1.314,1.796,2.192,2.492,2.703,2.895,3.028,3.129
6.2,-0.683,-0.661,-0.64,-0.62,-0.584,-0.526,-0.435,-0.283,-0.038,0.321,0.772,1.262,1.728,2.126,2.423,2.626,2.774,2.884,2.972
6.3,-0.669,-0.659,-0.65,-0.641,-0.619,-0.565,-0.457,-0.283,-0.022,0.331,0.758,1.23,1.682,2.055,2.315,2.475,2.638,2.756,2.849
6.4,-0.664,-0.659,-0.654,-0.649,-0.635,-0.603,-0.525,-0.351,-0.05,0.346,0.782,1.222,1.628,1.942,2.151,2.274,2.473,2.609,2.712
6.5,-0.664,-0.66,-0.656,-0.652,-0.642,-0.619,-0.561,-0.43,-0.163,0.258,0.736,1.167,1.517,1.771,1.94,2.067,2.3,2.451,2.563
6.6,-0.664,-0.661,-0.658,-0.655,-0.648,-0.63,-0.585,-0.478,-0.256,0.114,0.575,1.003,1.325,1.55,1.703,1.852,2.094,2.248,2.362
6.7,-0.663,-0.661,-0.659,-0.657,-0.652,-0.64,-0.607,-0.521,-0.334,-0.015,0.394,0.789,1.092,1.304,1.461,1.634,1.89,2.05,2.167
6.8,-0.662,-0.661,-0.66,-0.659,-0.655,-0.647,-0.624,-0.56,-0.413,-0.146,0.208,0.561,0.844,1.054,1.231,1.416,1.69,1.857,1.977
6.9,-0.665,-0.663,-0.661,-0.659,-0.655,-0.649,-0.632,-0.588,-0.481,-0.271,0.027,0.343,0.613,0.834,1.03,1.255,1.551,1.725,1.849
7.0,-0.667,-0.665,-0.663,-0.661,-0.657,-0.649,-0.633,-0.598,-0.518,-0.358,-0.108,0.177,0.44,0.667,0.878,1.111,1.376,1.539,1.658
7.1,-0.667,-0.666,-0.665,-0.664,-0.661,-0.653,-0.635,-0.597,-0.523,-0.384,-0.169,0.09,0.338,0.55,0.748,0.976,1.194,1.338,1.447
7.2,-0.67,-0.669,-0.668,-0.667,-0.665,-0.659,-0.643,-0.605,-0.525,-0.385,-0.182,0.056,0.272,0.44,0.611,0.821,1.016,1.15,1.252
7.3,-0.67,-0.67,-0.67,-0.67,-0.669,-0.665,-0.654,-0.624,-0.552,-0.414,-0.214,0.002,0.175,0.301,0.458,0.638,0.765,0.863,0.943
7.4,-0.674,-0.674,-0.674,-0.674,-0.673,-0.671,-0.663,-0.643,-0.59,-0.478,-0.306,-0.12,0.027,0.147,0.289,0.478,0.609,0.71,0.792
7.5,-0.678,-0.678,-0.678,-0.678,-0.678,-0.676,-0.672,-0.658,-0.623,-0.545,-0.417,-0.268,-0.132,-0.007,0.133,0.352,0.497,0.605,0.692
7.6,-0.684,-0.684,-0.684,-0.684,-0.683,-0.682,-0.679,-0.671,-0.647,-0.595,-0.506,-0.393,-0.267,-0.144,0.012,0.246,0.397,0.509,0.598
7.7,-0.693,-0.692,-0.691,-0.69,-0.69,-0.689,-0.687,-0.681,-0.666,-0.63,-0.569,-0.482,-0.374,-0.25,-0.107,0.117,0.264,0.374,0.461
7.8,-0.699,-0.699,-0.699,-0.699,-0.698,-0.698,-0.696,-0.692,-0.681,-0.657,-0.613,-0.546,-0.457,-0.343,-0.223,0.1,0.283,0.412,0.511
7.9,-0.709,-0.709,-0.709,-0.709,-0.709,-0.708,-0.707,-0.704,-0.696,-0.679,-0.646,-0.597,-0.523,-0.438,-0.288,0.024,0.204,0.33,0.428
8.0,-0.721,-0.721,-0.721,-0.721,-0.721,-0.721,-0.72,-0.718,-0.712,-0.699,-0.676,-0.64,-0.588,-0.528,-0.398,0.016,0.224,0.364,0.47
8.1,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999
8.3,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999
8.5,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999
8.7,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999
