logT,logR_-8.0,logR_-7.5,logR_-7.0,logR_-6.5,logR_-6.0,logR_-5.5,logR_-5.0,logR_-4.5,logR_-4.0,logR_-3.5,logR_-3.0,logR_-2.5,logR_-2.0,logR_-1.5,logR_-1.0,logR_-0.5,logR_0.0,logR_0.5,logR_1.0
3.75,-0.886,-1.014,-1.197,-1.401,-1.613,-1.825,-2.029,-2.207,-2.334,-2.374,-2.305,-2.149,-1.929,-1.664,-1.356,-0.994,-0.585,-0.153,0.269
3.8,-0.664,-0.719,-0.782,-0.888,-1.031,-1.193,-1.356,-1.5,-1.598,-1.624,-1.569,-1.439,-1.257,-1.044,-0.807,-0.543,-0.242,0.106,0.499
3.85,-0.673,-0.665,-0.657,-0.654,-0.664,-0.7,-0.757,-0.816,-0.853,-0.85,-0.797,-0.696,-0.555,-0.383,-0.187,0.03,0.271,0.543,0.852
3.9,-0.689,-0.668,-0.648,-0.613,-0.554,-0.468,-0.366,-0.268,-0.186,-0.114,-0.039,0.048,0.154,0.285,0.441,0.62,0.823,1.051,1.307
3.95,-0.691,-0.673,-0.656,-0.621,-0.551,-0.425,-0.233,0.012,0.264,0.472,0.624,0.74,0.842,0.947,1.067,1.208,1.373,1.565,1.781
4.0,-0.645,-0.647,-0.649,-0.628,-0.568,-0.443,-0.231,0.072,0.433,0.787,1.073,1.279,1.426,1.543,1.651,1.767,1.9,2.056,2.235
4.05,-0.585,-0.589,-0.593,-0.593,-0.56,-0.46,-0.262,0.045,0.439,0.866,1.268,1.599,1.839,2.01,2.141,2.256,2.372,2.501,2.647
4.1,-0.573,-0.565,-0.557,-0.541,-0.506,-0.426,-0.266,0.006,0.383,0.824,1.28,1.705,2.057,2.321,2.509,2.651,2.772,2.889,3.012
4.15,-0.558,-0.545,-0.532,-0.513,-0.471,-0.382,-0.219,0.027,0.357,0.765,1.221,1.688,2.126,2.488,2.759,2.954,3.1,3.221,3.336
4.2,-0.568,-0.543,-0.519,-0.488,-0.442,-0.354,-0.192,0.06,0.387,0.764,1.182,1.643,2.115,2.549,2.911,3.177,3.368,3.514,3.634
