logT,logR_-8.0,logR_-7.5,logR_-7.0,logR_-6.5,logR_-6.0,logR_-5.5,logR_-5.0,logR_-4.5,logR_-4.0,logR_-3.5,logR_-3.0,logR_-2.5,logR_-2.0,logR_-1.5,logR_-1.0,logR_-0.5,logR_0.0,logR_0.5,logR_1.0
3.75,-0.423,-0.852,-1.051,-1.263,-1.479,-1.692,-1.89,-2.052,-2.15,-2.149,-2.053,-1.894,-1.697,-1.483,-1.26,-1.03,-0.793,-0.549,-0.3
3.8,-0.422,-0.495,-0.583,-0.712,-0.868,-1.034,-1.193,-1.323,-1.394,-1.392,-1.311,-1.168,-0.992,-0.798,-0.595,-0.382,-0.159,0.074,0.314
3.85,-0.418,-0.415,-0.412,-0.414,-0.436,-0.483,-0.545,-0.6,-0.626,-0.608,-0.541,-0.433,-0.292,-0.131,0.044,0.232,0.431,0.644,0.87
3.9,-0.428,-0.41,-0.393,-0.354,-0.281,-0.178,-0.072,0.018,0.089,0.154,0.225,0.309,0.411,0.532,0.67,0.823,0.992,1.177,1.38
3.95,-0.43,-0.413,-0.397,-0.359,-0.272,-0.114,0.114,0.377,0.61,0.784,0.906,1.002,1.089,1.18,1.282,1.398,1.532,1.685,1.858
4.0,-0.426,-0.414,-0.402,-0.37,-0.292,-0.136,0.117,0.458,0.83,1.156,1.397,1.563,1.678,1.768,1.851,1.941,2.045,2.167,2.311
4.05,-0.418,-0.41,-0.402,-0.378,-0.313,-0.175,0.065,0.409,0.825,1.251,1.634,1.924,2.115,2.247,2.344,2.429,2.516,2.617,2.738
4.1,-0.415,-0.407,-0.399,-0.379,-0.325,-0.207,0.006,0.326,0.736,1.194,1.661,2.066,2.379,2.596,2.74,2.848,2.939,3.032,3.139
4.15,-0.411,-0.403,-0.395,-0.378,-0.332,-0.231,-0.044,0.245,0.632,1.09,1.579,2.062,2.487,2.811,3.036,3.191,3.308,3.408,3.512
4.2,-0.41,-0.4,-0.39,-0.373,-0.334,-0.246,-0.082,0.181,0.547,0.992,1.487,2.0,2.49,2.915,3.24,3.464,3.625,3.749,3.859
4.25,-0.41,-0.398,-0.386,-0.367,-0.331,-0.252,-0.105,0.136,0.482,0.922,1.415,1.938,2.456,2.954,3.366,3.672,3.891,4.054,4.181
4.3,-0.414,-0.397,-0.381,-0.359,-0.323,-0.252,-0.116,0.11,0.444,0.876,1.372,1.896,2.43,2.965,3.441,3.827,4.11,4.32,4.482
4.35,-0.415,-0.396,-0.378,-0.349,-0.309,-0.239,-0.113,0.103,0.431,0.861,1.353,1.879,2.429,2.978,3.496,3.945,4.293,4.548,4.749
4.4,-0.413,-0.395,-0.378,-0.341,-0.291,-0.218,-0.096,0.113,0.437,0.868,1.363,1.895,2.44,3.007,3.553,4.045,4.446,4.747,4.978
4.45,-0.413,-0.395,-0.378,-0.34,-0.278,-0.191,-0.063,0.145,0.468,0.9,1.4,1.934,2.484,3.057,3.618,4.138,4.577,4.919,5.174
4.5,-0.411,-0.394,-0.378,-0.342,-0.274,-0.169,-0.023,0.195,0.522,0.956,1.458,1.991,2.548,3.119,3.688,4.224,4.685,5.052,5.325
4.55,-0.406,-0.395,-0.384,-0.351,-0.284,-0.167,0.005,0.246,0.586,1.025,1.528,2.059,2.616,3.181,3.749,4.288,4.756,5.134,5.408
4.6,-0.407,-0.396,-0.385,-0.357,-0.297,-0.18,0.007,0.278,0.644,1.092,1.594,2.12,2.668,3.22,3.776,4.302,4.763,5.14,5.413
4.65,-0.406,-0.397,-0.388,-0.364,-0.311,-0.201,-0.011,0.274,0.66,1.123,1.625,2.145,2.677,3.212,3.744,4.248,4.697,5.07,5.345
4.7,-0.403,-0.396,-0.389,-0.369,-0.324,-0.225,-0.043,0.24,0.626,1.09,1.594,2.113,2.633,3.15,3.66,4.144,4.581,4.95,5.233
4.75,-0.403,-0.396,-0.389,-0.371,-0.333,-0.246,-0.08,0.19,0.564,1.016,1.512,2.028,2.546,3.058,3.555,4.025,4.453,4.816,5.105
4.8,-0.402,-0.396,-0.39,-0.374,-0.34,-0.263,-0.113,0.137,0.493,0.931,1.418,1.928,2.447,2.961,3.455,3.917,4.334,4.687,4.974
4.85,-0.402,-0.396,-0.39,-0.376,-0.343,-0.273,-0.138,0.091,0.426,0.851,1.332,1.839,2.357,2.876,3.374,3.833,4.236,4.571,4.849
4.9,-0.399,-0.394,-0.389,-0.377,-0.349,-0.284,-0.159,0.054,0.371,0.786,1.262,1.769,2.288,2.809,3.311,3.767,4.153,4.464,4.728
4.95,-0.401,-0.394,-0.387,-0.376,-0.352,-0.294,-0.176,0.027,0.335,0.742,1.215,1.719,2.237,2.755,3.257,3.707,4.071,4.358,4.603
5.0,-0.397,-0.391,-0.385,-0.374,-0.353,-0.302,-0.194,-0.0,0.301,0.703,1.173,1.675,2.188,2.7,3.194,3.631,3.975,4.244,4.474
5.05,-0.386,-0.382,-0.378,-0.37,-0.351,-0.306,-0.208,-0.026,0.267,0.664,1.128,1.622,2.122,2.619,3.097,3.518,3.852,4.114,4.34
5.1,-0.373,-0.37,-0.367,-0.358,-0.344,-0.306,-0.221,-0.054,0.223,0.607,1.06,1.54,2.021,2.496,2.954,3.364,3.7,3.971,4.203
5.15,-0.368,-0.361,-0.354,-0.346,-0.332,-0.299,-0.226,-0.08,0.174,0.535,0.969,1.429,1.886,2.337,2.777,3.183,3.53,3.823,4.057
5.2,-0.368,-0.358,-0.348,-0.337,-0.32,-0.289,-0.225,-0.098,0.126,0.456,0.863,1.302,1.736,2.163,2.588,2.995,3.359,3.673,3.905
5.25,-0.373,-0.362,-0.351,-0.336,-0.317,-0.285,-0.226,-0.115,0.081,0.377,0.755,1.17,1.584,1.991,2.404,2.815,3.195,3.523,3.75
5.3,-0.39,-0.376,-0.362,-0.345,-0.324,-0.29,-0.233,-0.132,0.041,0.305,0.652,1.044,1.439,1.831,2.236,2.649,3.044,3.375,3.594
5.35,-0.399,-0.388,-0.377,-0.36,-0.336,-0.302,-0.248,-0.155,0.002,0.242,0.563,0.931,1.308,1.686,2.085,2.501,2.905,3.226,3.409
5.4,-0.404,-0.396,-0.388,-0.375,-0.355,-0.322,-0.268,-0.18,-0.035,0.188,0.485,0.83,1.188,1.555,1.95,2.369,2.774,3.081,3.259
5.45,-0.408,-0.403,-0.398,-0.389,-0.372,-0.343,-0.293,-0.207,-0.07,0.139,0.418,0.742,1.083,1.439,1.831,2.253,2.647,2.939,3.112
5.5,-0.409,-0.406,-0.403,-0.397,-0.385,-0.363,-0.319,-0.24,-0.108,0.092,0.355,0.663,0.989,1.336,1.726,2.149,2.523,2.721,2.856
5.55,-0.41,-0.408,-0.406,-0.402,-0.394,-0.377,-0.342,-0.272,-0.148,0.046,0.299,0.591,0.905,1.245,1.633,2.051,2.401,2.592,2.725
5.6,-0.411,-0.409,-0.407,-0.404,-0.399,-0.387,-0.36,-0.301,-0.189,-0.004,0.243,0.525,0.831,1.167,1.553,1.954,2.285,2.471,2.6
