logT,logR_-8.0,logR_-7.5,logR_-7.0,logR_-6.5,logR_-6.0,logR_-5.5,logR_-5.0,logR_-4.5,logR_-4.0,logR_-3.5,logR_-3.0,logR_-2.5,logR_-2.0,logR_-1.5,logR_-1.0,logR_-0.5,logR_0.0,logR_0.5,logR_1.0
3.75,-0.806,-0.939,-1.132,-1.342,-1.558,-1.773,-1.977,-2.151,-2.27,-2.298,-2.225,-2.081,-1.893,-1.685,-1.467,-1.243,-1.011,-0.775,-0.534
3.8,-0.55,-0.615,-0.691,-0.811,-0.962,-1.126,-1.289,-1.43,-1.52,-1.539,-1.479,-1.35,-1.182,-0.994,-0.795,-0.588,-0.372,-0.146,0.086
3.85,-0.557,-0.554,-0.551,-0.551,-0.566,-0.606,-0.665,-0.724,-0.759,-0.754,-0.701,-0.603,-0.471,-0.316,-0.147,0.034,0.226,0.431,0.648
3.9,-0.56,-0.549,-0.538,-0.508,-0.444,-0.346,-0.237,-0.141,-0.066,0.0,0.067,0.147,0.243,0.358,0.49,0.637,0.798,0.975,1.169
3.95,-0.561,-0.55,-0.539,-0.511,-0.442,-0.306,-0.094,0.167,0.414,0.605,0.739,0.839,0.926,1.016,1.114,1.224,1.35,1.495,1.66
4.0,-0.543,-0.541,-0.539,-0.518,-0.458,-0.329,-0.103,0.217,0.589,0.936,1.2,1.385,1.514,1.608,1.69,1.776,1.874,1.99,2.126
4.05,-0.513,-0.514,-0.515,-0.508,-0.466,-0.357,-0.15,0.164,0.565,0.996,1.398,1.72,1.935,2.079,2.183,2.269,2.354,2.449,2.564
4.1,-0.511,-0.506,-0.501,-0.488,-0.451,-0.363,-0.19,0.092,0.476,0.923,1.397,1.828,2.168,2.41,2.57,2.685,2.779,2.869,2.971
4.15,-0.508,-0.503,-0.498,-0.484,-0.447,-0.361,-0.2,0.049,0.395,0.827,1.307,1.797,2.246,2.599,2.849,3.02,3.144,3.247,3.348
4.2,-0.507,-0.5,-0.493,-0.48,-0.449,-0.372,-0.222,0.022,0.357,0.764,1.228,1.732,2.23,2.676,3.031,3.278,3.453,3.585,3.696
4.25,-0.509,-0.498,-0.487,-0.473,-0.444,-0.378,-0.244,-0.017,0.315,0.734,1.195,1.688,2.193,2.696,3.134,3.467,3.706,3.882,4.017
4.3,-0.509,-0.496,-0.483,-0.463,-0.433,-0.373,-0.253,-0.042,0.279,0.702,1.183,1.684,2.186,2.708,3.194,3.604,3.912,4.138,4.311
4.35,-0.511,-0.497,-0.483,-0.457,-0.419,-0.358,-0.245,-0.047,0.265,0.685,1.172,1.687,2.214,2.741,3.249,3.711,4.082,4.357,4.57
4.4,-0.493,-0.486,-0.479,-0.45,-0.403,-0.336,-0.224,-0.032,0.274,0.693,1.182,1.708,2.243,2.789,3.321,3.811,4.228,4.55,4.793
4.45,-0.474,-0.468,-0.462,-0.438,-0.388,-0.31,-0.192,0.001,0.307,0.726,1.218,1.747,2.29,2.853,3.402,3.916,4.363,4.721,4.993
4.5,-0.475,-0.463,-0.451,-0.419,-0.358,-0.264,-0.135,0.06,0.366,0.785,1.278,1.806,2.355,2.923,3.485,4.022,4.489,4.869,5.159
4.55,-0.474,-0.465,-0.456,-0.426,-0.362,-0.242,-0.069,0.152,0.458,0.87,1.359,1.883,2.433,2.996,3.565,4.113,4.594,4.988,5.282
4.6,-0.472,-0.465,-0.458,-0.433,-0.377,-0.261,-0.062,0.225,0.576,0.985,1.458,1.971,2.513,3.066,3.63,4.176,4.661,5.058,5.346
4.65,-0.473,-0.466,-0.459,-0.439,-0.392,-0.287,-0.096,0.204,0.613,1.078,1.555,2.052,2.576,3.114,3.662,4.194,4.671,5.066,5.351
4.7,-0.469,-0.465,-0.461,-0.444,-0.404,-0.313,-0.138,0.145,0.545,1.037,1.564,2.084,2.598,3.119,3.647,4.159,4.625,5.015,5.301
4.75,-0.469,-0.464,-0.459,-0.445,-0.412,-0.334,-0.179,0.082,0.455,0.923,1.453,2.009,2.551,3.076,3.592,4.089,4.545,4.932,5.224
4.8,-0.47,-0.464,-0.458,-0.444,-0.415,-0.348,-0.211,0.025,0.373,0.817,1.327,1.877,2.442,2.995,3.515,4.006,4.456,4.84,5.138
4.85,-0.472,-0.465,-0.458,-0.443,-0.414,-0.354,-0.233,-0.018,0.307,0.734,1.231,1.768,2.331,2.9,3.438,3.934,4.383,4.762,5.059
4.9,-0.473,-0.466,-0.459,-0.442,-0.411,-0.353,-0.241,-0.044,0.263,0.678,1.167,1.698,2.257,2.83,3.376,3.882,4.33,4.702,4.988
4.95,-0.476,-0.468,-0.46,-0.445,-0.412,-0.35,-0.24,-0.053,0.242,0.65,1.135,1.664,2.223,2.791,3.34,3.85,4.295,4.653,4.916
5.0,-0.475,-0.469,-0.463,-0.448,-0.416,-0.35,-0.236,-0.05,0.241,0.645,1.128,1.658,2.213,2.777,3.326,3.833,4.267,4.604,4.833
5.05,-0.475,-0.469,-0.463,-0.451,-0.422,-0.357,-0.238,-0.044,0.251,0.657,1.141,1.667,2.217,2.775,3.319,3.813,4.228,4.535,4.733
5.1,-0.472,-0.469,-0.466,-0.454,-0.43,-0.37,-0.249,-0.047,0.257,0.668,1.153,1.675,2.217,2.762,3.291,3.765,4.154,4.434,4.609
5.15,-0.474,-0.47,-0.466,-0.457,-0.437,-0.384,-0.27,-0.067,0.243,0.657,1.139,1.653,2.181,2.708,3.213,3.665,4.034,4.298,4.474
5.2,-0.473,-0.47,-0.467,-0.459,-0.443,-0.399,-0.297,-0.104,0.2,0.606,1.077,1.578,2.088,2.594,3.078,3.514,3.873,4.141,4.327
5.25,-0.471,-0.47,-0.469,-0.462,-0.448,-0.412,-0.324,-0.15,0.133,0.515,0.964,1.448,1.942,2.432,2.902,3.33,3.692,3.973,4.172
5.3,-0.472,-0.47,-0.468,-0.463,-0.452,-0.422,-0.349,-0.197,0.054,0.402,0.822,1.286,1.767,2.247,2.71,3.137,3.507,3.803,4.014
5.35,-0.471,-0.47,-0.469,-0.465,-0.456,-0.431,-0.37,-0.241,-0.024,0.286,0.674,1.116,1.585,2.059,2.519,2.948,3.327,3.634,3.858
5.4,-0.47,-0.47,-0.47,-0.466,-0.459,-0.439,-0.388,-0.28,-0.094,0.179,0.534,0.954,1.41,1.878,2.337,2.77,3.158,3.471,3.651
5.45,-0.47,-0.47,-0.47,-0.467,-0.461,-0.444,-0.402,-0.312,-0.154,0.086,0.409,0.805,1.248,1.71,2.169,2.606,2.998,3.314,3.495
5.5,-0.47,-0.47,-0.47,-0.468,-0.462,-0.449,-0.414,-0.339,-0.204,0.006,0.3,0.672,1.1,1.555,2.013,2.454,2.846,3.165,3.347
5.55,-0.47,-0.47,-0.47,-0.468,-0.464,-0.453,-0.424,-0.36,-0.245,-0.06,0.207,0.555,0.967,1.415,1.872,2.315,2.702,2.903,3.04
5.6,-0.472,-0.471,-0.47,-0.469,-0.465,-0.456,-0.431,-0.378,-0.279,-0.116,0.127,0.452,0.848,1.287,1.743,2.185,2.565,2.765,2.901
5.65,-0.472,-0.471,-0.47,-0.469,-0.466,-0.458,-0.437,-0.392,-0.306,-0.162,0.059,0.363,0.741,1.172,1.627,2.061,2.435,2.633,2.768
