logT,logR_-8.0,logR_-7.5,logR_-7.0,logR_-6.5,logR_-6.0,logR_-5.5,logR_-5.0,logR_-4.5,logR_-4.0,logR_-3.5,logR_-3.0,logR_-2.5,logR_-2.0,logR_-1.5,logR_-1.0,logR_-0.5,logR_0.0,logR_0.5,logR_1.0
3.75,-1.003,-1.127,-1.302,-1.502,-1.714,-1.928,-2.139,-2.332,-2.484,-2.564,-2.541,-2.426,-2.25,-2.034,-1.798,-1.543,-1.264,-0.954,-0.61
3.8,-0.829,-0.875,-0.926,-1.019,-1.152,-1.31,-1.475,-1.631,-1.751,-1.809,-1.789,-1.691,-1.534,-1.345,-1.135,-0.912,-0.675,-0.42,-0.143
3.85,-0.843,-0.837,-0.831,-0.827,-0.831,-0.858,-0.91,-0.972,-1.022,-1.039,-1.009,-0.931,-0.811,-0.658,-0.482,-0.289,-0.08,0.145,0.39
3.9,-0.853,-0.84,-0.827,-0.803,-0.756,-0.678,-0.576,-0.474,-0.388,-0.317,-0.248,-0.173,-0.081,0.032,0.167,0.323,0.498,0.693,0.909
3.95,-0.846,-0.839,-0.832,-0.81,-0.76,-0.659,-0.49,-0.256,0.003,0.227,0.394,0.514,0.612,0.706,0.809,0.926,1.062,1.221,1.402
4.0,-0.755,-0.78,-0.806,-0.806,-0.77,-0.679,-0.504,-0.233,0.116,0.482,0.795,1.023,1.181,1.296,1.392,1.489,1.596,1.721,1.867
4.05,-0.676,-0.691,-0.707,-0.729,-0.733,-0.678,-0.531,-0.271,0.091,0.511,0.929,1.29,1.558,1.741,1.871,1.975,2.071,2.175,2.294
4.1,-0.673,-0.669,-0.665,-0.657,-0.64,-0.596,-0.492,-0.289,0.033,0.446,0.899,1.344,1.727,2.02,2.225,2.367,2.479,2.579,2.683
4.15,-0.667,-0.658,-0.649,-0.636,-0.605,-0.536,-0.406,-0.21,0.055,0.404,0.828,1.292,1.749,2.147,2.451,2.664,2.816,2.933,3.037
4.2,-0.671,-0.657,-0.643,-0.622,-0.589,-0.519,-0.383,-0.16,0.134,0.466,0.831,1.253,1.718,2.174,2.573,2.876,3.086,3.242,3.364
4.25,-0.675,-0.659,-0.644,-0.622,-0.585,-0.515,-0.384,-0.168,0.14,0.515,0.908,1.304,1.724,2.176,2.631,3.013,3.298,3.506,3.663
4.3,-0.668,-0.655,-0.642,-0.619,-0.582,-0.514,-0.388,-0.178,0.125,0.513,0.948,1.389,1.807,2.235,2.684,3.11,3.466,3.73,3.93
4.35,-0.655,-0.645,-0.635,-0.612,-0.573,-0.508,-0.39,-0.19,0.111,0.505,0.958,1.431,1.899,2.347,2.78,3.212,3.608,3.924,4.165
4.4,-0.587,-0.598,-0.609,-0.596,-0.556,-0.489,-0.377,-0.188,0.105,0.502,0.967,1.462,1.961,2.446,2.911,3.346,3.753,4.104,4.378
4.45,-0.546,-0.548,-0.55,-0.546,-0.519,-0.454,-0.34,-0.156,0.13,0.523,0.991,1.499,2.015,2.533,3.032,3.495,3.915,4.28,4.578
