logT,logR_-8.0,logR_-7.5,logR_-7.0,logR_-6.5,logR_-6.0,logR_-5.5,logR_-5.0,logR_-4.5,logR_-4.0,logR_-3.5,logR_-3.0,logR_-2.5,logR_-2.0,logR_-1.5,logR_-1.0,logR_-0.5,logR_0.0,logR_0.5,logR_1.0
3.75,-4.205,-4.314,-4.46,-4.462,-4.466,-4.472,-4.488,-4.52,-4.574,-4.64,-4.691,-4.702,-4.66,-4.555,-4.377,-4.121,-3.797,-3.404,-2.952
3.8,-4.196,-4.245,-4.3,-4.363,-4.392,-4.402,-4.406,-4.409,-4.414,-4.428,-4.453,-4.471,-4.444,-4.328,-4.103,-3.798,-3.462,-3.112,-2.737
3.85,-3.378,-3.48,-3.614,-3.808,-3.981,-4.124,-4.229,-4.291,-4.316,-4.317,-4.301,-4.265,-4.189,-4.048,-3.822,-3.518,-3.158,-2.781,-2.415
3.9,-2.523,-2.634,-2.782,-3.009,-3.227,-3.435,-3.63,-3.806,-3.957,-4.071,-4.126,-4.103,-3.992,-3.79,-3.514,-3.196,-2.858,-2.494,-2.117
3.95,-1.751,-1.862,-2.012,-2.242,-2.47,-2.694,-2.909,-3.113,-3.304,-3.474,-3.605,-3.671,-3.637,-3.484,-3.221,-2.891,-2.541,-2.19,-1.836
4.0,-1.151,-1.253,-1.387,-1.581,-1.791,-2.005,-2.215,-2.415,-2.596,-2.754,-2.874,-2.937,-2.925,-2.827,-2.656,-2.433,-2.163,-1.856,-1.528
4.05,-0.928,-0.987,-1.055,-1.136,-1.263,-1.418,-1.584,-1.741,-1.879,-1.986,-2.058,-2.086,-2.063,-1.991,-1.877,-1.727,-1.548,-1.339,-1.096
4.1,-0.979,-0.983,-0.987,-0.991,-1.004,-1.033,-1.079,-1.132,-1.18,-1.212,-1.224,-1.214,-1.183,-1.128,-1.051,-0.948,-0.821,-0.67,-0.495
4.15,-0.99,-0.982,-0.974,-0.966,-0.95,-0.912,-0.838,-0.735,-0.635,-0.553,-0.491,-0.439,-0.39,-0.338,-0.277,-0.202,-0.109,0.004,0.136
4.2,-0.997,-0.984,-0.972,-0.96,-0.938,-0.893,-0.795,-0.62,-0.385,-0.151,0.033,0.162,0.254,0.328,0.395,0.464,0.54,0.628,0.727
