logT,logR_-8.0,logR_-7.5,logR_-7.0,logR_-6.5,logR_-6.0,logR_-5.5,logR_-5.0,logR_-4.5,logR_-4.0,logR_-3.5,logR_-3.0,logR_-2.5,logR_-2.0,logR_-1.5,logR_-1.0,logR_-0.5,logR_0.0,logR_0.5,logR_1.0
3.75,-0.797,-0.93,-1.122,-1.331,-1.546,-1.76,-1.963,-2.135,-2.251,-2.274,-2.196,-2.045,-1.849,-1.627,-1.391,-1.141,-0.873,-0.581,-0.263
3.8,-0.538,-0.603,-0.679,-0.798,-0.949,-1.113,-1.275,-1.414,-1.501,-1.516,-1.451,-1.317,-1.142,-0.944,-0.732,-0.508,-0.271,-0.019,0.249
3.85,-0.543,-0.538,-0.533,-0.532,-0.548,-0.591,-0.651,-0.709,-0.743,-0.735,-0.678,-0.576,-0.438,-0.274,-0.093,0.104,0.315,0.542,0.787
3.9,-0.555,-0.537,-0.52,-0.485,-0.42,-0.324,-0.219,-0.125,-0.049,0.018,0.088,0.17,0.271,0.394,0.537,0.698,0.877,1.077,1.295
3.95,-0.556,-0.54,-0.525,-0.491,-0.415,-0.275,-0.064,0.193,0.437,0.627,0.761,0.864,0.956,1.05,1.157,1.279,1.421,1.585,1.771
4.0,-0.538,-0.532,-0.526,-0.5,-0.433,-0.296,-0.064,0.258,0.627,0.97,1.232,1.414,1.541,1.639,1.729,1.826,1.936,2.066,2.217
4.05,-0.503,-0.503,-0.503,-0.491,-0.443,-0.325,-0.108,0.217,0.621,1.049,1.441,1.749,1.962,2.108,2.216,2.309,2.403,2.509,2.633
4.1,-0.498,-0.491,-0.484,-0.467,-0.426,-0.33,-0.146,0.148,0.541,0.99,1.45,1.866,2.199,2.438,2.599,2.718,2.816,2.912,3.019
4.15,-0.49,-0.481,-0.472,-0.455,-0.414,-0.322,-0.152,0.108,0.464,0.897,1.369,1.845,2.28,2.626,2.873,3.045,3.171,3.276,3.379
4.2,-0.495,-0.479,-0.464,-0.443,-0.403,-0.319,-0.161,0.089,0.428,0.834,1.291,1.782,2.268,2.704,3.053,3.297,3.471,3.603,3.715
4.25,-0.496,-0.479,-0.463,-0.44,-0.398,-0.317,-0.171,0.063,0.394,0.804,1.256,1.738,2.232,2.723,3.153,3.482,3.72,3.894,4.029
4.3,-0.493,-0.476,-0.46,-0.435,-0.394,-0.317,-0.177,0.048,0.37,0.78,1.245,1.733,2.225,2.734,3.212,3.617,3.922,4.146,4.318
4.35,-0.489,-0.471,-0.454,-0.425,-0.382,-0.309,-0.179,0.038,0.359,0.772,1.242,1.74,2.253,2.767,3.265,3.721,4.089,4.363,4.574
4.4,-0.47,-0.458,-0.446,-0.413,-0.363,-0.289,-0.165,0.041,0.357,0.775,1.255,1.767,2.287,2.818,3.337,3.819,4.233,4.554,4.796
4.45,-0.453,-0.441,-0.429,-0.397,-0.34,-0.255,-0.128,0.075,0.385,0.802,1.287,1.809,2.339,2.886,3.419,3.924,4.366,4.723,4.995
4.5,-0.453,-0.434,-0.416,-0.376,-0.307,-0.204,-0.063,0.142,0.447,0.858,1.342,1.864,2.405,2.958,3.505,4.029,4.491,4.87,5.16
4.55,-0.45,-0.434,-0.419,-0.381,-0.308,-0.181,0.001,0.233,0.542,0.944,1.42,1.934,2.478,3.032,3.585,4.121,4.596,4.989,5.282
4.6,-0.45,-0.434,-0.419,-0.384,-0.317,-0.189,0.018,0.304,0.653,1.057,1.519,2.02,2.554,3.099,3.65,4.184,4.663,5.059,5.346
4.65,-0.45,-0.436,-0.422,-0.392,-0.331,-0.21,-0.002,0.305,0.702,1.15,1.615,2.102,2.616,3.145,3.681,4.202,4.674,5.066,5.35
4.7,-0.446,-0.434,-0.422,-0.397,-0.344,-0.235,-0.036,0.267,0.669,1.141,1.642,2.143,2.644,3.153,3.669,4.17,4.629,5.016,5.301
4.75,-0.445,-0.433,-0.421,-0.398,-0.352,-0.257,-0.077,0.212,0.604,1.068,1.573,2.097,2.614,3.119,3.619,4.103,4.55,4.933,5.224
4.8,-0.443,-0.431,-0.419,-0.399,-0.357,-0.272,-0.11,0.155,0.527,0.979,1.475,1.996,2.528,3.051,3.55,4.024,4.464,4.842,5.138
4.85,-0.441,-0.428,-0.415,-0.393,-0.353,-0.278,-0.131,0.112,0.461,0.897,1.388,1.905,2.435,2.969,3.481,3.956,4.392,4.765,5.059
4.9,-0.432,-0.42,-0.408,-0.386,-0.348,-0.277,-0.145,0.08,0.411,0.833,1.317,1.835,2.366,2.904,3.422,3.906,4.339,4.704,4.988
4.95,-0.425,-0.411,-0.397,-0.375,-0.336,-0.265,-0.138,0.072,0.387,0.8,1.278,1.794,2.329,2.865,3.386,3.874,4.304,4.655,4.916
5.0,-0.408,-0.396,-0.384,-0.36,-0.322,-0.25,-0.126,0.077,0.381,0.785,1.262,1.778,2.312,2.847,3.368,3.854,4.275,4.606,4.833
5.05,-0.373,-0.362,-0.351,-0.333,-0.296,-0.225,-0.1,0.1,0.397,0.793,1.265,1.778,2.309,2.84,3.356,3.831,4.235,4.536,4.733
5.1,-0.331,-0.32,-0.309,-0.289,-0.257,-0.191,-0.068,0.132,0.424,0.815,1.278,1.785,2.308,2.826,3.326,3.782,4.161,4.436,4.609
5.15,-0.312,-0.289,-0.267,-0.24,-0.205,-0.143,-0.027,0.168,0.459,0.841,1.294,1.788,2.293,2.787,3.257,3.685,4.042,4.302,4.476
5.2,-0.313,-0.278,-0.246,-0.208,-0.16,-0.091,0.023,0.209,0.489,0.86,1.3,1.776,2.256,2.713,3.143,3.543,3.886,4.147,4.33
5.25,-0.334,-0.291,-0.252,-0.204,-0.145,-0.061,0.062,0.246,0.511,0.862,1.283,1.739,2.189,2.607,2.997,3.373,3.71,3.981,4.176
5.3,-0.393,-0.336,-0.286,-0.227,-0.16,-0.069,0.063,0.254,0.513,0.846,1.243,1.674,2.097,2.481,2.839,3.196,3.532,3.814,4.019
5.35,-0.429,-0.382,-0.34,-0.28,-0.201,-0.101,0.035,0.23,0.491,0.813,1.188,1.594,1.992,2.348,2.683,3.024,3.36,3.648,3.869
5.4,-0.452,-0.419,-0.388,-0.34,-0.269,-0.164,-0.018,0.181,0.446,0.766,1.126,1.509,1.882,2.217,2.534,2.864,3.199,3.49,3.663
5.45,-0.465,-0.444,-0.424,-0.389,-0.331,-0.238,-0.095,0.11,0.381,0.707,1.061,1.425,1.777,2.094,2.397,2.719,3.05,3.342,3.515
5.5,-0.466,-0.455,-0.444,-0.423,-0.382,-0.307,-0.179,0.021,0.302,0.639,0.993,1.346,1.68,1.981,2.271,2.587,2.91,3.208,3.383
5.55,-0.468,-0.461,-0.454,-0.441,-0.415,-0.362,-0.258,-0.071,0.211,0.564,0.927,1.27,1.59,1.879,2.16,2.469,2.782,2.962,3.089
5.6,-0.467,-0.463,-0.459,-0.451,-0.433,-0.397,-0.318,-0.161,0.109,0.473,0.854,1.198,1.508,1.788,2.063,2.363,2.668,2.845,2.971
5.65,-0.468,-0.465,-0.462,-0.456,-0.444,-0.417,-0.358,-0.234,0.004,0.365,0.766,1.124,1.431,1.707,1.978,2.268,2.566,2.741,2.866
