logT,logR_-8.0,logR_-7.5,logR_-7.0,logR_-6.5,logR_-6.0,logR_-5.5,logR_-5.0,logR_-4.5,logR_-4.0,logR_-3.5,logR_-3.0,logR_-2.5,logR_-2.0,logR_-1.5,logR_-1.0,logR_-0.5,logR_0.0,logR_0.5,logR_1.0
3.75,-0.422,-0.841,-1.038,-1.249,-1.463,-1.674,-1.869,-2.028,-2.119,-2.109,-2.002,-1.827,-1.609,-1.363,-1.091,-0.785,-0.438,-0.053,0.346
3.8,-0.407,-0.479,-0.566,-0.695,-0.851,-1.016,-1.174,-1.3,-1.365,-1.355,-1.264,-1.111,-0.922,-0.711,-0.483,-0.237,0.032,0.331,0.663
3.85,-0.398,-0.393,-0.388,-0.391,-0.414,-0.463,-0.525,-0.578,-0.599,-0.575,-0.501,-0.384,-0.232,-0.056,0.14,0.353,0.584,0.838,1.116
3.9,-0.416,-0.391,-0.367,-0.323,-0.249,-0.15,-0.047,0.041,0.114,0.183,0.259,0.35,0.462,0.597,0.755,0.933,1.133,1.355,1.598
3.95,-0.422,-0.398,-0.375,-0.328,-0.233,-0.072,0.154,0.412,0.643,0.817,0.943,1.044,1.14,1.244,1.363,1.502,1.665,1.852,2.061
4.0,-0.417,-0.399,-0.382,-0.342,-0.254,-0.087,0.173,0.514,0.881,1.204,1.443,1.61,1.731,1.832,1.932,2.042,2.171,2.322,2.495
4.05,-0.407,-0.394,-0.381,-0.35,-0.275,-0.123,0.132,0.488,0.907,1.328,1.698,1.978,2.171,2.31,2.419,2.52,2.628,2.751,2.892
4.1,-0.395,-0.384,-0.373,-0.347,-0.284,-0.153,0.078,0.417,0.837,1.294,1.743,2.135,2.439,2.655,2.806,2.924,3.029,3.136,3.255
4.15,-0.382,-0.369,-0.356,-0.334,-0.281,-0.167,0.038,0.347,0.749,1.206,1.683,2.147,2.554,2.87,3.093,3.253,3.375,3.483,3.592
4.2,-0.387,-0.365,-0.344,-0.314,-0.263,-0.162,0.019,0.299,0.674,1.118,1.601,2.097,2.567,2.976,3.292,3.513,3.674,3.8,3.912
4.25,-0.391,-0.368,-0.346,-0.313,-0.256,-0.154,0.015,0.271,0.621,1.052,1.531,2.036,2.536,3.013,3.412,3.71,3.927,4.088,4.216
4.3,-0.387,-0.364,-0.342,-0.31,-0.255,-0.155,0.015,0.266,0.604,1.022,1.496,1.999,2.512,3.024,3.483,3.859,4.137,4.344,4.505
4.35,-0.378,-0.354,-0.331,-0.296,-0.243,-0.151,0.007,0.255,0.598,1.019,1.489,1.99,2.514,3.037,3.535,3.972,4.313,4.565,4.764
4.4,-0.378,-0.349,-0.322,-0.279,-0.22,-0.13,0.018,0.254,0.595,1.027,1.509,2.018,2.535,3.07,3.591,4.067,4.461,4.759,4.988
4.45,-0.383,-0.352,-0.323,-0.271,-0.195,-0.091,0.06,0.289,0.622,1.051,1.543,2.063,2.589,3.127,3.656,4.157,4.588,4.926,5.18
4.5,-0.377,-0.349,-0.323,-0.272,-0.187,-0.059,0.113,0.352,0.684,1.106,1.594,2.116,2.655,3.196,3.729,4.241,4.692,5.056,5.327
4.55,-0.371,-0.347,-0.324,-0.279,-0.196,-0.057,0.142,0.411,0.761,1.184,1.663,2.177,2.719,3.26,3.795,4.304,4.759,5.133,5.406
4.6,-0.372,-0.347,-0.323,-0.278,-0.199,-0.062,0.149,0.442,0.819,1.26,1.74,2.242,2.772,3.305,3.831,4.326,4.767,5.135,5.406
4.65,-0.373,-0.35,-0.328,-0.289,-0.212,-0.074,0.144,0.45,0.844,1.302,1.789,2.289,2.8,3.316,3.822,4.291,4.709,5.065,5.336
4.7,-0.367,-0.347,-0.328,-0.294,-0.227,-0.098,0.122,0.438,0.839,1.301,1.794,2.295,2.795,3.289,3.769,4.212,4.606,4.948,5.223
4.75,-0.368,-0.348,-0.329,-0.294,-0.234,-0.119,0.088,0.402,0.809,1.271,1.761,2.262,2.757,3.238,3.696,4.114,4.488,4.817,5.094
4.8,-0.364,-0.346,-0.329,-0.299,-0.241,-0.133,0.056,0.352,0.749,1.211,1.703,2.204,2.699,3.176,3.621,4.021,4.375,4.688,4.961
4.85,-0.356,-0.337,-0.319,-0.291,-0.24,-0.141,0.038,0.315,0.69,1.142,1.635,2.14,2.637,3.114,3.554,3.942,4.276,4.569,4.833
4.9,-0.34,-0.323,-0.307,-0.281,-0.233,-0.142,0.022,0.284,0.643,1.078,1.565,2.076,2.578,3.055,3.495,3.874,4.188,4.458,4.71
4.95,-0.32,-0.302,-0.285,-0.259,-0.214,-0.128,0.025,0.271,0.615,1.037,1.514,2.022,2.529,3.005,3.44,3.809,4.101,4.35,4.586
5.0,-0.288,-0.27,-0.253,-0.226,-0.184,-0.104,0.04,0.272,0.599,1.009,1.479,1.981,2.486,2.96,3.383,3.734,4.008,4.24,4.459
5.05,-0.226,-0.209,-0.193,-0.17,-0.128,-0.053,0.081,0.296,0.603,0.994,1.45,1.947,2.447,2.915,3.322,3.647,3.902,4.122,4.333
5.1,-0.156,-0.136,-0.117,-0.09,-0.052,0.018,0.144,0.345,0.631,0.999,1.432,1.912,2.406,2.866,3.253,3.548,3.783,3.998,4.206
5.15,-0.127,-0.084,-0.045,-0.005,0.044,0.117,0.235,0.42,0.684,1.025,1.431,1.886,2.362,2.811,3.175,3.441,3.657,3.871,4.071
5.2,-0.12,-0.061,-0.009,0.053,0.126,0.217,0.341,0.514,0.752,1.066,1.449,1.876,2.325,2.753,3.091,3.33,3.531,3.745,3.932
5.25,-0.156,-0.077,-0.01,0.067,0.161,0.28,0.427,0.607,0.831,1.114,1.469,1.875,2.298,2.696,3.005,3.218,3.408,3.617,3.794
5.3,-0.257,-0.147,-0.059,0.038,0.147,0.281,0.453,0.654,0.881,1.151,1.481,1.867,2.27,2.637,2.917,3.111,3.292,3.489,3.663
