logT,logR_-8.0,logR_-7.5,logR_-7.0,logR_-6.5,logR_-6.0,logR_-5.5,logR_-5.0,logR_-4.5,logR_-4.0,logR_-3.5,logR_-3.0,logR_-2.5,logR_-2.0,logR_-1.5,logR_-1.0,logR_-0.5,logR_0.0,logR_0.5,logR_1.0
3.75,-0.445,-0.855,-1.051,-1.262,-1.476,-1.688,-1.884,-2.044,-2.139,-2.133,-2.03,-1.857,-1.64,-1.394,-1.121,-0.814,-0.464,-0.077,0.325
3.8,-0.428,-0.499,-0.584,-0.711,-0.866,-1.031,-1.19,-1.318,-1.386,-1.379,-1.292,-1.141,-0.953,-0.742,-0.514,-0.268,0.002,0.302,0.637
3.85,-0.423,-0.417,-0.411,-0.413,-0.435,-0.484,-0.545,-0.598,-0.621,-0.599,-0.527,-0.412,-0.261,-0.086,0.11,0.322,0.554,0.808,1.086
3.9,-0.439,-0.415,-0.392,-0.348,-0.276,-0.177,-0.074,0.015,0.089,0.157,0.232,0.323,0.434,0.569,0.726,0.904,1.103,1.325,1.568
3.95,-0.443,-0.421,-0.4,-0.354,-0.261,-0.103,0.119,0.378,0.611,0.788,0.916,1.018,1.114,1.217,1.336,1.475,1.637,1.824,2.033
4.0,-0.437,-0.421,-0.406,-0.368,-0.282,-0.119,0.137,0.475,0.843,1.169,1.412,1.581,1.704,1.806,1.906,2.016,2.145,2.296,2.469
4.05,-0.424,-0.413,-0.402,-0.373,-0.301,-0.154,0.096,0.449,0.865,1.288,1.66,1.945,2.142,2.283,2.393,2.495,2.603,2.725,2.866
4.1,-0.412,-0.401,-0.39,-0.365,-0.306,-0.18,0.045,0.378,0.796,1.252,1.702,2.097,2.406,2.625,2.779,2.898,3.004,3.111,3.23
4.15,-0.397,-0.385,-0.373,-0.351,-0.299,-0.188,0.011,0.315,0.711,1.165,1.64,2.105,2.516,2.836,3.063,3.225,3.349,3.457,3.567
4.2,-0.404,-0.382,-0.361,-0.331,-0.281,-0.182,-0.003,0.273,0.644,1.081,1.56,2.054,2.526,2.938,3.258,3.482,3.646,3.773,3.885
4.25,-0.408,-0.385,-0.363,-0.33,-0.274,-0.173,-0.005,0.248,0.595,1.022,1.496,1.996,2.494,2.972,3.374,3.677,3.896,4.06,4.189
4.3,-0.402,-0.38,-0.359,-0.327,-0.273,-0.174,-0.006,0.244,0.58,0.996,1.466,1.964,2.472,2.982,3.443,3.822,4.103,4.313,4.476
4.35,-0.393,-0.37,-0.348,-0.313,-0.261,-0.17,-0.013,0.233,0.574,0.993,1.461,1.959,2.479,2.998,3.494,3.932,4.277,4.533,4.734
4.4,-0.392,-0.364,-0.338,-0.296,-0.237,-0.149,-0.002,0.232,0.571,1.001,1.481,1.988,2.503,3.034,3.551,4.027,4.424,4.725,4.956
4.45,-0.393,-0.364,-0.337,-0.286,-0.211,-0.109,0.04,0.268,0.598,1.025,1.515,2.034,2.559,3.094,3.62,4.119,4.552,4.893,5.149
4.5,-0.387,-0.359,-0.333,-0.283,-0.198,-0.073,0.097,0.333,0.662,1.081,1.566,2.087,2.625,3.165,3.697,4.209,4.661,5.027,5.301
4.55,-0.382,-0.358,-0.335,-0.289,-0.206,-0.067,0.133,0.399,0.743,1.163,1.639,2.15,2.692,3.233,3.769,4.282,4.739,5.116,5.391
4.6,-0.383,-0.358,-0.334,-0.289,-0.21,-0.071,0.142,0.436,0.81,1.246,1.721,2.221,2.75,3.285,3.814,4.317,4.766,5.138,5.408
4.65,-0.382,-0.36,-0.339,-0.299,-0.223,-0.084,0.135,0.444,0.839,1.295,1.78,2.276,2.786,3.304,3.816,4.297,4.727,5.088,5.357
4.7,-0.378,-0.358,-0.339,-0.304,-0.238,-0.108,0.112,0.429,0.831,1.295,1.789,2.29,2.789,3.286,3.774,4.23,4.639,4.989,5.26
4.75,-0.378,-0.358,-0.339,-0.304,-0.245,-0.13,0.076,0.391,0.798,1.261,1.753,2.256,2.755,3.24,3.707,4.141,4.533,4.873,5.146
4.8,-0.374,-0.356,-0.339,-0.308,-0.251,-0.144,0.045,0.34,0.736,1.199,1.692,2.195,2.696,3.18,3.636,4.055,4.431,4.759,5.029
4.85,-0.366,-0.347,-0.329,-0.3,-0.249,-0.15,0.027,0.304,0.678,1.13,1.624,2.131,2.633,3.118,3.574,3.985,4.348,4.658,4.919
4.9,-0.352,-0.334,-0.317,-0.289,-0.24,-0.149,0.014,0.276,0.634,1.068,1.557,2.069,2.576,3.064,3.522,3.931,4.279,4.57,4.813
4.95,-0.331,-0.312,-0.294,-0.268,-0.221,-0.134,0.021,0.268,0.611,1.034,1.511,2.021,2.532,3.021,3.478,3.883,4.216,4.484,4.705
5.0,-0.299,-0.28,-0.262,-0.235,-0.191,-0.109,0.038,0.272,0.602,1.014,1.485,1.989,2.498,2.985,3.436,3.829,4.146,4.393,4.59
5.05,-0.237,-0.219,-0.202,-0.178,-0.136,-0.058,0.079,0.299,0.612,1.009,1.469,1.967,2.47,2.951,3.387,3.759,4.056,4.284,4.467
5.1,-0.165,-0.145,-0.126,-0.098,-0.059,0.012,0.142,0.349,0.643,1.021,1.462,1.946,2.443,2.913,3.326,3.666,3.941,4.159,4.337
5.15,-0.136,-0.093,-0.054,-0.012,0.037,0.111,0.232,0.422,0.695,1.048,1.467,1.93,2.411,2.866,3.249,3.554,3.806,4.022,4.2
5.2,-0.13,-0.07,-0.017,0.045,0.12,0.211,0.337,0.515,0.762,1.088,1.484,1.923,2.38,2.811,3.161,3.431,3.664,3.881,4.058
5.25,-0.165,-0.086,-0.019,0.059,0.153,0.273,0.423,0.607,0.838,1.132,1.5,1.918,2.35,2.751,3.067,3.305,3.522,3.739,3.915
5.3,-0.269,-0.157,-0.068,0.029,0.139,0.275,0.448,0.653,0.887,1.166,1.507,1.904,2.315,2.685,2.97,3.183,3.388,3.599,3.777
5.35,-0.341,-0.243,-0.163,-0.056,0.076,0.232,0.42,0.645,0.896,1.173,1.495,1.871,2.265,2.613,2.872,3.067,3.263,3.462,3.598
5.4,-0.391,-0.317,-0.254,-0.164,-0.039,0.132,0.344,0.589,0.862,1.155,1.472,1.826,2.2,2.531,2.775,2.957,3.144,3.335,3.467
5.45,-0.416,-0.369,-0.327,-0.258,-0.15,0.004,0.216,0.484,0.785,1.104,1.435,1.777,2.131,2.446,2.679,2.856,3.034,3.22,3.35
5.5,-0.417,-0.393,-0.37,-0.326,-0.249,-0.118,0.077,0.345,0.675,1.029,1.381,1.728,2.066,2.365,2.587,2.761,2.933,3.115,3.243
5.55,-0.42,-0.406,-0.392,-0.366,-0.314,-0.219,-0.049,0.208,0.55,0.939,1.321,1.676,2.007,2.291,2.502,2.673,2.844,2.966,3.062
5.6,-0.417,-0.41,-0.403,-0.386,-0.353,-0.284,-0.152,0.081,0.427,0.842,1.255,1.624,1.95,2.223,2.426,2.594,2.764,2.886,2.981
5.65,-0.418,-0.413,-0.408,-0.397,-0.374,-0.326,-0.226,-0.028,0.305,0.742,1.185,1.572,1.896,2.16,2.359,2.527,2.693,2.813,2.907
5.7,-0.419,-0.414,-0.409,-0.401,-0.384,-0.349,-0.275,-0.114,0.19,0.633,1.108,1.517,1.844,2.102,2.298,2.469,2.591,2.687,2.765
5.75,-0.421,-0.416,-0.411,-0.404,-0.391,-0.363,-0.305,-0.177,0.084,0.512,1.014,1.451,1.788,2.045,2.243,2.416,2.539,2.635,2.714
5.8,-0.419,-0.416,-0.413,-0.406,-0.394,-0.37,-0.321,-0.216,0.005,0.398,0.905,1.372,1.725,1.987,2.191,2.373,2.501,2.6,2.68
5.85,-0.419,-0.416,-0.413,-0.408,-0.396,-0.374,-0.331,-0.239,-0.049,0.303,0.797,1.283,1.656,1.929,2.141,2.333,2.466,2.567,2.649
5.9,-0.419,-0.416,-0.413,-0.408,-0.398,-0.378,-0.337,-0.254,-0.083,0.233,0.702,1.195,1.588,1.872,2.094,2.295,2.432,2.536,2.62
5.95,-0.417,-0.414,-0.411,-0.407,-0.398,-0.379,-0.342,-0.263,-0.105,0.184,0.624,1.114,1.523,1.821,2.055,2.267,2.409,2.516,2.601
6.0,-0.414,-0.411,-0.408,-0.403,-0.394,-0.377,-0.342,-0.268,-0.119,0.152,0.566,1.045,1.463,1.778,2.024,2.243,2.388,2.496,2.583
6.1,-0.418,-0.411,-0.404,-0.394,-0.381,-0.362,-0.33,-0.265,-0.132,0.117,0.495,0.947,1.371,1.713,1.979,2.189,2.33,2.436,2.521
6.2,-0.423,-0.418,-0.413,-0.403,-0.382,-0.351,-0.306,-0.238,-0.119,0.104,0.46,0.893,1.31,1.656,1.905,2.089,2.218,2.317,2.398
6.3,-0.422,-0.421,-0.42,-0.415,-0.405,-0.38,-0.326,-0.23,-0.087,0.13,0.455,0.861,1.254,1.563,1.765,1.923,2.039,2.13,2.205
6.4,-0.423,-0.422,-0.421,-0.419,-0.414,-0.402,-0.371,-0.29,-0.121,0.139,0.467,0.832,1.168,1.412,1.577,1.719,1.826,1.912,1.983
6.5,-0.423,-0.423,-0.423,-0.421,-0.418,-0.41,-0.39,-0.339,-0.21,0.047,0.395,0.737,1.014,1.216,1.36,1.555,1.689,1.791,1.874
6.6,-0.424,-0.424,-0.424,-0.423,-0.42,-0.415,-0.401,-0.363,-0.27,-0.072,0.239,0.56,0.811,0.995,1.153,1.37,1.514,1.622,1.708
6.7,-0.425,-0.425,-0.425,-0.424,-0.422,-0.419,-0.409,-0.382,-0.312,-0.162,0.088,0.368,0.599,0.778,0.952,1.201,1.358,1.473,1.564
6.8,-0.426,-0.426,-0.426,-0.425,-0.424,-0.422,-0.415,-0.395,-0.345,-0.234,-0.041,0.192,0.399,0.579,0.775,1.038,1.201,1.319,1.411
6.9,-0.427,-0.427,-0.427,-0.426,-0.424,-0.422,-0.417,-0.403,-0.368,-0.287,-0.143,0.045,0.232,0.419,0.635,0.929,1.103,1.226,1.323
7.0,-0.43,-0.429,-0.428,-0.428,-0.426,-0.423,-0.417,-0.405,-0.377,-0.317,-0.208,-0.055,0.116,0.305,0.533,0.817,0.987,1.109,1.204
7.1,-0.432,-0.431,-0.43,-0.43,-0.429,-0.426,-0.42,-0.406,-0.377,-0.324,-0.234,-0.106,0.048,0.224,0.439,0.711,0.877,0.997,1.091
7.2,-0.433,-0.433,-0.433,-0.432,-0.432,-0.43,-0.425,-0.412,-0.382,-0.327,-0.243,-0.132,-0.002,0.146,0.344,0.598,0.757,0.873,0.965
