logT,logR_-8.0,logR_-7.5,logR_-7.0,logR_-6.5,logR_-6.0,logR_-5.5,logR_-5.0,logR_-4.5,logR_-4.0,logR_-3.5,logR_-3.0,logR_-2.5,logR_-2.0,logR_-1.5,logR_-1.0,logR_-0.5,logR_0.0,logR_0.5,logR_1.0
3.75,-0.789,-0.921,-1.112,-1.32,-1.533,-1.745,-1.944,-2.112,-2.221,-2.233,-2.142,-1.972,-1.749,-1.488,-1.188,-0.841,-0.447,-0.026,0.389
3.8,-0.525,-0.59,-0.666,-0.784,-0.934,-1.098,-1.259,-1.395,-1.475,-1.481,-1.406,-1.262,-1.074,-0.859,-0.624,-0.364,-0.072,0.263,0.639
3.85,-0.526,-0.52,-0.514,-0.513,-0.53,-0.574,-0.634,-0.69,-0.718,-0.704,-0.638,-0.528,-0.38,-0.203,-0.006,0.212,0.452,0.72,1.02
3.9,-0.544,-0.521,-0.499,-0.459,-0.392,-0.299,-0.196,-0.103,-0.025,0.045,0.12,0.21,0.321,0.456,0.615,0.796,1.0,1.229,1.483
3.95,-0.548,-0.527,-0.507,-0.465,-0.382,-0.238,-0.028,0.226,0.468,0.659,0.797,0.905,1.004,1.11,1.231,1.374,1.541,1.734,1.95
4.0,-0.53,-0.52,-0.51,-0.477,-0.402,-0.255,-0.017,0.308,0.674,1.014,1.275,1.46,1.594,1.703,1.808,1.924,2.057,2.214,2.393
4.05,-0.496,-0.491,-0.486,-0.469,-0.412,-0.283,-0.053,0.282,0.691,1.117,1.503,1.808,2.023,2.177,2.298,2.408,2.521,2.649,2.795
4.1,-0.483,-0.473,-0.463,-0.442,-0.393,-0.286,-0.087,0.225,0.629,1.08,1.533,1.941,2.268,2.507,2.676,2.806,2.92,3.033,3.156
4.15,-0.467,-0.454,-0.441,-0.419,-0.372,-0.27,-0.085,0.194,0.565,1.004,1.473,1.94,2.362,2.7,2.946,3.121,3.255,3.37,3.483
4.2,-0.476,-0.451,-0.427,-0.396,-0.346,-0.251,-0.078,0.189,0.54,0.952,1.407,1.89,2.362,2.784,3.122,3.363,3.537,3.672,3.788
4.25,-0.478,-0.454,-0.431,-0.396,-0.338,-0.237,-0.07,0.18,0.518,0.927,1.374,1.848,2.331,2.805,3.219,3.539,3.771,3.944,4.079
4.3,-0.469,-0.447,-0.426,-0.392,-0.337,-0.238,-0.068,0.183,0.515,0.919,1.372,1.846,2.326,2.817,3.275,3.665,3.962,4.182,4.353
4.35,-0.458,-0.435,-0.413,-0.378,-0.325,-0.234,-0.076,0.171,0.511,0.923,1.38,1.861,2.355,2.848,3.325,3.763,4.121,4.39,4.599
4.4,-0.441,-0.419,-0.398,-0.358,-0.299,-0.21,-0.064,0.169,0.505,0.929,1.403,1.899,2.398,2.901,3.394,3.856,4.259,4.575,4.813
4.45,-0.43,-0.406,-0.383,-0.339,-0.268,-0.166,-0.017,0.208,0.532,0.951,1.433,1.946,2.459,2.975,3.476,3.957,4.387,4.738,5.006
4.5,-0.425,-0.396,-0.369,-0.319,-0.235,-0.111,0.055,0.285,0.602,1.008,1.483,1.996,2.524,3.052,3.564,4.06,4.507,4.88,5.167
