logT,logR_-8.0,logR_-7.5,logR_-7.0,logR_-6.5,logR_-6.0,logR_-5.5,logR_-5.0,logR_-4.5,logR_-4.0,logR_-3.5,logR_-3.0,logR_-2.5,logR_-2.0,logR_-1.5,logR_-1.0,logR_-0.5,logR_0.0,logR_0.5,logR_1.0
3.75,-2.704,-2.708,-2.712,-2.745,-2.807,-2.891,-2.975,-3.035,-3.075,-3.111,-3.132,-3.076,-2.857,-2.457,-1.948,-1.424,-0.92,-0.451,-0.037
3.8,-2.668,-2.665,-2.662,-2.659,-2.662,-2.679,-2.722,-2.791,-2.866,-2.913,-2.892,-2.758,-2.499,-2.153,-1.769,-1.34,-0.84,-0.294,0.226
3.85,-2.671,-2.657,-2.644,-2.631,-2.616,-2.603,-2.594,-2.597,-2.618,-2.642,-2.623,-2.481,-2.179,-1.794,-1.428,-1.077,-0.694,-0.231,0.31
3.9,-2.381,-2.432,-2.489,-2.555,-2.576,-2.571,-2.55,-2.516,-2.473,-2.417,-2.309,-2.106,-1.819,-1.477,-1.115,-0.759,-0.41,-0.038,0.399
3.95,-1.712,-1.811,-1.939,-2.121,-2.274,-2.387,-2.449,-2.454,-2.398,-2.277,-2.069,-1.776,-1.452,-1.13,-0.801,-0.457,-0.102,0.256,0.627
4.0,-1.135,-1.231,-1.354,-1.527,-1.706,-1.878,-2.028,-2.141,-2.19,-2.128,-1.908,-1.561,-1.187,-0.822,-0.472,-0.134,0.207,0.562,0.918
4.05,-0.918,-0.969,-1.027,-1.094,-1.199,-1.327,-1.457,-1.569,-1.645,-1.651,-1.546,-1.315,-0.981,-0.597,-0.206,0.166,0.516,0.858,1.203
4.1,-0.953,-0.948,-0.943,-0.938,-0.936,-0.944,-0.96,-0.975,-0.976,-0.947,-0.872,-0.743,-0.548,-0.277,0.065,0.441,0.81,1.157,1.488
4.15,-0.944,-0.922,-0.901,-0.881,-0.852,-0.798,-0.699,-0.564,-0.422,-0.294,-0.177,-0.056,0.086,0.265,0.497,0.782,1.109,1.444,1.766
4.2,-0.98,-0.933,-0.89,-0.851,-0.802,-0.729,-0.602,-0.393,-0.124,0.145,0.368,0.549,0.71,0.876,1.062,1.277,1.521,1.786,2.062
4.25,-0.982,-0.937,-0.897,-0.86,-0.802,-0.708,-0.556,-0.331,-0.028,0.321,0.662,0.951,1.184,1.384,1.576,1.772,1.975,2.185,2.401
4.3,-0.942,-0.91,-0.88,-0.852,-0.805,-0.718,-0.56,-0.311,0.013,0.383,0.776,1.158,1.493,1.766,1.993,2.195,2.385,2.569,2.748
4.35,-0.892,-0.867,-0.844,-0.822,-0.782,-0.71,-0.571,-0.335,-0.002,0.393,0.815,1.241,1.648,2.004,2.292,2.524,2.719,2.892,3.048
4.4,-0.719,-0.73,-0.742,-0.754,-0.731,-0.672,-0.553,-0.344,-0.035,0.359,0.804,1.266,1.716,2.131,2.485,2.766,2.984,3.158,3.306
4.45,-0.612,-0.615,-0.618,-0.621,-0.617,-0.58,-0.482,-0.298,-0.023,0.341,0.778,1.257,1.741,2.196,2.598,2.929,3.185,3.381,3.536
4.5,-0.674,-0.614,-0.561,-0.514,-0.442,-0.352,-0.238,-0.081,0.139,0.437,0.814,1.262,1.748,2.229,2.665,3.036,3.335,3.564,3.737
4.55,-0.671,-0.605,-0.547,-0.496,-0.403,-0.259,-0.062,0.155,0.381,0.638,0.952,1.336,1.781,2.253,2.707,3.108,3.444,3.71,3.907
4.6,-0.703,-0.618,-0.547,-0.486,-0.39,-0.237,-0.003,0.298,0.612,0.907,1.194,1.515,1.89,2.313,2.752,3.164,3.527,3.826,4.046
4.65,-0.69,-0.616,-0.553,-0.498,-0.404,-0.247,-0.006,0.321,0.707,1.098,1.448,1.764,2.084,2.439,2.828,3.226,3.598,3.919,4.159
4.7,-0.657,-0.598,-0.547,-0.501,-0.417,-0.273,-0.034,0.299,0.701,1.143,1.583,1.973,2.31,2.628,2.962,3.317,3.677,4.003,4.258
4.75,-0.671,-0.605,-0.547,-0.496,-0.415,-0.285,-0.065,0.258,0.663,1.115,1.591,2.056,2.47,2.819,3.133,3.449,3.777,4.089,4.345
4.8,-0.65,-0.593,-0.543,-0.498,-0.42,-0.291,-0.085,0.217,0.608,1.061,1.547,2.042,2.517,2.936,3.286,3.596,3.895,4.181,4.428
4.85,-0.631,-0.574,-0.524,-0.479,-0.406,-0.286,-0.088,0.202,0.574,1.014,1.5,2.004,2.502,2.969,3.374,3.716,4.014,4.283,4.514
4.9,-0.601,-0.546,-0.497,-0.453,-0.382,-0.267,-0.078,0.2,0.561,0.984,1.457,1.963,2.473,2.961,3.404,3.788,4.111,4.38,4.602
4.95,-0.554,-0.499,-0.45,-0.406,-0.34,-0.231,-0.049,0.222,0.573,0.985,1.444,1.939,2.451,2.949,3.41,3.823,4.176,4.46,4.688
5.0,-0.485,-0.432,-0.384,-0.341,-0.274,-0.168,0.002,0.256,0.596,1.004,1.456,1.941,2.445,2.943,3.412,3.841,4.215,4.518,4.757
5.05,-0.368,-0.321,-0.278,-0.239,-0.175,-0.071,0.093,0.33,0.649,1.041,1.486,1.964,2.458,2.95,3.42,3.853,4.235,4.548,4.792
5.1,-0.255,-0.202,-0.154,-0.111,-0.049,0.048,0.207,0.437,0.735,1.102,1.529,1.997,2.485,2.97,3.433,3.86,4.236,4.548,4.782
5.15,-0.217,-0.124,-0.048,0.017,0.092,0.196,0.352,0.569,0.847,1.185,1.586,2.037,2.515,2.995,3.447,3.855,4.213,4.507,4.723
5.2,-0.262,-0.102,0.015,0.107,0.216,0.343,0.505,0.718,0.979,1.293,1.667,2.093,2.552,3.017,3.453,3.83,4.158,4.426,4.628
5.25,-0.419,-0.145,0.021,0.141,0.279,0.442,0.635,0.86,1.119,1.413,1.756,2.154,2.588,3.032,3.439,3.778,4.067,4.311,4.506
5.3,-1.452,-0.356,-0.073,0.097,0.274,0.466,0.689,0.94,1.207,1.497,1.825,2.202,2.615,3.032,3.402,3.7,3.952,4.178,4.369
5.35,-0.553,-0.246,-0.068,0.158,0.412,0.676,0.953,1.243,1.542,1.862,2.221,2.616,3.008,3.344,3.605,3.826,4.038,4.228,
5.4,-1.201,-0.646,-0.41,-0.258,-0.051,0.227,0.556,0.89,1.217,1.54,1.867,2.213,2.587,2.958,3.267,3.5,3.7,3.9,4.095
5.45,-0.945,-0.697,-0.54,-0.425,-0.248,0.003,0.339,0.731,1.12,1.483,1.835,2.184,2.542,2.891,3.179,3.393,3.58,3.772,3.972
5.5,-0.815,-0.702,-0.613,-0.539,-0.411,-0.2,0.113,0.52,0.964,1.387,1.774,2.137,2.488,2.819,3.088,3.289,3.467,3.657,3.789
5.55,-0.765,-0.705,-0.652,-0.605,-0.514,-0.351,-0.08,0.314,0.785,1.26,1.695,2.08,2.43,2.748,3.002,3.192,3.365,3.553,3.684
5.6,-0.734,-0.7,-0.669,-0.64,-0.579,-0.453,-0.224,0.139,0.616,1.126,1.603,2.016,2.371,2.679,2.922,3.105,3.277,3.46,3.588
5.65,-0.719,-0.697,-0.676,-0.656,-0.614,-0.524,-0.337,-0.008,0.457,0.991,1.504,1.948,2.312,2.614,2.849,3.028,3.201,3.324,3.42
5.7,-0.711,-0.695,-0.679,-0.664,-0.632,-0.565,-0.42,-0.139,0.305,0.848,1.398,1.874,2.253,2.553,2.783,2.962,3.133,3.255,3.351
5.75,-0.708,-0.694,-0.681,-0.668,-0.642,-0.587,-0.471,-0.239,0.159,0.695,1.271,1.786,2.188,2.492,2.721,2.903,3.074,3.196,3.292
5.8,-0.706,-0.693,-0.681,-0.669,-0.645,-0.599,-0.5,-0.301,0.047,0.553,1.137,1.684,2.113,2.426,2.66,2.849,3.02,3.142,3.238
5.85,-0.706,-0.693,-0.681,-0.669,-0.647,-0.603,-0.516,-0.34,-0.028,0.436,1.008,1.575,2.031,2.359,2.601,2.797,2.97,3.093,3.189
