logT,logR_-8.0,logR_-7.5,logR_-7.0,logR_-6.5,logR_-6.0,logR_-5.5,logR_-5.0,logR_-4.5,logR_-4.0,logR_-3.5,logR_-3.0,logR_-2.5,logR_-2.0,logR_-1.5,logR_-1.0,logR_-0.5,logR_0.0,logR_0.5,logR_1.0
3.75,-1.239,-1.398,-1.651,-1.822,-2.02,-2.23,-2.443,-2.652,-2.843,-2.993,-3.071,-3.043,-2.919,-2.728,-2.49,-2.22,-1.911,-1.555,-1.154
3.8,-1.326,-1.365,-1.407,-1.454,-1.543,-1.673,-1.829,-1.994,-2.149,-2.269,-2.324,-2.301,-2.198,-2.034,-1.835,-1.612,-1.37,-1.103,-0.802
3.85,-1.385,-1.378,-1.371,-1.364,-1.358,-1.361,-1.386,-1.436,-1.497,-1.545,-1.56,-1.527,-1.444,-1.317,-1.156,-0.97,-0.765,-0.54,-0.293
3.9,-1.407,-1.391,-1.375,-1.36,-1.334,-1.287,-1.211,-1.112,-1.01,-0.921,-0.846,-0.774,-0.692,-0.593,-0.472,-0.327,-0.159,0.031,0.244
3.95,-1.354,-1.356,-1.358,-1.36,-1.339,-1.289,-1.19,-1.025,-0.797,-0.54,-0.31,-0.137,-0.009,0.096,0.199,0.311,0.442,0.594,0.771
4.0,-1.029,-1.092,-1.164,-1.251,-1.296,-1.284,-1.202,-1.033,-0.768,-0.425,-0.059,0.259,0.496,0.663,0.787,0.896,1.005,1.128,1.271
4.05,-0.825,-0.872,-0.925,-0.985,-1.064,-1.127,-1.126,-1.018,-0.782,-0.432,-0.018,0.399,0.763,1.038,1.231,1.373,1.49,1.601,1.721
4.1,-0.864,-0.863,-0.862,-0.861,-0.863,-0.867,-0.858,-0.807,-0.671,-0.414,-0.044,0.389,0.825,1.208,1.506,1.72,1.874,1.999,2.113
4.15,-0.869,-0.856,-0.844,-0.832,-0.81,-0.76,-0.663,-0.526,-0.364,-0.177,0.069,0.402,0.812,1.245,1.635,1.941,2.161,2.322,2.449
4.2,-0.885,-0.862,-0.84,-0.819,-0.789,-0.732,-0.616,-0.418,-0.157,0.113,0.36,0.606,0.903,1.276,1.685,2.065,2.366,2.581,2.742
4.25,-0.887,-0.865,-0.844,-0.824,-0.789,-0.727,-0.61,-0.411,-0.122,0.23,0.58,0.883,1.153,1.435,1.771,2.154,2.509,2.787,2.996
4.3,-0.878,-0.86,-0.842,-0.825,-0.791,-0.73,-0.615,-0.419,-0.13,0.24,0.654,1.056,1.405,1.697,1.985,2.304,2.647,2.966,3.219
4.35,-0.857,-0.843,-0.83,-0.817,-0.787,-0.729,-0.621,-0.435,-0.15,0.228,0.665,1.12,1.552,1.93,2.25,2.541,2.846,3.157,3.434
4.4,-0.732,-0.749,-0.766,-0.784,-0.768,-0.716,-0.613,-0.437,-0.163,0.215,0.665,1.144,1.624,2.072,2.468,2.803,3.103,3.393,3.668
4.45,-0.611,-0.632,-0.655,-0.679,-0.695,-0.672,-0.583,-0.413,-0.147,0.223,0.673,1.165,1.667,2.158,2.618,3.018,3.359,3.658,3.923
4.5,-0.669,-0.637,-0.607,-0.579,-0.533,-0.477,-0.402,-0.274,-0.052,0.284,0.712,1.197,1.704,2.216,2.711,3.167,3.568,3.902,4.176
4.55,-0.674,-0.637,-0.604,-0.573,-0.504,-0.386,-0.221,-0.043,0.16,0.432,0.803,1.254,1.748,2.262,2.772,3.262,3.71,4.088,4.388
4.6,-0.674,-0.637,-0.604,-0.573,-0.509,-0.386,-0.172,0.116,0.417,0.703,1.005,1.376,1.822,2.313,2.82,3.323,3.797,4.209,4.532
4.65,-0.667,-0.636,-0.607,-0.58,-0.524,-0.41,-0.204,0.114,0.518,0.921,1.27,1.594,1.958,2.39,2.87,3.366,3.847,4.278,4.622
4.7,-0.654,-0.629,-0.606,-0.584,-0.535,-0.436,-0.248,0.051,0.457,0.933,1.404,1.807,2.156,2.521,2.944,3.411,3.885,4.32,4.675
4.75,-0.653,-0.628,-0.605,-0.583,-0.541,-0.456,-0.291,-0.019,0.361,0.826,1.341,1.853,2.299,2.678,3.054,3.476,3.922,4.35,4.706
4.8,-0.639,-0.62,-0.601,-0.583,-0.545,-0.469,-0.323,-0.079,0.272,0.714,1.215,1.754,2.288,2.76,3.166,3.557,3.969,4.377,4.728
4.85,-0.636,-0.614,-0.593,-0.573,-0.537,-0.471,-0.341,-0.118,0.207,0.627,1.114,1.643,2.194,2.736,3.216,3.631,4.027,4.41,4.75
4.9,-0.633,-0.607,-0.583,-0.56,-0.525,-0.464,-0.348,-0.146,0.161,0.566,1.042,1.563,2.113,2.673,3.202,3.667,4.078,4.449,4.778
4.95,-0.63,-0.599,-0.57,-0.543,-0.505,-0.443,-0.333,-0.144,0.146,0.54,1.009,1.525,2.075,2.634,3.174,3.674,4.114,4.488,4.808
5.0,-0.618,-0.584,-0.553,-0.524,-0.48,-0.415,-0.308,-0.128,0.151,0.536,1.002,1.52,2.069,2.627,3.166,3.679,4.136,4.52,4.833
5.05,-0.57,-0.542,-0.515,-0.49,-0.446,-0.374,-0.262,-0.086,0.184,0.56,1.023,1.54,2.091,2.647,3.183,3.694,4.153,4.538,4.833
5.1,-0.521,-0.493,-0.466,-0.441,-0.399,-0.327,-0.208,-0.027,0.24,0.609,1.064,1.578,2.128,2.68,3.213,3.713,4.16,4.529,4.794
5.15,-0.503,-0.461,-0.423,-0.388,-0.343,-0.269,-0.147,0.041,0.311,0.674,1.12,1.625,2.166,2.708,3.23,3.713,4.137,4.478,4.714
5.2,-0.509,-0.452,-0.402,-0.357,-0.297,-0.211,-0.081,0.114,0.387,0.746,1.183,1.675,2.195,2.711,3.208,3.665,4.064,4.379,4.601
5.25,-0.545,-0.473,-0.411,-0.357,-0.285,-0.184,-0.033,0.176,0.452,0.803,1.227,1.701,2.191,2.671,3.13,3.559,3.938,4.241,4.463
5.3,-0.639,-0.538,-0.456,-0.387,-0.306,-0.197,-0.034,0.194,0.482,0.829,1.235,1.684,2.143,2.583,3.004,3.411,3.778,4.081,4.311
5.35,-0.691,-0.596,-0.518,-0.452,-0.36,-0.239,-0.068,0.171,0.474,0.822,1.211,1.633,2.059,2.464,2.854,3.243,3.605,3.914,4.154
5.4,-0.699,-0.631,-0.572,-0.52,-0.44,-0.317,-0.134,0.117,0.431,0.784,1.161,1.558,1.953,2.33,2.699,3.073,3.433,3.748,4.001
5.45,-0.699,-0.653,-0.611,-0.573,-0.509,-0.401,-0.226,0.033,0.362,0.724,1.096,1.473,1.844,2.197,2.547,2.911,3.269,3.588,3.77
5.5,-0.678,-0.653,-0.63,-0.608,-0.564,-0.478,-0.323,-0.073,0.268,0.647,1.02,1.383,1.736,2.07,2.406,2.76,3.116,3.438,3.621
5.55,-0.67,-0.655,-0.641,-0.627,-0.598,-0.537,-0.412,-0.182,0.157,0.553,0.94,1.297,1.634,1.955,2.277,2.623,2.973,3.3,3.484
5.6,-0.665,-0.655,-0.646,-0.637,-0.617,-0.573,-0.478,-0.288,0.03,0.436,0.845,1.209,1.539,1.85,2.163,2.5,2.842,3.031,3.162
5.65,-0.66,-0.654,-0.648,-0.642,-0.628,-0.596,-0.523,-0.372,-0.097,0.299,0.732,1.117,1.45,1.755,2.061,2.389,2.724,2.911,3.041
5.7,-0.662,-0.656,-0.65,-0.644,-0.633,-0.608,-0.552,-0.433,-0.203,0.163,0.606,1.019,1.363,1.67,1.97,2.288,2.617,2.802,2.931
5.75,-0.659,-0.655,-0.651,-0.647,-0.637,-0.617,-0.572,-0.476,-0.286,0.04,0.477,0.912,1.275,1.586,1.886,2.199,2.508,2.687,2.813
5.8,-0.66,-0.656,-0.652,-0.648,-0.64,-0.622,-0.585,-0.505,-0.345,-0.058,0.358,0.804,1.185,1.505,1.807,2.115,2.413,2.588,2.713
5.85,-0.658,-0.655,-0.652,-0.649,-0.642,-0.627,-0.594,-0.525,-0.386,-0.13,0.258,0.703,1.099,1.428,1.735,2.037,2.326,2.498,2.621
5.9,-0.656,-0.654,-0.652,-0.65,-0.644,-0.63,-0.602,-0.541,-0.417,-0.186,0.178,0.615,1.02,1.361,1.67,1.967,2.241,2.408,2.528
5.95,-0.654,-0.652,-0.65,-0.648,-0.643,-0.632,-0.607,-0.553,-0.441,-0.229,0.113,0.539,0.951,1.304,1.616,1.904,2.16,2.32,2.437
6.0,-0.654,-0.651,-0.648,-0.645,-0.64,-0.63,-0.608,-0.56,-0.459,-0.263,0.06,0.476,0.892,1.256,1.571,1.845,2.08,2.232,2.344
