logT,logR_-8.0,logR_-7.5,logR_-7.0,logR_-6.5,logR_-6.0,logR_-5.5,logR_-5.0,logR_-4.5,logR_-4.0,logR_-3.5,logR_-3.0,logR_-2.5,logR_-2.0,logR_-1.5,logR_-1.0,logR_-0.5,logR_0.0,logR_0.5,logR_1.0
3.75,-0.401,-0.836,-1.035,-1.247,-1.462,-1.675,-1.871,-2.031,-2.124,-2.116,-2.015,-1.852,-1.65,-1.431,-1.201,-0.96,-0.709,-0.445,-0.167
3.8,-0.397,-0.472,-0.562,-0.692,-0.849,-1.015,-1.173,-1.3,-1.367,-1.36,-1.274,-1.127,-0.947,-0.749,-0.54,-0.319,-0.088,0.155,0.409
3.85,-0.392,-0.388,-0.384,-0.387,-0.41,-0.459,-0.521,-0.575,-0.598,-0.577,-0.507,-0.396,-0.251,-0.086,0.095,0.289,0.497,0.719,0.957
3.9,-0.403,-0.383,-0.364,-0.322,-0.247,-0.145,-0.04,0.048,0.119,0.185,0.257,0.343,0.448,0.573,0.716,0.876,1.053,1.248,1.462
3.95,-0.406,-0.387,-0.369,-0.327,-0.235,-0.074,0.156,0.418,0.648,0.819,0.94,1.036,1.125,1.219,1.325,1.447,1.588,1.749,1.932
4.0,-0.403,-0.389,-0.375,-0.339,-0.256,-0.094,0.166,0.51,0.88,1.202,1.438,1.6,1.714,1.805,1.891,1.986,2.095,2.224,2.374
4.05,-0.4,-0.389,-0.378,-0.349,-0.279,-0.133,0.116,0.468,0.886,1.31,1.684,1.965,2.153,2.283,2.382,2.469,2.561,2.666,2.791
4.1,-0.394,-0.385,-0.376,-0.353,-0.295,-0.169,0.055,0.385,0.801,1.26,1.719,2.117,2.422,2.635,2.778,2.885,2.978,3.073,3.183
4.15,-0.387,-0.378,-0.369,-0.35,-0.301,-0.194,0.001,0.3,0.697,1.157,1.642,2.118,2.535,2.853,3.073,3.227,3.343,3.444,3.549
4.2,-0.388,-0.375,-0.362,-0.341,-0.298,-0.206,-0.035,0.234,0.606,1.056,1.55,2.06,2.544,2.962,3.28,3.5,3.658,3.782,3.891
4.25,-0.391,-0.375,-0.36,-0.338,-0.295,-0.209,-0.055,0.19,0.539,0.979,1.473,1.996,2.511,3.003,3.409,3.709,3.925,4.085,4.212
4.3,-0.392,-0.374,-0.357,-0.332,-0.29,-0.21,-0.064,0.168,0.504,0.933,1.426,1.949,2.483,3.014,3.485,3.866,4.145,4.352,4.511
4.35,-0.391,-0.371,-0.352,-0.321,-0.277,-0.201,-0.066,0.159,0.492,0.92,1.408,1.93,2.478,3.025,3.541,3.986,4.328,4.581,4.779
4.4,-0.393,-0.371,-0.35,-0.314,-0.261,-0.183,-0.053,0.164,0.494,0.926,1.419,1.946,2.488,3.052,3.596,4.085,4.482,4.78,5.008
4.45,-0.395,-0.374,-0.354,-0.313,-0.248,-0.156,-0.021,0.194,0.522,0.955,1.454,1.986,2.533,3.1,3.657,4.175,4.611,4.95,5.202
4.5,-0.392,-0.374,-0.357,-0.319,-0.247,-0.137,0.017,0.243,0.574,1.008,1.509,2.04,2.593,3.159,3.72,4.252,4.711,5.077,5.348
4.55,-0.387,-0.373,-0.359,-0.326,-0.256,-0.136,0.04,0.288,0.634,1.072,1.571,2.099,2.653,3.211,3.769,4.298,4.763,5.143,5.418
4.6,-0.388,-0.374,-0.36,-0.331,-0.266,-0.146,0.044,0.315,0.682,1.131,1.629,2.151,2.693,3.236,3.775,4.285,4.741,5.121,5.401
4.65,-0.388,-0.376,-0.364,-0.338,-0.279,-0.162,0.033,0.32,0.701,1.158,1.654,2.168,2.689,3.209,3.718,4.2,4.641,5.02,5.31
4.7,-0.385,-0.375,-0.365,-0.343,-0.292,-0.185,0.007,0.297,0.684,1.141,1.633,2.138,2.639,3.131,3.608,4.062,4.489,4.869,5.174
4.75,-0.384,-0.375,-0.366,-0.347,-0.303,-0.209,-0.032,0.25,0.633,1.084,1.569,2.064,2.552,3.022,3.47,3.901,4.317,4.698,5.02
4.8,-0.382,-0.374,-0.366,-0.35,-0.312,-0.229,-0.069,0.192,0.557,0.998,1.476,1.965,2.447,2.903,3.329,3.737,4.142,4.526,4.862
4.85,-0.38,-0.372,-0.364,-0.349,-0.316,-0.244,-0.102,0.136,0.476,0.901,1.375,1.861,2.336,2.783,3.191,3.581,3.974,4.36,4.705
4.9,-0.374,-0.367,-0.36,-0.347,-0.319,-0.256,-0.133,0.079,0.396,0.804,1.271,1.758,2.23,2.667,3.061,3.434,3.816,4.203,4.556
4.95,-0.369,-0.361,-0.353,-0.34,-0.315,-0.26,-0.152,0.036,0.324,0.715,1.174,1.66,2.132,2.56,2.939,3.296,3.669,4.055,4.411
5.0,-0.358,-0.351,-0.344,-0.331,-0.307,-0.258,-0.16,0.009,0.27,0.634,1.083,1.566,2.038,2.46,2.825,3.167,3.531,3.916,4.272
5.05,-0.333,-0.328,-0.323,-0.313,-0.29,-0.243,-0.156,-0.002,0.239,0.577,1.003,1.479,1.949,2.366,2.716,3.043,3.401,3.786,4.137
5.1,-0.305,-0.298,-0.291,-0.281,-0.262,-0.22,-0.139,0.001,0.224,0.541,0.942,1.399,1.863,2.273,2.611,2.925,3.279,3.663,4.01
5.15,-0.289,-0.275,-0.261,-0.246,-0.223,-0.183,-0.108,0.021,0.227,0.524,0.906,1.341,1.786,2.184,2.507,2.812,3.163,3.547,3.868
5.2,-0.288,-0.266,-0.245,-0.221,-0.189,-0.143,-0.069,0.051,0.238,0.513,0.878,1.297,1.722,2.1,2.406,2.703,3.054,3.433,3.72
5.25,-0.304,-0.275,-0.248,-0.216,-0.175,-0.119,-0.038,0.079,0.252,0.506,0.851,1.257,1.664,2.019,2.307,2.599,2.951,3.317,3.57
5.3,-0.344,-0.307,-0.273,-0.232,-0.186,-0.124,-0.036,0.087,0.257,0.495,0.819,1.208,1.6,1.935,2.212,2.501,2.854,3.194,3.422
5.35,-0.372,-0.34,-0.31,-0.268,-0.213,-0.145,-0.055,0.07,0.242,0.474,0.783,1.154,1.53,1.85,2.119,2.409,2.76,3.066,3.244
5.4,-0.386,-0.364,-0.343,-0.311,-0.261,-0.188,-0.091,0.037,0.211,0.448,0.749,1.1,1.456,1.764,2.029,2.321,2.664,2.94,3.107
5.45,-0.396,-0.382,-0.368,-0.344,-0.304,-0.24,-0.144,-0.01,0.169,0.41,0.713,1.05,1.386,1.68,1.944,2.241,2.563,2.822,2.983
5.5,-0.397,-0.389,-0.381,-0.367,-0.339,-0.289,-0.204,-0.073,0.115,0.367,0.672,1.002,1.321,1.602,1.863,2.164,2.463,2.638,2.763
5.55,-0.399,-0.394,-0.389,-0.38,-0.362,-0.327,-0.259,-0.137,0.054,0.32,0.633,0.954,1.259,1.53,1.79,2.089,2.367,2.535,2.656
5.6,-0.398,-0.395,-0.392,-0.387,-0.375,-0.351,-0.301,-0.199,-0.015,0.259,0.586,0.905,1.199,1.465,1.727,2.015,2.279,2.442,2.56
5.65,-0.4,-0.397,-0.394,-0.391,-0.383,-0.365,-0.327,-0.247,-0.087,0.185,0.525,0.852,1.143,1.406,1.671,1.943,2.201,2.362,2.479
5.7,-0.399,-0.397,-0.395,-0.392,-0.386,-0.372,-0.343,-0.28,-0.146,0.105,0.452,0.793,1.088,1.352,1.617,1.877,2.039,2.156,2.248
5.75,-0.399,-0.398,-0.397,-0.394,-0.388,-0.378,-0.355,-0.303,-0.192,0.028,0.368,0.724,1.029,1.301,1.563,1.815,1.973,2.089,2.181
5.8,-0.401,-0.399,-0.397,-0.395,-0.39,-0.381,-0.361,-0.318,-0.224,-0.033,0.284,0.649,0.967,1.248,1.508,1.765,1.925,2.042,2.134
5.85,-0.398,-0.398,-0.398,-0.396,-0.391,-0.383,-0.365,-0.328,-0.246,-0.079,0.213,0.575,0.906,1.195,1.455,1.72,1.883,2.002,2.095
5.9,-0.399,-0.398,-0.397,-0.396,-0.392,-0.385,-0.369,-0.335,-0.262,-0.112,0.156,0.511,0.851,1.146,1.409,1.68,1.846,1.965,2.059
5.95,-0.398,-0.397,-0.396,-0.395,-0.392,-0.386,-0.372,-0.34,-0.273,-0.136,0.112,0.457,0.804,1.105,1.372,1.652,1.821,1.942,2.037
6.0,-0.398,-0.396,-0.394,-0.392,-0.39,-0.384,-0.372,-0.344,-0.282,-0.155,0.08,0.413,0.764,1.071,1.344,1.625,1.794,1.916,2.01
6.1,-0.4,-0.397,-0.394,-0.389,-0.383,-0.375,-0.363,-0.339,-0.287,-0.176,0.035,0.351,0.702,1.017,1.288,1.543,1.703,1.819,1.911
6.2,-0.402,-0.4,-0.398,-0.395,-0.388,-0.375,-0.354,-0.323,-0.271,-0.171,0.019,0.311,0.642,0.939,1.178,1.423,1.579,1.693,1.783
6.3,-0.402,-0.401,-0.4,-0.399,-0.396,-0.389,-0.371,-0.335,-0.269,-0.158,0.023,0.281,0.564,0.814,1.028,1.284,1.444,1.561,1.652
6.4,-0.403,-0.402,-0.401,-0.401,-0.399,-0.396,-0.387,-0.364,-0.308,-0.194,-0.012,0.218,0.452,0.66,0.874,1.153,1.321,1.443,1.537
6.5,-0.402,-0.402,-0.402,-0.401,-0.4,-0.398,-0.393,-0.379,-0.342,-0.256,-0.099,0.104,0.308,0.507,0.734,1.047,1.227,1.354,1.452
6.6,-0.403,-0.403,-0.403,-0.402,-0.401,-0.4,-0.396,-0.386,-0.36,-0.299,-0.182,-0.012,0.176,0.373,0.615,0.946,1.132,1.261,1.361
6.7,-0.404,-0.404,-0.404,-0.403,-0.403,-0.402,-0.399,-0.391,-0.371,-0.326,-0.237,-0.098,0.069,0.261,0.514,0.855,1.044,1.175,1.275
6.8,-0.405,-0.405,-0.405,-0.404,-0.404,-0.403,-0.401,-0.394,-0.379,-0.344,-0.275,-0.163,-0.015,0.173,0.431,0.772,0.961,1.092,1.192
6.9,-0.406,-0.406,-0.406,-0.405,-0.405,-0.404,-0.402,-0.397,-0.385,-0.357,-0.302,-0.209,-0.077,0.106,0.363,0.703,0.891,1.022,1.123
7.0,-0.407,-0.407,-0.407,-0.407,-0.406,-0.405,-0.403,-0.399,-0.388,-0.365,-0.319,-0.24,-0.12,0.056,0.304,0.63,0.814,0.943,1.042
7.1,-0.409,-0.409,-0.409,-0.409,-0.408,-0.408,-0.406,-0.401,-0.39,-0.369,-0.328,-0.259,-0.15,0.012,0.246,0.559,0.739,0.866,0.964
7.2,-0.412,-0.412,-0.412,-0.411,-0.411,-0.411,-0.409,-0.405,-0.395,-0.374,-0.337,-0.275,-0.178,-0.031,0.187,0.486,0.661,0.786,0.883
7.3,-0.414,-0.414,-0.414,-0.414,-0.414,-0.414,-0.412,-0.409,-0.401,-0.383,-0.349,-0.293,-0.208,-0.077,0.127,0.41,0.58,0.702,0.797
7.4,-0.418,-0.418,-0.418,-0.418,-0.418,-0.417,-0.416,-0.414,-0.407,-0.393,-0.364,-0.315,-0.24,-0.122,0.064,0.329,0.492,0.611,0.704
7.5,-0.422,-0.422,-0.422,-0.422,-0.422,-0.422,-0.421,-0.419,-0.414,-0.402,-0.379,-0.338,-0.273,-0.17,-0.002,0.272,0.439,0.559,0.653
7.6,-0.427,-0.427,-0.427,-0.427,-0.427,-0.427,-0.426,-0.425,-0.421,-0.411,-0.392,-0.359,-0.306,-0.219,-0.065,0.173,0.326,0.439,0.528
7.7,-0.434,-0.434,-0.434,-0.434,-0.434,-0.434,-0.433,-0.432,-0.428,-0.421,-0.406,-0.38,-0.342,-0.268,-0.165,0.149,0.329,0.456,0.555
7.8,-0.442,-0.442,-0.442,-0.442,-0.442,-0.442,-0.441,-0.44,-0.438,-0.432,-0.421,-0.404,-0.377,-0.343,-0.185,0.125,0.304,0.43,0.528
7.9,-0.452,-0.452,-0.452,-0.452,-0.452,-0.452,-0.451,-0.451,-0.449,-0.445,-0.438,-0.431,-0.425,-0.396,-0.274,0.071,0.261,0.392,0.493
8.0,-0.465,-0.465,-0.465,-0.465,-0.465,-0.464,-0.464,-0.464,-0.462,-0.461,-0.458,-0.467,-0.464,-0.526,-0.29,0.039,0.224,0.353,0.453
8.1,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999
8.3,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999
8.5,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999
8.7,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999
