logT,logR_-8.0,logR_-7.5,logR_-7.0,logR_-6.5,logR_-6.0,logR_-5.5,logR_-5.0,logR_-4.5,logR_-4.0,logR_-3.5,logR_-3.0,logR_-2.5,logR_-2.0,logR_-1.5,logR_-1.0,logR_-0.5,logR_0.0,logR_0.5,logR_1.0
3.75,-0.423,-0.853,-1.052,-1.264,-1.48,-1.693,-1.891,-2.054,-2.152,-2.151,-2.056,-1.898,-1.702,-1.489,-1.268,-1.04,-0.805,-0.565,-0.32
3.8,-0.423,-0.496,-0.584,-0.714,-0.87,-1.035,-1.195,-1.325,-1.397,-1.395,-1.314,-1.171,-0.996,-0.804,-0.601,-0.39,-0.169,0.061,0.298
3.85,-0.42,-0.417,-0.414,-0.417,-0.438,-0.485,-0.547,-0.601,-0.628,-0.61,-0.544,-0.436,-0.295,-0.135,0.039,0.224,0.422,0.632,0.855
3.9,-0.43,-0.412,-0.395,-0.357,-0.283,-0.18,-0.074,0.016,0.087,0.153,0.222,0.306,0.408,0.528,0.665,0.817,0.984,1.167,1.367
3.95,-0.43,-0.414,-0.399,-0.361,-0.275,-0.118,0.111,0.374,0.608,0.781,0.904,0.999,1.086,1.177,1.278,1.393,1.525,1.677,1.848
4.0,-0.426,-0.415,-0.404,-0.372,-0.295,-0.14,0.113,0.453,0.825,1.152,1.393,1.56,1.676,1.765,1.848,1.937,2.04,2.161,2.303
4.05,-0.42,-0.412,-0.404,-0.38,-0.316,-0.179,0.06,0.402,0.818,1.245,1.63,1.921,2.113,2.244,2.342,2.426,2.513,2.613,2.733
4.1,-0.417,-0.409,-0.401,-0.381,-0.328,-0.211,0.001,0.319,0.728,1.187,1.656,2.063,2.377,2.594,2.738,2.845,2.937,3.029,3.136
4.15,-0.412,-0.405,-0.398,-0.381,-0.336,-0.235,-0.049,0.238,0.625,1.083,1.574,2.058,2.484,2.809,3.034,3.19,3.306,3.406,3.51
4.2,-0.412,-0.403,-0.394,-0.378,-0.339,-0.253,-0.089,0.174,0.54,0.986,1.482,1.997,2.488,2.913,3.239,3.463,3.624,3.748,3.858
4.25,-0.412,-0.4,-0.388,-0.371,-0.336,-0.259,-0.113,0.127,0.474,0.915,1.41,1.934,2.454,2.952,3.365,3.671,3.89,4.053,4.181
4.3,-0.415,-0.399,-0.384,-0.362,-0.328,-0.258,-0.125,0.1,0.435,0.869,1.367,1.892,2.427,2.963,3.44,3.827,4.11,4.319,4.481
4.35,-0.418,-0.399,-0.381,-0.353,-0.313,-0.245,-0.12,0.094,0.422,0.853,1.347,1.875,2.426,2.976,3.495,3.945,4.292,4.548,4.749
4.4,-0.416,-0.398,-0.381,-0.346,-0.295,-0.223,-0.102,0.105,0.428,0.86,1.356,1.89,2.437,3.005,3.552,4.044,4.446,4.747,4.978
4.45,-0.415,-0.398,-0.382,-0.345,-0.283,-0.197,-0.069,0.138,0.461,0.894,1.394,1.929,2.481,3.055,3.617,4.138,4.577,4.919,5.174
4.5,-0.413,-0.397,-0.382,-0.347,-0.28,-0.176,-0.031,0.186,0.515,0.949,1.453,1.986,2.544,3.117,3.687,4.224,4.685,5.052,5.325
4.55,-0.41,-0.399,-0.388,-0.356,-0.291,-0.175,-0.004,0.237,0.578,1.019,1.523,2.054,2.612,3.178,3.748,4.287,4.756,5.135,5.408
4.6,-0.408,-0.399,-0.39,-0.363,-0.304,-0.189,-0.003,0.268,0.635,1.085,1.588,2.115,2.664,3.217,3.774,4.301,4.763,5.14,5.413
4.65,-0.408,-0.4,-0.392,-0.37,-0.318,-0.21,-0.023,0.261,0.648,1.113,1.617,2.139,2.672,3.208,3.742,4.247,4.697,5.07,5.345
4.7,-0.407,-0.4,-0.393,-0.374,-0.331,-0.234,-0.055,0.225,0.61,1.075,1.582,2.103,2.625,3.145,3.658,4.143,4.581,4.95,5.234
4.75,-0.407,-0.4,-0.393,-0.377,-0.34,-0.256,-0.092,0.174,0.546,0.997,1.495,2.014,2.536,3.051,3.551,4.023,4.452,4.816,5.106
4.8,-0.405,-0.4,-0.395,-0.38,-0.347,-0.272,-0.125,0.121,0.474,0.911,1.399,1.911,2.434,2.953,3.45,3.915,4.333,4.687,4.974
4.85,-0.407,-0.401,-0.395,-0.382,-0.351,-0.283,-0.15,0.076,0.407,0.831,1.312,1.821,2.343,2.867,3.369,3.831,4.236,4.571,4.849
4.9,-0.405,-0.4,-0.395,-0.384,-0.357,-0.294,-0.171,0.039,0.354,0.767,1.244,1.752,2.274,2.8,3.306,3.765,4.152,4.464,4.728
4.95,-0.406,-0.4,-0.394,-0.385,-0.361,-0.305,-0.189,0.012,0.318,0.724,1.197,1.703,2.223,2.746,3.252,3.705,4.071,4.358,4.603
5.0,-0.404,-0.399,-0.394,-0.385,-0.365,-0.316,-0.21,-0.018,0.282,0.684,1.155,1.659,2.174,2.691,3.189,3.629,3.975,4.244,4.474
5.05,-0.399,-0.395,-0.391,-0.384,-0.367,-0.324,-0.229,-0.049,0.243,0.641,1.105,1.6,2.105,2.609,3.092,3.516,3.851,4.114,4.34
5.1,-0.391,-0.388,-0.385,-0.378,-0.365,-0.33,-0.249,-0.085,0.191,0.574,1.026,1.506,1.994,2.48,2.947,3.361,3.699,3.971,4.203
5.15,-0.389,-0.384,-0.379,-0.372,-0.36,-0.331,-0.262,-0.12,0.129,0.487,0.916,1.376,1.844,2.311,2.765,3.178,3.529,3.822,4.057
