logT,logR_-8.0,logR_-7.5,logR_-7.0,logR_-6.5,logR_-6.0,logR_-5.5,logR_-5.0,logR_-4.5,logR_-4.0,logR_-3.5,logR_-3.0,logR_-2.5,logR_-2.0,logR_-1.5,logR_-1.0,logR_-0.5,logR_0.0,logR_0.5,logR_1.0
3.75,-0.998,-1.122,-1.297,-1.497,-1.708,-1.922,-2.132,-2.322,-2.472,-2.548,-2.52,-2.398,-2.211,-1.981,-1.723,-1.431,-1.098,-0.72,-0.314
3.8,-0.824,-0.869,-0.919,-1.012,-1.146,-1.303,-1.468,-1.623,-1.741,-1.795,-1.771,-1.668,-1.506,-1.31,-1.092,-0.856,-0.599,-0.314,0.009
3.85,-0.837,-0.83,-0.823,-0.818,-0.823,-0.85,-0.902,-0.964,-1.012,-1.026,-0.993,-0.911,-0.786,-0.628,-0.446,-0.244,-0.024,0.216,0.482
3.9,-0.85,-0.834,-0.819,-0.792,-0.743,-0.665,-0.565,-0.464,-0.377,-0.305,-0.235,-0.156,-0.06,0.058,0.199,0.363,0.549,0.757,0.987
3.95,-0.843,-0.834,-0.825,-0.8,-0.747,-0.643,-0.472,-0.24,0.018,0.242,0.409,0.532,0.633,0.731,0.839,0.965,1.112,1.283,1.479
4.0,-0.752,-0.775,-0.799,-0.797,-0.758,-0.662,-0.483,-0.21,0.139,0.503,0.815,1.044,1.204,1.323,1.426,1.53,1.647,1.784,1.943
4.05,-0.672,-0.686,-0.701,-0.721,-0.721,-0.662,-0.509,-0.244,0.123,0.544,0.96,1.318,1.586,1.771,1.906,2.017,2.122,2.236,2.366
4.1,-0.666,-0.661,-0.656,-0.647,-0.627,-0.579,-0.469,-0.258,0.071,0.488,0.941,1.382,1.761,2.053,2.259,2.406,2.524,2.632,2.744
4.15,-0.658,-0.647,-0.636,-0.621,-0.589,-0.516,-0.38,-0.177,0.096,0.452,0.878,1.34,1.792,2.184,2.485,2.699,2.853,2.975,3.084
4.2,-0.665,-0.646,-0.628,-0.603,-0.566,-0.492,-0.35,-0.121,0.178,0.515,0.883,1.305,1.766,2.216,2.608,2.907,3.118,3.273,3.397
4.25,-0.668,-0.649,-0.631,-0.605,-0.562,-0.483,-0.344,-0.122,0.189,0.564,0.957,1.353,1.772,2.22,2.666,3.042,3.324,3.53,3.686
4.3,-0.659,-0.643,-0.628,-0.602,-0.56,-0.484,-0.347,-0.126,0.182,0.569,0.999,1.436,1.852,2.276,2.718,3.136,3.487,3.748,3.947
4.35,-0.642,-0.63,-0.618,-0.593,-0.55,-0.479,-0.351,-0.14,0.17,0.565,1.013,1.48,1.942,2.385,2.811,3.235,3.625,3.938,4.177
4.4,-0.578,-0.584,-0.59,-0.574,-0.53,-0.458,-0.338,-0.139,0.162,0.562,1.026,1.515,2.007,2.484,2.939,3.365,3.767,4.115,4.386
4.45,-0.535,-0.534,-0.533,-0.524,-0.49,-0.419,-0.297,-0.104,0.188,0.582,1.048,1.553,2.063,2.572,3.06,3.513,3.926,4.287,4.584
4.5,-0.537,-0.518,-0.5,-0.462,-0.4,-0.313,-0.191,-0.008,0.266,0.641,1.097,1.6,2.12,2.648,3.159,3.646,4.085,4.459,4.766
4.55,-0.537,-0.517,-0.498,-0.46,-0.384,-0.254,-0.074,0.139,0.404,0.752,1.182,1.667,2.184,2.717,3.242,3.753,4.219,4.612,4.926
4.6,-0.537,-0.517,-0.498,-0.459,-0.388,-0.255,-0.037,0.255,0.581,0.926,1.318,1.768,2.264,2.784,3.312,3.833,4.315,4.724,5.04
