logT,logR_-8.0,logR_-7.5,logR_-7.0,logR_-6.5,logR_-6.0,logR_-5.5,logR_-5.0,logR_-4.5,logR_-4.0,logR_-3.5,logR_-3.0,logR_-2.5,logR_-2.0,logR_-1.5,logR_-1.0,logR_-0.5,logR_0.0,logR_0.5,logR_1.0
3.75,-1.239,-1.399,-1.654,-1.826,-2.024,-2.235,-2.449,-2.659,-2.851,-3.004,-3.086,-3.064,-2.947,-2.766,-2.545,-2.298,-2.026,-1.722,-1.377
3.8,-1.333,-1.371,-1.413,-1.459,-1.549,-1.679,-1.835,-2.0,-2.156,-2.278,-2.336,-2.318,-2.22,-2.061,-1.868,-1.653,-1.424,-1.177,-0.908
3.85,-1.389,-1.383,-1.377,-1.371,-1.366,-1.369,-1.393,-1.443,-1.505,-1.555,-1.572,-1.542,-1.463,-1.34,-1.184,-1.004,-0.805,-0.591,-0.358
3.9,-1.407,-1.393,-1.38,-1.367,-1.343,-1.298,-1.222,-1.122,-1.02,-0.931,-0.857,-0.786,-0.708,-0.612,-0.496,-0.356,-0.195,-0.014,0.188
3.95,-1.354,-1.358,-1.362,-1.366,-1.348,-1.301,-1.204,-1.04,-0.812,-0.553,-0.324,-0.151,-0.025,0.078,0.176,0.284,0.407,0.55,0.716
4.0,-1.032,-1.095,-1.168,-1.256,-1.303,-1.294,-1.216,-1.051,-0.788,-0.445,-0.079,0.24,0.477,0.642,0.763,0.866,0.968,1.082,1.215
4.05,-0.828,-0.876,-0.929,-0.99,-1.071,-1.136,-1.14,-1.036,-0.806,-0.46,-0.047,0.371,0.736,1.012,1.203,1.341,1.451,1.554,1.665
4.1,-0.868,-0.868,-0.868,-0.868,-0.871,-0.877,-0.871,-0.825,-0.695,-0.445,-0.079,0.353,0.79,1.175,1.475,1.687,1.837,1.955,2.063
4.15,-0.875,-0.863,-0.852,-0.841,-0.821,-0.772,-0.679,-0.544,-0.388,-0.207,0.033,0.361,0.77,1.205,1.599,1.907,2.127,2.285,2.408
4.2,-0.887,-0.868,-0.849,-0.831,-0.803,-0.749,-0.636,-0.44,-0.182,0.084,0.327,0.568,0.861,1.233,1.645,2.03,2.334,2.55,2.71
4.25,-0.89,-0.871,-0.852,-0.834,-0.803,-0.745,-0.634,-0.439,-0.151,0.201,0.551,0.852,1.119,1.398,1.733,2.12,2.479,2.761,2.971
4.3,-0.885,-0.868,-0.851,-0.835,-0.805,-0.747,-0.639,-0.45,-0.165,0.206,0.623,1.028,1.376,1.667,1.954,2.275,2.621,2.945,3.2
4.35,-0.861,-0.85,-0.84,-0.83,-0.802,-0.746,-0.643,-0.464,-0.184,0.193,0.632,1.091,1.526,1.905,2.225,2.518,2.827,3.141,3.421
4.4,-0.738,-0.757,-0.777,-0.798,-0.785,-0.735,-0.636,-0.465,-0.196,0.18,0.631,1.113,1.596,2.048,2.447,2.785,3.088,3.382,3.658
4.45,-0.616,-0.64,-0.665,-0.692,-0.712,-0.693,-0.609,-0.444,-0.181,0.189,0.641,1.134,1.638,2.133,2.599,3.002,3.348,3.65,3.917
4.5,-0.674,-0.645,-0.617,-0.591,-0.548,-0.496,-0.428,-0.306,-0.087,0.248,0.68,1.167,1.676,2.191,2.691,3.153,3.558,3.897,4.172
4.55,-0.68,-0.646,-0.615,-0.586,-0.52,-0.404,-0.244,-0.07,0.128,0.398,0.771,1.225,1.721,2.238,2.753,3.247,3.701,4.083,4.385
4.6,-0.677,-0.645,-0.615,-0.587,-0.527,-0.408,-0.196,0.092,0.392,0.676,0.977,1.348,1.796,2.29,2.8,3.308,3.788,4.204,4.529
4.65,-0.673,-0.645,-0.618,-0.593,-0.541,-0.432,-0.231,0.085,0.492,0.899,1.248,1.57,1.934,2.367,2.85,3.35,3.836,4.271,4.619
4.7,-0.658,-0.637,-0.617,-0.598,-0.552,-0.458,-0.277,0.016,0.422,0.904,1.382,1.787,2.136,2.5,2.925,3.395,3.873,4.313,4.671
4.75,-0.657,-0.636,-0.616,-0.597,-0.558,-0.478,-0.32,-0.057,0.318,0.783,1.306,1.828,2.279,2.659,3.037,3.461,3.911,4.343,4.702
4.8,-0.645,-0.628,-0.611,-0.595,-0.562,-0.491,-0.352,-0.116,0.227,0.665,1.169,1.717,2.262,2.741,3.151,3.545,3.959,4.371,4.725
4.85,-0.643,-0.624,-0.605,-0.587,-0.555,-0.494,-0.371,-0.158,0.16,0.576,1.064,1.598,2.159,2.713,3.2,3.62,4.019,4.406,4.748
4.9,-0.642,-0.619,-0.597,-0.576,-0.544,-0.488,-0.379,-0.186,0.113,0.514,0.991,1.516,2.073,2.645,3.185,3.655,4.071,4.445,4.776
4.95,-0.645,-0.616,-0.588,-0.562,-0.526,-0.469,-0.366,-0.186,0.097,0.488,0.959,1.479,2.036,2.605,3.155,3.662,4.107,4.485,4.806
