logT,logR_-8.0,logR_-7.5,logR_-7.0,logR_-6.5,logR_-6.0,logR_-5.5,logR_-5.0,logR_-4.5,logR_-4.0,logR_-3.5,logR_-3.0,logR_-2.5,logR_-2.0,logR_-1.5,logR_-1.0,logR_-0.5,logR_0.0,logR_0.5,logR_1.0
3.75,-0.401,-0.84,-1.039,-1.252,-1.468,-1.681,-1.878,-2.038,-2.132,-2.127,-2.028,-1.868,-1.671,-1.457,-1.236,-1.008,-0.773,-0.532,-0.287
3.8,-0.402,-0.477,-0.567,-0.698,-0.855,-1.02,-1.179,-1.307,-1.376,-1.371,-1.286,-1.142,-0.966,-0.773,-0.57,-0.359,-0.137,0.093,0.33
3.85,-0.398,-0.395,-0.392,-0.395,-0.417,-0.465,-0.527,-0.581,-0.606,-0.586,-0.518,-0.408,-0.267,-0.106,0.069,0.255,0.452,0.663,0.886
3.9,-0.407,-0.389,-0.372,-0.332,-0.257,-0.153,-0.047,0.042,0.113,0.178,0.248,0.332,0.435,0.556,0.694,0.846,1.013,1.197,1.398
3.95,-0.409,-0.392,-0.376,-0.337,-0.247,-0.087,0.144,0.408,0.639,0.81,0.931,1.025,1.112,1.203,1.305,1.42,1.553,1.706,1.877
4.0,-0.407,-0.394,-0.381,-0.348,-0.268,-0.109,0.148,0.492,0.863,1.187,1.424,1.588,1.703,1.791,1.873,1.963,2.066,2.189,2.332
4.05,-0.404,-0.394,-0.384,-0.358,-0.291,-0.149,0.095,0.441,0.859,1.286,1.667,1.954,2.142,2.271,2.368,2.452,2.539,2.64,2.761
4.1,-0.4,-0.392,-0.384,-0.363,-0.307,-0.185,0.033,0.357,0.77,1.231,1.698,2.101,2.41,2.624,2.766,2.872,2.963,3.055,3.164
4.15,-0.396,-0.389,-0.382,-0.364,-0.318,-0.215,-0.024,0.271,0.664,1.126,1.617,2.101,2.523,2.843,3.064,3.218,3.333,3.433,3.537
4.2,-0.395,-0.386,-0.377,-0.361,-0.321,-0.233,-0.067,0.2,0.571,1.024,1.525,2.041,2.53,2.952,3.273,3.493,3.652,3.775,3.885
4.25,-0.396,-0.384,-0.372,-0.355,-0.319,-0.24,-0.092,0.151,0.501,0.947,1.447,1.976,2.497,2.995,3.403,3.704,3.921,4.082,4.208
4.3,-0.401,-0.384,-0.368,-0.346,-0.31,-0.239,-0.104,0.122,0.46,0.897,1.399,1.929,2.469,3.006,3.48,3.863,4.142,4.35,4.51
4.35,-0.403,-0.384,-0.366,-0.337,-0.296,-0.227,-0.101,0.116,0.446,0.88,1.377,1.908,2.464,3.017,3.537,3.984,4.327,4.58,4.779
4.4,-0.404,-0.385,-0.367,-0.333,-0.281,-0.207,-0.084,0.126,0.453,0.887,1.385,1.921,2.47,3.042,3.592,4.084,4.482,4.78,5.009
4.45,-0.404,-0.387,-0.371,-0.335,-0.273,-0.185,-0.054,0.158,0.484,0.92,1.422,1.958,2.512,3.088,3.652,4.174,4.612,4.95,5.203
4.5,-0.402,-0.388,-0.374,-0.341,-0.274,-0.17,-0.023,0.2,0.534,0.972,1.478,2.012,2.571,3.144,3.714,4.251,4.712,5.078,5.348
4.55,-0.4,-0.389,-0.378,-0.349,-0.284,-0.171,-0.003,0.24,0.587,1.033,1.54,2.072,2.629,3.194,3.76,4.295,4.763,5.143,5.418
4.6,-0.4,-0.39,-0.38,-0.356,-0.297,-0.183,-0.001,0.264,0.629,1.082,1.588,2.116,2.661,3.21,3.759,4.278,4.739,5.121,5.401
4.65,-0.399,-0.391,-0.383,-0.362,-0.311,-0.203,-0.018,0.26,0.638,1.096,1.595,2.113,2.639,3.166,3.689,4.186,4.635,5.018,5.309
4.7,-0.396,-0.39,-0.384,-0.367,-0.324,-0.227,-0.05,0.226,0.603,1.056,1.546,2.049,2.554,3.059,3.558,4.036,4.479,4.865,5.172
4.75,-0.397,-0.391,-0.385,-0.371,-0.335,-0.252,-0.09,0.171,0.533,0.97,1.445,1.934,2.423,2.91,3.392,3.86,4.3,4.691,5.018
4.8,-0.395,-0.391,-0.387,-0.375,-0.345,-0.274,-0.131,0.107,0.445,0.861,1.321,1.796,2.273,2.746,3.217,3.679,4.118,4.517,4.858
4.85,-0.395,-0.391,-0.387,-0.378,-0.352,-0.291,-0.168,0.041,0.348,0.74,1.186,1.651,2.117,2.581,3.044,3.503,3.942,4.348,4.701
4.9,-0.393,-0.39,-0.387,-0.379,-0.358,-0.307,-0.202,-0.019,0.258,0.626,1.057,1.513,1.968,2.423,2.88,3.335,3.775,4.187,4.55
4.95,-0.393,-0.39,-0.387,-0.38,-0.362,-0.32,-0.231,-0.073,0.173,0.515,0.932,1.381,1.83,2.275,2.726,3.178,3.619,4.036,4.404
5.0,-0.39,-0.388,-0.386,-0.379,-0.364,-0.328,-0.253,-0.116,0.102,0.417,0.816,1.255,1.698,2.136,2.581,3.03,3.472,3.895,4.264
5.05,-0.385,-0.384,-0.383,-0.378,-0.365,-0.333,-0.267,-0.148,0.047,0.336,0.715,1.142,1.576,2.005,2.444,2.891,3.336,3.762,4.129
5.1,-0.379,-0.377,-0.375,-0.371,-0.361,-0.335,-0.278,-0.173,0.002,0.267,0.624,1.038,1.462,1.882,2.315,2.761,3.209,3.636,3.999
