logT,logR_-8.0,logR_-7.5,logR_-7.0,logR_-6.5,logR_-6.0,logR_-5.5,logR_-5.0,logR_-4.5,logR_-4.0,logR_-3.5,logR_-3.0,logR_-2.5,logR_-2.0,logR_-1.5,logR_-1.0,logR_-0.5,logR_0.0,logR_0.5,logR_1.0
3.75,-1.238,-1.4,-1.661,-1.833,-2.032,-2.244,-2.458,-2.67,-2.864,-3.02,-3.106,-3.091,-2.983,-2.814,-2.608,-2.386,-2.152,-1.908,-1.65
3.8,-1.341,-1.38,-1.422,-1.469,-1.559,-1.69,-1.846,-2.011,-2.168,-2.293,-2.356,-2.343,-2.251,-2.099,-1.915,-1.713,-1.5,-1.277,-1.042
3.85,-1.396,-1.392,-1.388,-1.384,-1.38,-1.383,-1.406,-1.455,-1.517,-1.569,-1.59,-1.565,-1.49,-1.374,-1.225,-1.055,-0.871,-0.673,-0.461
3.9,-1.407,-1.397,-1.388,-1.379,-1.359,-1.317,-1.242,-1.14,-1.036,-0.947,-0.874,-0.806,-0.731,-0.641,-0.531,-0.401,-0.253,-0.089,0.092
3.95,-1.355,-1.362,-1.369,-1.376,-1.362,-1.32,-1.228,-1.067,-0.837,-0.576,-0.345,-0.173,-0.05,0.048,0.141,0.239,0.35,0.477,0.623
4.0,-1.034,-1.098,-1.174,-1.266,-1.315,-1.311,-1.239,-1.081,-0.823,-0.481,-0.112,0.21,0.446,0.609,0.725,0.82,0.91,1.01,1.125
4.05,-0.832,-0.881,-0.936,-0.999,-1.083,-1.153,-1.163,-1.068,-0.847,-0.509,-0.098,0.323,0.694,0.974,1.163,1.295,1.396,1.487,1.583
4.1,-0.876,-0.877,-0.878,-0.879,-0.885,-0.894,-0.894,-0.855,-0.736,-0.498,-0.142,0.289,0.735,1.128,1.432,1.644,1.788,1.899,1.996
4.15,-0.886,-0.876,-0.867,-0.858,-0.839,-0.793,-0.703,-0.575,-0.427,-0.258,-0.029,0.293,0.702,1.146,1.551,1.864,2.084,2.239,2.357
4.2,-0.891,-0.877,-0.864,-0.851,-0.828,-0.778,-0.669,-0.478,-0.223,0.039,0.276,0.51,0.798,1.171,1.591,1.986,2.296,2.513,2.673
4.25,-0.894,-0.879,-0.865,-0.851,-0.826,-0.776,-0.673,-0.483,-0.197,0.156,0.509,0.808,1.072,1.347,1.683,2.079,2.446,2.732,2.944
4.3,-0.892,-0.878,-0.865,-0.852,-0.826,-0.776,-0.678,-0.499,-0.219,0.156,0.579,0.989,1.339,1.628,1.915,2.24,2.593,2.922,3.181
4.35,-0.874,-0.866,-0.858,-0.85,-0.825,-0.774,-0.678,-0.509,-0.237,0.139,0.585,1.05,1.491,1.874,2.196,2.491,2.805,3.124,3.407
4.4,-0.747,-0.77,-0.795,-0.821,-0.811,-0.765,-0.671,-0.508,-0.245,0.129,0.582,1.069,1.56,2.017,2.421,2.764,3.072,3.371,3.649
4.45,-0.626,-0.653,-0.682,-0.713,-0.739,-0.728,-0.65,-0.49,-0.231,0.14,0.595,1.091,1.6,2.101,2.574,2.984,3.336,3.643,3.912
4.5,-0.681,-0.656,-0.633,-0.611,-0.572,-0.527,-0.467,-0.354,-0.139,0.199,0.636,1.127,1.639,2.159,2.666,3.135,3.548,3.892,4.169
4.55,-0.687,-0.659,-0.632,-0.607,-0.545,-0.433,-0.277,-0.111,0.081,0.35,0.727,1.187,1.688,2.208,2.727,3.229,3.691,4.079,4.382
4.6,-0.685,-0.658,-0.633,-0.609,-0.555,-0.442,-0.233,0.056,0.357,0.638,0.938,1.311,1.762,2.261,2.776,3.289,3.777,4.199,4.527
4.65,-0.678,-0.656,-0.635,-0.615,-0.569,-0.468,-0.276,0.038,0.454,0.868,1.219,1.54,1.903,2.338,2.826,3.332,3.825,4.265,4.616
4.7,-0.666,-0.65,-0.634,-0.619,-0.579,-0.494,-0.324,-0.043,0.361,0.858,1.351,1.761,2.109,2.474,2.902,3.377,3.862,4.307,4.668
4.75,-0.661,-0.646,-0.632,-0.618,-0.586,-0.514,-0.367,-0.118,0.245,0.712,1.254,1.794,2.255,2.637,3.016,3.445,3.9,4.337,4.699
4.8,-0.653,-0.64,-0.628,-0.616,-0.588,-0.527,-0.399,-0.177,0.154,0.586,1.098,1.665,2.229,2.718,3.133,3.531,3.95,4.365,4.722
4.85,-0.656,-0.64,-0.624,-0.609,-0.582,-0.529,-0.417,-0.219,0.086,0.496,0.987,1.533,2.113,2.684,3.182,3.607,4.011,4.401,4.746
4.9,-0.66,-0.639,-0.619,-0.6,-0.572,-0.523,-0.424,-0.246,0.039,0.435,0.916,1.449,2.022,2.612,3.164,3.643,4.065,4.442,4.774
4.95,-0.673,-0.645,-0.618,-0.593,-0.559,-0.507,-0.414,-0.248,0.023,0.411,0.886,1.414,1.986,2.571,3.132,3.649,4.101,4.483,4.805
