logT,logR_-8.0,logR_-7.5,logR_-7.0,logR_-6.5,logR_-6.0,logR_-5.5,logR_-5.0,logR_-4.5,logR_-4.0,logR_-3.5,logR_-3.0,logR_-2.5,logR_-2.0,logR_-1.5,logR_-1.0,logR_-0.5,logR_0.0,logR_0.5,logR_1.0
3.75,-0.787,-0.919,-1.11,-1.317,-1.53,-1.741,-1.94,-2.106,-2.213,-2.222,-2.126,-1.951,-1.718,-1.444,-1.124,-0.752,-0.336,0.095,0.51
3.8,-0.522,-0.587,-0.663,-0.781,-0.931,-1.095,-1.256,-1.39,-1.469,-1.473,-1.395,-1.248,-1.056,-0.837,-0.594,-0.323,-0.013,0.345,0.743
3.85,-0.524,-0.517,-0.51,-0.509,-0.526,-0.57,-0.63,-0.685,-0.712,-0.696,-0.629,-0.516,-0.365,-0.186,0.015,0.237,0.484,0.765,1.081
3.9,-0.543,-0.518,-0.494,-0.453,-0.387,-0.293,-0.191,-0.098,-0.02,0.052,0.128,0.22,0.333,0.47,0.632,0.817,1.026,1.261,1.524
3.95,-0.546,-0.524,-0.503,-0.46,-0.375,-0.231,-0.021,0.233,0.475,0.666,0.805,0.914,1.015,1.123,1.248,1.395,1.567,1.764,1.987
4.0,-0.528,-0.517,-0.506,-0.472,-0.396,-0.246,-0.007,0.318,0.685,1.023,1.285,1.471,1.606,1.717,1.825,1.945,2.083,2.245,2.429
4.05,-0.495,-0.489,-0.483,-0.464,-0.406,-0.274,-0.042,0.296,0.706,1.131,1.517,1.822,2.038,2.194,2.317,2.431,2.548,2.681,2.832
4.1,-0.479,-0.469,-0.459,-0.437,-0.386,-0.277,-0.074,0.24,0.647,1.099,1.552,1.959,2.286,2.525,2.696,2.829,2.947,3.064,3.19
4.15,-0.463,-0.449,-0.435,-0.413,-0.364,-0.259,-0.071,0.212,0.586,1.026,1.496,1.962,2.383,2.719,2.965,3.142,3.278,3.396,3.511
4.2,-0.472,-0.445,-0.42,-0.387,-0.335,-0.237,-0.06,0.21,0.564,0.977,1.432,1.914,2.386,2.805,3.141,3.381,3.556,3.692,3.809
4.25,-0.476,-0.449,-0.424,-0.387,-0.325,-0.22,-0.049,0.204,0.545,0.954,1.401,1.874,2.356,2.827,3.238,3.555,3.786,3.959,4.095
4.3,-0.465,-0.441,-0.418,-0.383,-0.325,-0.221,-0.045,0.212,0.546,0.95,1.401,1.874,2.352,2.839,3.294,3.68,3.975,4.194,4.364
4.35,-0.451,-0.427,-0.404,-0.368,-0.312,-0.217,-0.053,0.201,0.544,0.958,1.413,1.89,2.381,2.87,3.343,3.777,4.132,4.399,4.607
4.4,-0.435,-0.411,-0.388,-0.346,-0.285,-0.193,-0.041,0.198,0.538,0.965,1.438,1.931,2.426,2.924,3.411,3.868,4.267,4.581,4.819
4.45,-0.427,-0.399,-0.373,-0.326,-0.252,-0.147,0.008,0.239,0.566,0.986,1.468,1.98,2.489,2.998,3.493,3.967,4.393,4.743,5.01
4.5,-0.418,-0.388,-0.36,-0.307,-0.219,-0.091,0.081,0.317,0.637,1.044,1.516,2.028,2.554,3.077,3.581,4.069,4.512,4.884,5.17
4.55,-0.414,-0.385,-0.358,-0.307,-0.218,-0.071,0.138,0.404,0.735,1.137,1.597,2.093,2.62,3.148,3.663,4.16,4.613,4.997,5.287
4.6,-0.418,-0.386,-0.356,-0.304,-0.218,-0.07,0.157,0.462,0.829,1.242,1.696,2.177,2.686,3.208,3.727,4.225,4.679,5.063,5.346
4.65,-0.416,-0.388,-0.362,-0.315,-0.23,-0.082,0.151,0.472,0.872,1.319,1.783,2.257,2.747,3.251,3.76,4.248,4.693,5.07,5.348
4.7,-0.408,-0.384,-0.361,-0.32,-0.246,-0.107,0.126,0.455,0.863,1.327,1.815,2.302,2.784,3.27,3.758,4.228,4.657,5.022,5.297
4.75,-0.412,-0.385,-0.36,-0.318,-0.251,-0.126,0.092,0.418,0.83,1.295,1.787,2.289,2.781,3.26,3.729,4.179,4.59,4.944,5.22
4.8,-0.404,-0.381,-0.359,-0.322,-0.256,-0.138,0.063,0.368,0.771,1.236,1.731,2.237,2.74,3.225,3.686,4.12,4.515,4.857,5.135
4.85,-0.395,-0.37,-0.346,-0.31,-0.25,-0.141,0.05,0.339,0.721,1.176,1.672,2.181,2.686,3.177,3.64,4.068,4.451,4.783,5.056
4.9,-0.374,-0.351,-0.329,-0.293,-0.235,-0.132,0.046,0.321,0.687,1.124,1.612,2.127,2.638,3.131,3.599,4.028,4.403,4.723,4.984
4.95,-0.345,-0.321,-0.298,-0.264,-0.207,-0.108,0.063,0.325,0.678,1.103,1.578,2.087,2.602,3.098,3.567,3.998,4.367,4.672,4.912
5.0,-0.299,-0.276,-0.254,-0.219,-0.164,-0.069,0.092,0.342,0.684,1.1,1.567,2.068,2.58,3.076,3.545,3.971,4.332,4.62,4.829
5.05,-0.219,-0.197,-0.176,-0.145,-0.093,-0.001,0.152,0.386,0.711,1.113,1.572,2.065,2.57,3.063,3.525,3.939,4.285,4.55,4.731
5.1,-0.133,-0.105,-0.079,-0.044,0.004,0.089,0.236,0.459,0.763,1.145,1.587,2.07,2.567,3.052,3.499,3.888,4.212,4.454,4.613
5.15,-0.098,-0.041,0.009,0.061,0.121,0.209,0.348,0.555,0.838,1.194,1.614,2.079,2.564,3.037,3.459,3.814,4.108,4.33,4.487
5.2,-0.09,-0.011,0.056,0.133,0.223,0.33,0.475,0.672,0.931,1.261,1.656,2.098,2.561,3.013,3.402,3.716,3.978,4.191,4.35
5.25,-0.134,-0.028,0.057,0.154,0.269,0.411,0.582,0.787,1.034,1.334,1.7,2.117,2.556,2.979,3.329,3.602,3.836,4.044,4.207
5.3,-0.27,-0.117,-0.004,0.121,0.258,0.421,0.621,0.849,1.1,1.388,1.73,2.125,2.542,2.932,3.245,3.482,3.693,3.895,4.065
5.35,-0.367,-0.23,-0.126,0.011,0.18,0.376,0.598,0.85,1.122,1.41,1.735,2.11,2.508,2.872,3.152,3.363,3.557,3.751,3.933
5.4,-0.432,-0.329,-0.246,-0.129,0.032,0.248,0.51,0.795,1.093,1.401,1.722,2.076,2.453,2.797,3.056,3.247,3.429,3.617,3.748
5.45,-0.462,-0.399,-0.344,-0.252,-0.113,0.083,0.349,0.672,1.011,1.349,1.687,2.032,2.388,2.713,2.958,3.138,3.31,3.495,3.624
5.5,-0.465,-0.432,-0.401,-0.343,-0.24,-0.073,0.174,0.504,0.886,1.268,1.632,1.982,2.324,2.632,2.863,3.036,3.203,3.385,3.513
5.55,-0.468,-0.449,-0.431,-0.395,-0.326,-0.199,0.017,0.336,0.738,1.165,1.566,1.927,2.263,2.556,2.775,2.942,3.108,3.228,3.322
5.6,-0.467,-0.456,-0.445,-0.422,-0.377,-0.283,-0.108,0.186,0.596,1.055,1.49,1.87,2.203,2.486,2.695,2.859,3.025,3.145,3.239
5.65,-0.467,-0.459,-0.451,-0.436,-0.405,-0.339,-0.201,0.058,0.458,0.942,1.411,1.813,2.147,2.421,2.624,2.788,2.95,3.068,3.16
5.7,-0.466,-0.46,-0.454,-0.443,-0.419,-0.371,-0.268,-0.05,0.326,0.823,1.327,1.753,2.093,2.36,2.56,2.727,2.847,2.941,3.019
5.75,-0.468,-0.462,-0.456,-0.446,-0.428,-0.39,-0.307,-0.134,0.2,0.691,1.226,1.684,2.035,2.302,2.502,2.671,2.792,2.887,2.965
5.8,-0.466,-0.462,-0.458,-0.448,-0.431,-0.399,-0.33,-0.184,0.101,0.563,1.111,1.601,1.97,2.242,2.448,2.623,2.747,2.844,2.923
5.85,-0.466,-0.462,-0.458,-0.45,-0.434,-0.404,-0.343,-0.216,0.034,0.454,0.995,1.508,1.899,2.181,2.395,2.58,2.709,2.809,2.89
5.9,-0.466,-0.462,-0.458,-0.45,-0.436,-0.407,-0.35,-0.235,-0.01,0.373,0.892,1.414,1.827,2.122,2.346,2.538,2.671,2.772,2.854
5.95,-0.464,-0.46,-0.456,-0.449,-0.435,-0.409,-0.355,-0.245,-0.037,0.316,0.807,1.329,1.758,2.068,2.303,2.505,2.642,2.747,2.83
6.0,-0.462,-0.457,-0.452,-0.445,-0.431,-0.406,-0.355,-0.251,-0.053,0.279,0.744,1.255,1.694,2.021,2.269,2.478,2.619,2.724,2.81
6.1,-0.465,-0.456,-0.447,-0.434,-0.417,-0.39,-0.343,-0.25,-0.066,0.243,0.669,1.149,1.594,1.948,2.219,2.42,2.557,2.661,2.745
6.2,-0.472,-0.465,-0.458,-0.444,-0.417,-0.377,-0.318,-0.225,-0.06,0.223,0.63,1.092,1.528,1.888,2.146,2.331,2.46,2.56,2.641
6.3,-0.47,-0.468,-0.466,-0.46,-0.445,-0.41,-0.336,-0.212,-0.029,0.242,0.617,1.058,1.475,1.802,2.016,2.168,2.28,2.37,2.444
6.4,-0.472,-0.47,-0.468,-0.465,-0.457,-0.439,-0.392,-0.276,-0.054,0.26,0.635,1.035,1.398,1.661,1.835,1.958,2.054,2.132,2.199
6.5,-0.472,-0.471,-0.47,-0.468,-0.463,-0.45,-0.418,-0.34,-0.156,0.174,0.578,0.954,1.256,1.471,1.612,1.78,1.901,1.995,2.073
6.6,-0.473,-0.472,-0.471,-0.47,-0.466,-0.457,-0.434,-0.374,-0.234,0.038,0.419,0.779,1.052,1.243,1.39,1.578,1.709,1.809,1.891
6.7,-0.473,-0.473,-0.473,-0.471,-0.469,-0.463,-0.446,-0.402,-0.293,-0.075,0.245,0.571,0.824,1.008,1.168,1.388,1.533,1.642,1.729
6.8,-0.473,-0.473,-0.473,-0.472,-0.47,-0.467,-0.455,-0.423,-0.343,-0.176,0.083,0.364,0.597,0.783,0.965,1.196,1.346,1.457,1.546
6.9,-0.476,-0.475,-0.474,-0.473,-0.471,-0.468,-0.46,-0.437,-0.38,-0.257,-0.055,0.182,0.398,0.594,0.797,1.068,1.234,1.353,1.447
7.0,-0.476,-0.476,-0.476,-0.475,-0.472,-0.468,-0.459,-0.44,-0.397,-0.306,-0.148,0.051,0.255,0.455,0.675,0.938,1.101,1.219,1.311
7.1,-0.478,-0.478,-0.478,-0.477,-0.476,-0.472,-0.462,-0.44,-0.397,-0.317,-0.188,-0.016,0.169,0.356,0.564,0.817,0.976,1.092,1.183
7.2,-0.481,-0.481,-0.481,-0.48,-0.479,-0.476,-0.468,-0.447,-0.401,-0.319,-0.198,-0.047,0.109,0.26,0.451,0.681,0.831,0.942,1.03
7.3,-0.485,-0.484,-0.483,-0.483,-0.483,-0.481,-0.475,-0.46,-0.421,-0.343,-0.227,-0.092,0.032,0.155,0.323,0.542,0.687,0.795,0.882
7.4,-0.487,-0.487,-0.487,-0.487,-0.486,-0.485,-0.482,-0.471,-0.444,-0.384,-0.286,-0.17,-0.067,0.043,0.197,0.426,0.575,0.686,0.774
7.5,-0.491,-0.491,-0.491,-0.491,-0.491,-0.49,-0.488,-0.481,-0.463,-0.422,-0.35,-0.259,-0.166,-0.064,0.087,0.336,0.493,0.608,0.699
7.6,-0.497,-0.497,-0.497,-0.497,-0.497,-0.496,-0.494,-0.49,-0.478,-0.45,-0.4,-0.331,-0.249,-0.156,-0.001,0.242,0.397,0.511,0.601
7.7,-0.505,-0.504,-0.503,-0.503,-0.503,-0.503,-0.502,-0.498,-0.49,-0.471,-0.436,-0.384,-0.32,-0.229,-0.11,0.184,0.358,0.481,0.578
7.8,-0.513,-0.512,-0.511,-0.511,-0.511,-0.511,-0.51,-0.508,-0.502,-0.489,-0.464,-0.427,-0.375,-0.314,-0.169,0.167,0.354,0.485,0.585
7.9,-0.522,-0.522,-0.522,-0.521,-0.521,-0.521,-0.52,-0.519,-0.515,-0.505,-0.488,-0.464,-0.432,-0.386,-0.243,0.096,0.284,0.415,0.515
8.0,-0.534,-0.534,-0.534,-0.534,-0.534,-0.534,-0.533,-0.532,-0.529,-0.523,-0.513,-0.504,-0.485,-0.498,-0.301,0.09,0.292,0.43,0.534
8.1,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999
8.3,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999
8.5,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999
8.7,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999
