logT,logR_-8.0,logR_-7.5,logR_-7.0,logR_-6.5,logR_-6.0,logR_-5.5,logR_-5.0,logR_-4.5,logR_-4.0,logR_-3.5,logR_-3.0,logR_-2.5,logR_-2.0,logR_-1.5,logR_-1.0,logR_-0.5,logR_0.0,logR_0.5,logR_1.0
3.75,-0.446,-0.863,-1.061,-1.272,-1.487,-1.701,-1.899,-2.063,-2.163,-2.165,-2.071,-1.911,-1.712,-1.493,-1.264,-1.023,-0.771,-0.507,-0.226
3.8,-0.44,-0.511,-0.596,-0.724,-0.879,-1.044,-1.204,-1.335,-1.409,-1.408,-1.328,-1.185,-1.008,-0.811,-0.601,-0.381,-0.15,0.093,0.347
3.85,-0.436,-0.432,-0.428,-0.43,-0.451,-0.498,-0.56,-0.615,-0.642,-0.625,-0.559,-0.451,-0.309,-0.145,0.035,0.229,0.436,0.658,0.895
3.9,-0.448,-0.429,-0.411,-0.371,-0.299,-0.199,-0.093,-0.004,0.069,0.135,0.205,0.29,0.394,0.517,0.66,0.819,0.994,1.189,1.402
3.95,-0.451,-0.433,-0.416,-0.376,-0.29,-0.135,0.089,0.351,0.585,0.762,0.887,0.984,1.073,1.167,1.272,1.393,1.533,1.693,1.874
4.0,-0.443,-0.432,-0.421,-0.388,-0.31,-0.156,0.095,0.433,0.804,1.133,1.376,1.544,1.661,1.754,1.84,1.934,2.042,2.17,2.319
4.05,-0.431,-0.424,-0.417,-0.393,-0.33,-0.192,0.046,0.39,0.804,1.23,1.61,1.9,2.095,2.23,2.33,2.418,2.509,2.613,2.737
4.1,-0.426,-0.418,-0.41,-0.389,-0.337,-0.22,-0.009,0.31,0.719,1.175,1.636,2.041,2.355,2.575,2.723,2.833,2.927,3.021,3.129
4.15,-0.42,-0.411,-0.402,-0.384,-0.338,-0.236,-0.05,0.236,0.621,1.073,1.556,2.034,2.458,2.785,3.013,3.171,3.29,3.391,3.495
4.2,-0.421,-0.408,-0.395,-0.375,-0.334,-0.245,-0.079,0.184,0.545,0.981,1.467,1.973,2.459,2.884,3.212,3.439,3.602,3.727,3.838
4.25,-0.424,-0.408,-0.393,-0.371,-0.33,-0.247,-0.096,0.144,0.487,0.918,1.4,1.913,2.424,2.918,3.333,3.642,3.864,4.028,4.157
4.3,-0.422,-0.405,-0.389,-0.365,-0.325,-0.247,-0.105,0.124,0.454,0.879,1.364,1.877,2.401,2.929,3.404,3.793,4.079,4.291,4.454
4.35,-0.421,-0.402,-0.384,-0.354,-0.311,-0.238,-0.105,0.115,0.443,0.867,1.35,1.866,2.405,2.944,3.457,3.907,4.258,4.517,4.719
4.4,-0.417,-0.398,-0.38,-0.344,-0.292,-0.217,-0.091,0.12,0.445,0.873,1.362,1.885,2.422,2.977,3.517,4.006,4.41,4.714,4.946
4.45,-0.415,-0.396,-0.378,-0.338,-0.275,-0.186,-0.056,0.153,0.474,0.902,1.397,1.926,2.469,3.033,3.585,4.101,4.541,4.885,5.143
4.5,-0.412,-0.393,-0.375,-0.336,-0.264,-0.156,-0.008,0.209,0.531,0.958,1.454,1.983,2.535,3.099,3.66,4.192,4.653,5.023,5.298
4.55,-0.408,-0.394,-0.38,-0.344,-0.273,-0.15,0.029,0.271,0.604,1.033,1.526,2.052,2.605,3.166,3.729,4.265,4.735,5.116,5.392
4.6,-0.407,-0.394,-0.381,-0.348,-0.284,-0.161,0.035,0.313,0.676,1.113,1.603,2.122,2.667,3.217,3.77,4.296,4.761,5.14,5.412
4.65,-0.408,-0.396,-0.384,-0.356,-0.298,-0.18,0.019,0.313,0.702,1.161,1.655,2.167,2.695,3.228,3.76,4.265,4.717,5.091,5.363
4.7,-0.405,-0.395,-0.385,-0.361,-0.311,-0.204,-0.012,0.283,0.676,1.142,1.644,2.159,2.674,3.188,3.697,4.181,4.62,4.989,5.266
4.75,-0.404,-0.394,-0.384,-0.363,-0.32,-0.226,-0.05,0.233,0.619,1.077,1.574,2.09,2.605,3.112,3.606,4.075,4.504,4.869,5.152
4.8,-0.402,-0.393,-0.384,-0.365,-0.325,-0.242,-0.083,0.179,0.547,0.994,1.483,1.994,2.513,3.025,3.515,3.975,4.395,4.753,5.035
4.85,-0.402,-0.392,-0.382,-0.363,-0.325,-0.25,-0.106,0.135,0.48,0.914,1.4,1.908,2.426,2.943,3.439,3.898,4.309,4.653,4.926
4.9,-0.394,-0.386,-0.378,-0.361,-0.326,-0.256,-0.124,0.099,0.427,0.848,1.329,1.84,2.359,2.88,3.381,3.842,4.242,4.567,4.822
4.95,-0.392,-0.381,-0.37,-0.354,-0.322,-0.255,-0.129,0.082,0.396,0.808,1.285,1.795,2.316,2.835,3.338,3.798,4.184,4.483,4.714
5.0,-0.38,-0.371,-0.362,-0.345,-0.315,-0.253,-0.132,0.072,0.377,0.781,1.256,1.765,2.283,2.799,3.299,3.75,4.116,4.391,4.598
5.05,-0.354,-0.347,-0.34,-0.327,-0.299,-0.24,-0.126,0.072,0.371,0.769,1.238,1.742,2.252,2.756,3.241,3.675,4.023,4.278,4.471
5.1,-0.324,-0.317,-0.31,-0.296,-0.272,-0.221,-0.115,0.074,0.366,0.757,1.216,1.71,2.207,2.688,3.146,3.558,3.892,4.142,4.334
5.15,-0.31,-0.294,-0.279,-0.26,-0.235,-0.187,-0.092,0.083,0.361,0.738,1.185,1.663,2.138,2.587,3.01,3.401,3.731,3.991,4.19
5.2,-0.31,-0.286,-0.263,-0.236,-0.202,-0.15,-0.061,0.098,0.353,0.71,1.138,1.597,2.047,2.461,2.85,3.224,3.557,3.834,4.039
5.25,-0.325,-0.295,-0.267,-0.233,-0.19,-0.129,-0.035,0.113,0.345,0.673,1.078,1.516,1.94,2.324,2.683,3.044,3.384,3.676,3.884
5.3,-0.367,-0.328,-0.292,-0.25,-0.201,-0.135,-0.036,0.112,0.329,0.632,1.009,1.424,1.827,2.186,2.524,2.873,3.22,3.519,3.729
5.35,-0.391,-0.36,-0.331,-0.287,-0.23,-0.158,-0.059,0.088,0.3,0.587,0.94,1.332,1.714,2.053,2.375,2.716,3.067,3.364,3.539
5.4,-0.407,-0.385,-0.364,-0.331,-0.28,-0.203,-0.097,0.05,0.26,0.539,0.876,1.245,1.606,1.929,2.239,2.575,2.925,3.215,3.387
5.45,-0.416,-0.403,-0.39,-0.365,-0.324,-0.257,-0.153,-0.002,0.208,0.486,0.815,1.166,1.507,1.815,2.117,2.449,2.791,3.075,3.245
5.5,-0.419,-0.411,-0.403,-0.388,-0.359,-0.307,-0.215,-0.069,0.147,0.43,0.755,1.093,1.417,1.712,2.006,2.337,2.664,2.949,3.12
5.55,-0.42,-0.415,-0.41,-0.401,-0.383,-0.346,-0.272,-0.138,0.077,0.37,0.698,1.025,1.336,1.62,1.909,2.235,2.546,2.725,2.852
5.6,-0.42,-0.417,-0.414,-0.408,-0.396,-0.37,-0.316,-0.204,-0.002,0.296,0.636,0.96,1.26,1.539,1.825,2.14,2.439,2.614,2.739
5.65,-0.42,-0.418,-0.416,-0.412,-0.403,-0.385,-0.343,-0.256,-0.081,0.209,0.561,0.895,1.191,1.467,1.752,2.052,2.344,2.517,2.64
5.7,-0.421,-0.419,-0.417,-0.414,-0.407,-0.392,-0.36,-0.291,-0.146,0.12,0.477,0.824,1.127,1.402,1.685,1.971,2.142,2.264,2.36
5.75,-0.422,-0.42,-0.418,-0.415,-0.409,-0.398,-0.373,-0.316,-0.197,0.035,0.385,0.747,1.06,1.342,1.622,1.897,2.064,2.184,2.279
5.8,-0.421,-0.42,-0.419,-0.417,-0.411,-0.401,-0.38,-0.333,-0.232,-0.031,0.295,0.666,0.992,1.282,1.559,1.833,2.0,2.12,2.214
5.85,-0.421,-0.42,-0.419,-0.417,-0.413,-0.404,-0.385,-0.344,-0.257,-0.08,0.22,0.588,0.926,1.224,1.499,1.777,1.945,2.066,2.161
5.9,-0.421,-0.42,-0.419,-0.417,-0.414,-0.406,-0.389,-0.353,-0.275,-0.117,0.16,0.521,0.867,1.171,1.447,1.726,1.894,2.016,2.11
5.95,-0.42,-0.419,-0.418,-0.416,-0.413,-0.407,-0.392,-0.359,-0.288,-0.144,0.112,0.463,0.817,1.126,1.404,1.686,1.856,1.977,2.072
6.0,-0.418,-0.417,-0.416,-0.414,-0.411,-0.405,-0.392,-0.362,-0.297,-0.165,0.077,0.417,0.774,1.09,1.37,1.648,1.816,1.937,2.032
6.1,-0.421,-0.418,-0.415,-0.41,-0.404,-0.396,-0.384,-0.359,-0.304,-0.189,0.027,0.35,0.708,1.03,1.301,1.55,1.707,1.822,1.913
