logT,logR_-8.0,logR_-7.5,logR_-7.0,logR_-6.5,logR_-6.0,logR_-5.5,logR_-5.0,logR_-4.5,logR_-4.0,logR_-3.5,logR_-3.0,logR_-2.5,logR_-2.0,logR_-1.5,logR_-1.0,logR_-0.5,logR_0.0,logR_0.5,logR_1.0
3.75,-1.176,-1.291,-1.448,-1.637,-1.844,-2.056,-2.268,-2.468,-2.638,-2.751,-2.768,-2.679,-2.51,-2.284,-2.019,-1.713,-1.357,-0.954,-0.527
3.8,-1.064,-1.095,-1.128,-1.2,-1.315,-1.463,-1.626,-1.787,-1.925,-2.009,-2.019,-1.948,-1.805,-1.617,-1.4,-1.162,-0.899,-0.601,-0.258
3.85,-1.079,-1.071,-1.063,-1.056,-1.055,-1.069,-1.111,-1.17,-1.226,-1.256,-1.244,-1.181,-1.071,-0.923,-0.746,-0.547,-0.327,-0.086,0.186
3.9,-1.088,-1.076,-1.064,-1.042,-1.004,-0.94,-0.849,-0.746,-0.651,-0.572,-0.5,-0.424,-0.333,-0.222,-0.086,0.074,0.256,0.462,0.693
3.95,-1.064,-1.065,-1.066,-1.049,-1.011,-0.932,-0.793,-0.589,-0.336,-0.091,0.106,0.248,0.359,0.461,0.568,0.691,0.836,1.004,1.199
4.0,-0.875,-0.928,-0.988,-1.019,-1.009,-0.946,-0.808,-0.578,-0.261,0.105,0.449,0.718,0.91,1.048,1.16,1.268,1.386,1.521,1.68
4.05,-0.773,-0.796,-0.82,-0.861,-0.901,-0.897,-0.806,-0.601,-0.281,0.121,0.546,0.937,1.249,1.472,1.632,1.756,1.869,1.986,2.116
4.1,-0.77,-0.767,-0.764,-0.758,-0.75,-0.729,-0.672,-0.537,-0.286,0.08,0.515,0.964,1.376,1.71,1.956,2.131,2.266,2.383,2.499
4.15,-0.764,-0.753,-0.742,-0.728,-0.7,-0.638,-0.522,-0.353,-0.137,0.14,0.499,0.926,1.378,1.799,2.142,2.395,2.576,2.715,2.833
4.2,-0.772,-0.753,-0.735,-0.71,-0.674,-0.608,-0.477,-0.262,0.018,0.318,0.622,0.965,1.372,1.812,2.226,2.567,2.813,2.993,3.132
