logT,logR_-8.0,logR_-7.5,logR_-7.0,logR_-6.5,logR_-6.0,logR_-5.5,logR_-5.0,logR_-4.5,logR_-4.0,logR_-3.5,logR_-3.0,logR_-2.5,logR_-2.0,logR_-1.5,logR_-1.0,logR_-0.5,logR_0.0,logR_0.5,logR_1.0
3.75,-1.012,-1.137,-1.314,-1.515,-1.728,-1.944,-2.157,-2.351,-2.506,-2.592,-2.577,-2.47,-2.305,-2.107,-1.894,-1.673,-1.446,-1.213,-0.974
3.8,-0.843,-0.889,-0.941,-1.035,-1.169,-1.327,-1.493,-1.65,-1.774,-1.836,-1.823,-1.732,-1.583,-1.405,-1.212,-1.01,-0.799,-0.579,-0.35
3.85,-0.858,-0.856,-0.854,-0.852,-0.855,-0.88,-0.929,-0.991,-1.042,-1.063,-1.038,-0.966,-0.852,-0.709,-0.548,-0.373,-0.188,0.009,0.219
3.9,-0.859,-0.853,-0.847,-0.83,-0.788,-0.71,-0.603,-0.497,-0.41,-0.339,-0.274,-0.202,-0.116,-0.012,0.111,0.249,0.402,0.57,0.753
3.95,-0.851,-0.849,-0.847,-0.832,-0.791,-0.697,-0.531,-0.293,-0.03,0.197,0.363,0.481,0.574,0.662,0.755,0.858,0.974,1.108,1.262
4.0,-0.763,-0.79,-0.819,-0.825,-0.797,-0.716,-0.551,-0.286,0.063,0.434,0.751,0.981,1.141,1.254,1.342,1.424,1.515,1.62,1.744
4.05,-0.684,-0.702,-0.721,-0.748,-0.759,-0.714,-0.579,-0.334,0.017,0.437,0.861,1.239,1.516,1.698,1.824,1.919,2.002,2.091,2.194
4.1,-0.689,-0.687,-0.685,-0.68,-0.668,-0.632,-0.54,-0.353,-0.048,0.355,0.813,1.278,1.675,1.976,2.182,2.32,2.424,2.515,2.609
4.15,-0.687,-0.683,-0.679,-0.669,-0.643,-0.58,-0.458,-0.275,-0.026,0.311,0.735,1.211,1.686,2.1,2.41,2.624,2.773,2.887,2.987
4.2,-0.688,-0.681,-0.674,-0.664,-0.64,-0.579,-0.451,-0.236,0.051,0.379,0.743,1.171,1.65,2.121,2.532,2.842,3.055,3.21,3.331
4.25,-0.687,-0.679,-0.671,-0.657,-0.634,-0.58,-0.466,-0.259,0.049,0.43,0.83,1.231,1.659,2.123,2.593,2.984,3.274,3.484,3.641
4.3,-0.689,-0.679,-0.669,-0.651,-0.624,-0.573,-0.47,-0.28,0.019,0.418,0.87,1.323,1.748,2.186,2.648,3.085,3.447,3.714,3.915
4.35,-0.681,-0.675,-0.669,-0.65,-0.616,-0.561,-0.462,-0.284,0.004,0.402,0.871,1.361,1.843,2.303,2.747,3.19,3.593,3.913,4.155
4.4,-0.612,-0.629,-0.647,-0.64,-0.605,-0.544,-0.443,-0.27,0.01,0.405,0.878,1.387,1.901,2.4,2.88,3.327,3.742,4.096,4.371
4.45,-0.566,-0.576,-0.586,-0.591,-0.574,-0.518,-0.415,-0.242,0.038,0.433,0.908,1.423,1.95,2.484,3.0,3.478,3.907,4.275,4.574
4.5,-0.571,-0.563,-0.555,-0.529,-0.481,-0.412,-0.316,-0.157,0.108,0.492,0.963,1.478,2.009,2.557,3.096,3.613,4.069,4.451,4.759
4.55,-0.571,-0.564,-0.557,-0.531,-0.469,-0.352,-0.187,0.004,0.251,0.602,1.05,1.553,2.083,2.63,3.179,3.719,4.205,4.605,4.922
4.6,-0.571,-0.565,-0.559,-0.536,-0.483,-0.369,-0.16,0.133,0.456,0.796,1.193,1.657,2.17,2.705,3.252,3.799,4.301,4.719,5.037
4.65,-0.57,-0.565,-0.56,-0.541,-0.497,-0.397,-0.207,0.106,0.529,0.97,1.381,1.8,2.27,2.779,3.311,3.849,4.354,4.78,5.104
4.7,-0.568,-0.564,-0.56,-0.546,-0.509,-0.424,-0.255,0.026,0.435,0.942,1.459,1.928,2.374,2.846,3.353,3.873,4.37,4.796,5.122
4.75,-0.567,-0.563,-0.559,-0.546,-0.516,-0.444,-0.297,-0.047,0.321,0.796,1.347,1.907,2.418,2.892,3.375,3.873,4.355,4.777,5.105
4.8,-0.567,-0.561,-0.555,-0.544,-0.518,-0.457,-0.329,-0.106,0.23,0.672,1.193,1.766,2.343,2.879,3.372,3.855,4.323,4.738,5.07
4.85,-0.571,-0.562,-0.553,-0.539,-0.514,-0.461,-0.349,-0.149,0.163,0.583,1.084,1.636,2.221,2.804,3.339,3.827,4.29,4.699,5.032
4.9,-0.573,-0.563,-0.553,-0.534,-0.506,-0.456,-0.355,-0.172,0.121,0.527,1.018,1.557,2.134,2.726,3.287,3.798,4.263,4.668,4.999
4.95,-0.576,-0.565,-0.554,-0.533,-0.499,-0.444,-0.347,-0.176,0.104,0.503,0.988,1.523,2.099,2.685,3.248,3.775,4.247,4.648,4.968
5.0,-0.574,-0.566,-0.558,-0.536,-0.496,-0.433,-0.332,-0.163,0.111,0.505,0.987,1.525,2.097,2.679,3.239,3.768,4.24,4.634,4.932
5.05,-0.575,-0.567,-0.559,-0.54,-0.5,-0.428,-0.316,-0.141,0.136,0.531,1.016,1.552,2.12,2.697,3.254,3.775,4.235,4.611,4.875
5.1,-0.571,-0.567,-0.563,-0.545,-0.508,-0.433,-0.308,-0.118,0.168,0.569,1.056,1.59,2.155,2.723,3.273,3.777,4.216,4.562,4.786
5.15,-0.572,-0.568,-0.564,-0.549,-0.518,-0.446,-0.314,-0.109,0.194,0.603,1.092,1.622,2.176,2.729,3.263,3.746,4.158,4.471,4.675
5.2,-0.572,-0.568,-0.564,-0.553,-0.527,-0.462,-0.334,-0.12,0.195,0.612,1.1,1.622,2.157,2.688,3.198,3.659,4.047,4.341,4.542
5.25,-0.569,-0.568,-0.567,-0.557,-0.534,-0.479,-0.361,-0.153,0.162,0.576,1.053,1.56,2.074,2.584,3.072,3.516,3.893,4.184,4.394
5.3,-0.571,-0.569,-0.567,-0.559,-0.541,-0.495,-0.391,-0.199,0.099,0.492,0.95,1.439,1.937,2.43,2.903,3.34,3.715,4.016,4.237
5.35,-0.57,-0.569,-0.568,-0.562,-0.546,-0.509,-0.42,-0.25,0.019,0.382,0.814,1.284,1.769,2.252,2.719,3.153,3.533,3.845,4.079
5.4,-0.57,-0.569,-0.568,-0.563,-0.551,-0.52,-0.445,-0.299,-0.062,0.265,0.667,1.119,1.593,2.07,2.534,2.968,3.355,3.676,3.925
5.45,-0.57,-0.569,-0.568,-0.564,-0.555,-0.529,-0.467,-0.343,-0.138,0.154,0.527,0.959,1.423,1.895,2.357,2.793,3.186,3.514,3.699
5.5,-0.569,-0.569,-0.569,-0.566,-0.557,-0.537,-0.485,-0.381,-0.204,0.055,0.398,0.809,1.262,1.729,2.19,2.628,3.025,3.36,3.547
5.55,-0.569,-0.569,-0.569,-0.566,-0.56,-0.543,-0.5,-0.412,-0.26,-0.03,0.284,0.674,1.113,1.575,2.035,2.476,2.873,3.215,3.404
5.6,-0.569,-0.569,-0.569,-0.567,-0.562,-0.547,-0.512,-0.438,-0.308,-0.104,0.184,0.552,0.977,1.433,1.891,2.333,2.73,2.934,3.072
5.65,-0.571,-0.57,-0.569,-0.568,-0.563,-0.551,-0.522,-0.459,-0.347,-0.166,0.098,0.443,0.854,1.302,1.758,2.199,2.596,2.8,2.938
5.7,-0.571,-0.57,-0.569,-0.568,-0.564,-0.554,-0.53,-0.477,-0.379,-0.218,0.023,0.347,0.742,1.181,1.636,2.072,2.47,2.674,2.812
5.75,-0.57,-0.57,-0.57,-0.568,-0.565,-0.557,-0.536,-0.491,-0.406,-0.262,-0.041,0.262,0.641,1.071,1.521,1.954,2.34,2.541,2.678
5.8,-0.57,-0.57,-0.57,-0.569,-0.566,-0.559,-0.541,-0.502,-0.428,-0.299,-0.097,0.187,0.55,0.97,1.415,1.84,2.223,2.423,2.56
5.85,-0.57,-0.57,-0.57,-0.569,-0.567,-0.561,-0.546,-0.512,-0.446,-0.33,-0.145,0.121,0.468,0.878,1.314,1.731,2.114,2.314,2.451
5.9,-0.57,-0.57,-0.57,-0.569,-0.567,-0.562,-0.549,-0.52,-0.462,-0.357,-0.187,0.063,0.394,0.793,1.218,1.63,2.002,2.199,2.335
5.95,-0.57,-0.57,-0.57,-0.57,-0.568,-0.563,-0.552,-0.527,-0.475,-0.38,-0.223,0.011,0.327,0.714,1.127,1.532,1.899,2.095,2.23
6.0,-0.57,-0.57,-0.57,-0.57,-0.568,-0.564,-0.554,-0.532,-0.486,-0.399,-0.255,-0.035,0.268,0.639,1.041,1.438,1.802,1.997,2.131
6.1,-0.572,-0.571,-0.57,-0.57,-0.569,-0.566,-0.558,-0.54,-0.503,-0.431,-0.306,-0.112,0.163,0.504,0.884,1.262,1.635,1.833,1.968
6.2,-0.571,-0.571,-0.571,-0.57,-0.57,-0.567,-0.561,-0.547,-0.515,-0.454,-0.347,-0.174,0.073,0.387,0.74,1.11,1.5,1.702,1.839
6.3,-0.571,-0.571,-0.571,-0.571,-0.57,-0.568,-0.563,-0.551,-0.525,-0.473,-0.379,-0.225,-0.004,0.283,0.614,0.987,1.43,1.645,1.788
6.4,-0.573,-0.572,-0.571,-0.571,-0.571,-0.569,-0.565,-0.555,-0.533,-0.488,-0.405,-0.269,-0.069,0.192,0.509,0.904,1.353,1.569,1.713
6.5,-0.572,-0.572,-0.572,-0.572,-0.571,-0.57,-0.567,-0.558,-0.539,-0.5,-0.427,-0.306,-0.127,0.114,0.431,0.833,1.287,1.504,1.648
6.6,-0.573,-0.573,-0.573,-0.572,-0.572,-0.571,-0.568,-0.561,-0.544,-0.51,-0.446,-0.338,-0.177,0.052,0.369,0.768,0.972,1.111,1.216
6.7,-0.573,-0.573,-0.573,-0.573,-0.573,-0.572,-0.569,-0.563,-0.549,-0.519,-0.462,-0.367,-0.218,0.004,0.315,0.699,0.9,1.036,1.14
6.8,-0.574,-0.574,-0.574,-0.574,-0.574,-0.573,-0.571,-0.565,-0.553,-0.527,-0.477,-0.391,-0.251,-0.038,0.26,0.635,0.833,0.969,1.072
6.9,-0.575,-0.575,-0.575,-0.575,-0.575,-0.574,-0.572,-0.568,-0.557,-0.534,-0.49,-0.411,-0.279,-0.077,0.208,0.567,0.761,0.894,0.996
7.0,-0.577,-0.577,-0.577,-0.577,-0.576,-0.576,-0.574,-0.57,-0.561,-0.54,-0.501,-0.428,-0.305,-0.115,0.155,0.501,0.691,0.823,0.924
7.1,-0.578,-0.578,-0.578,-0.578,-0.578,-0.578,-0.576,-0.573,-0.565,-0.547,-0.511,-0.443,-0.33,-0.152,0.102,0.436,0.623,0.753,0.853
7.2,-0.581,-0.581,-0.581,-0.581,-0.58,-0.58,-0.579,-0.576,-0.569,-0.553,-0.52,-0.458,-0.353,-0.189,0.051,0.364,0.544,0.671,0.769
7.3,-0.583,-0.583,-0.583,-0.583,-0.583,-0.583,-0.582,-0.579,-0.573,-0.558,-0.529,-0.473,-0.378,-0.226,-0.005,0.295,0.471,0.596,0.692
7.4,-0.587,-0.587,-0.587,-0.587,-0.587,-0.586,-0.585,-0.583,-0.577,-0.565,-0.538,-0.488,-0.402,-0.265,-0.06,0.215,0.382,0.502,0.597
7.5,-0.591,-0.591,-0.591,-0.591,-0.591,-0.591,-0.59,-0.588,-0.583,-0.572,-0.548,-0.503,-0.427,-0.306,-0.121,0.143,0.306,0.424,0.517
7.6,-0.596,-0.596,-0.596,-0.596,-0.596,-0.596,-0.595,-0.593,-0.589,-0.579,-0.559,-0.52,-0.454,-0.35,-0.182,0.057,0.21,0.323,0.413
7.7,-0.603,-0.603,-0.603,-0.603,-0.603,-0.602,-0.602,-0.6,-0.597,-0.588,-0.571,-0.538,-0.485,-0.395,-0.264,-0.026,0.127,0.24,0.329
7.8,-0.611,-0.611,-0.611,-0.611,-0.611,-0.61,-0.61,-0.609,-0.606,-0.599,-0.584,-0.559,-0.518,-0.453,-0.332,-0.032,0.144,0.269,0.365
7.9,-0.621,-0.621,-0.621,-0.621,-0.621,-0.62,-0.62,-0.619,-0.617,-0.611,-0.6,-0.582,-0.558,-0.512,-0.4,-0.142,0.019,0.136,0.228
8.0,-0.633,-0.633,-0.633,-0.633,-0.633,-0.633,-0.633,-0.632,-0.63,-0.626,-0.619,-0.613,-0.6,-0.599,-0.501,-0.127,0.071,0.206,0.309
8.1,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999
8.3,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999
8.5,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999
8.7,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999,9.999
