logT,logR_-8.0,logR_-7.5,logR_-7.0,logR_-6.5,logR_-6.0,logR_-5.5,logR_-5.0,logR_-4.5,logR_-4.0,logR_-3.5,logR_-3.0,logR_-2.5,logR_-2.0,logR_-1.5,logR_-1.0,logR_-0.5,logR_0.0,logR_0.5,logR_1.0
3.75,-0.421,-0.836,-1.033,-1.244,-1.457,-1.667,-1.861,-2.016,-2.104,-2.087,-1.972,-1.788,-1.554,-1.285,-0.974,-0.616,-0.212,0.209,0.619
3.8,-0.4,-0.473,-0.561,-0.689,-0.845,-1.01,-1.166,-1.29,-1.352,-1.338,-1.242,-1.084,-0.889,-0.669,-0.428,-0.161,0.14,0.486,0.868
3.85,-0.392,-0.386,-0.38,-0.383,-0.407,-0.456,-0.518,-0.568,-0.587,-0.559,-0.482,-0.36,-0.204,-0.022,0.181,0.403,0.649,0.925,1.233
3.9,-0.412,-0.384,-0.358,-0.312,-0.237,-0.139,-0.037,0.051,0.125,0.196,0.274,0.369,0.485,0.627,0.791,0.978,1.188,1.423,1.683
3.95,-0.416,-0.391,-0.367,-0.316,-0.218,-0.056,0.169,0.426,0.657,0.832,0.959,1.063,1.163,1.271,1.397,1.546,1.72,1.918,2.14
4.0,-0.413,-0.393,-0.374,-0.332,-0.24,-0.069,0.194,0.536,0.902,1.223,1.463,1.631,1.756,1.862,1.968,2.088,2.227,2.389,2.573
4.05,-0.405,-0.389,-0.374,-0.339,-0.261,-0.104,0.156,0.517,0.936,1.357,1.724,2.004,2.2,2.343,2.458,2.568,2.684,2.816,2.967
4.1,-0.388,-0.376,-0.364,-0.335,-0.27,-0.133,0.105,0.451,0.875,1.333,1.779,2.168,2.471,2.689,2.844,2.968,3.081,3.195,3.322
4.15,-0.371,-0.357,-0.343,-0.318,-0.262,-0.143,0.069,0.386,0.793,1.252,1.728,2.188,2.592,2.905,3.129,3.291,3.418,3.53,3.644
4.2,-0.379,-0.352,-0.327,-0.294,-0.238,-0.131,0.057,0.344,0.725,1.17,1.652,2.144,2.61,3.013,3.325,3.545,3.707,3.835,3.949
4.25,-0.385,-0.357,-0.331,-0.293,-0.228,-0.117,0.062,0.325,0.679,1.109,1.585,2.087,2.582,3.052,3.444,3.738,3.953,4.114,4.242
4.3,-0.376,-0.351,-0.327,-0.29,-0.229,-0.118,0.065,0.328,0.671,1.087,1.555,2.052,2.56,3.063,3.513,3.883,4.157,4.363,4.523
4.35,-0.365,-0.338,-0.313,-0.275,-0.216,-0.115,0.057,0.318,0.67,1.091,1.555,2.048,2.563,3.076,3.564,3.992,4.329,4.58,4.777
4.4,-0.363,-0.331,-0.301,-0.255,-0.191,-0.093,0.066,0.315,0.666,1.102,1.58,2.081,2.589,3.11,3.618,4.085,4.474,4.77,4.997
4.45,-0.375,-0.337,-0.302,-0.244,-0.162,-0.05,0.112,0.353,0.692,1.124,1.614,2.131,2.647,3.17,3.682,4.172,4.598,4.933,5.185
4.5,-0.364,-0.332,-0.302,-0.247,-0.154,-0.016,0.169,0.42,0.757,1.178,1.663,2.181,2.714,3.24,3.756,4.254,4.698,5.059,5.329
4.55,-0.357,-0.328,-0.301,-0.251,-0.162,-0.015,0.196,0.479,0.836,1.26,1.733,2.24,2.775,3.305,3.822,4.316,4.76,5.132,5.404
4.6,-0.361,-0.329,-0.299,-0.248,-0.162,-0.017,0.203,0.506,0.892,1.336,1.811,2.306,2.826,3.35,3.862,4.341,4.768,5.129,5.399
4.65,-0.358,-0.331,-0.306,-0.259,-0.174,-0.025,0.203,0.516,0.914,1.375,1.862,2.355,2.858,3.365,3.861,4.316,4.716,5.058,5.325
4.7,-0.352,-0.328,-0.305,-0.265,-0.19,-0.048,0.184,0.509,0.914,1.377,1.87,2.368,2.861,3.35,3.822,4.251,4.622,4.943,5.21
4.75,-0.354,-0.329,-0.305,-0.264,-0.195,-0.068,0.153,0.48,0.893,1.356,1.846,2.345,2.837,3.312,3.761,4.164,4.511,4.813,5.08
4.8,-0.348,-0.326,-0.305,-0.269,-0.202,-0.081,0.123,0.434,0.841,1.307,1.799,2.299,2.792,3.263,3.697,4.077,4.399,4.684,4.945
4.85,-0.339,-0.315,-0.292,-0.258,-0.199,-0.087,0.109,0.402,0.789,1.247,1.742,2.247,2.741,3.211,3.638,4.0,4.297,4.561,4.813
4.9,-0.319,-0.297,-0.276,-0.244,-0.187,-0.084,0.097,0.377,0.748,1.188,1.678,2.189,2.689,3.158,3.582,3.932,4.205,4.446,4.687
4.95,-0.29,-0.268,-0.247,-0.216,-0.162,-0.064,0.106,0.37,0.725,1.152,1.629,2.137,2.642,3.112,3.528,3.866,4.118,4.337,4.563
