logT,logR_-8.0,logR_-7.5,logR_-7.0,logR_-6.5,logR_-6.0,logR_-5.5,logR_-5.0,logR_-4.5,logR_-4.0,logR_-3.5,logR_-3.0,logR_-2.5,logR_-2.0,logR_-1.5,logR_-1.0,logR_-0.5,logR_0.0,logR_0.5,logR_1.0
3.75,-0.423,-0.847,-1.045,-1.257,-1.472,-1.685,-1.882,-2.043,-2.138,-2.134,-2.034,-1.871,-1.668,-1.445,-1.209,-0.96,-0.695,-0.41,-0.102
3.8,-0.415,-0.488,-0.576,-0.705,-0.86,-1.026,-1.185,-1.313,-1.383,-1.378,-1.293,-1.147,-0.966,-0.765,-0.552,-0.327,-0.09,0.161,0.426
3.85,-0.409,-0.405,-0.401,-0.404,-0.426,-0.475,-0.537,-0.591,-0.615,-0.595,-0.526,-0.415,-0.27,-0.103,0.081,0.279,0.492,0.72,0.965
3.9,-0.423,-0.402,-0.382,-0.341,-0.267,-0.166,-0.062,0.027,0.099,0.165,0.237,0.324,0.43,0.556,0.702,0.865,1.047,1.249,1.468
3.95,-0.427,-0.407,-0.388,-0.346,-0.255,-0.096,0.131,0.391,0.623,0.797,0.92,1.018,1.108,1.204,1.312,1.438,1.583,1.749,1.937
4.0,-0.422,-0.408,-0.394,-0.358,-0.276,-0.116,0.141,0.482,0.852,1.176,1.416,1.58,1.696,1.79,1.879,1.976,2.089,2.222,2.376
4.05,-0.413,-0.403,-0.393,-0.366,-0.297,-0.153,0.094,0.443,0.86,1.284,1.659,1.942,2.134,2.267,2.368,2.458,2.552,2.66,2.787
4.1,-0.406,-0.397,-0.388,-0.365,-0.308,-0.185,0.035,0.363,0.778,1.236,1.692,2.09,2.399,2.614,2.76,2.871,2.966,3.062,3.173
4.15,-0.398,-0.388,-0.378,-0.359,-0.31,-0.204,-0.011,0.286,0.679,1.135,1.617,2.091,2.508,2.829,3.052,3.209,3.326,3.428,3.533
4.2,-0.401,-0.385,-0.37,-0.348,-0.304,-0.211,-0.04,0.228,0.597,1.039,1.528,2.033,2.514,2.933,3.255,3.477,3.638,3.762,3.872
4.25,-0.403,-0.386,-0.37,-0.345,-0.3,-0.212,-0.056,0.189,0.535,0.97,1.455,1.97,2.481,2.971,3.378,3.682,3.9,4.062,4.19
4.3,-0.401,-0.383,-0.366,-0.34,-0.296,-0.212,-0.063,0.171,0.505,0.929,1.414,1.929,2.455,2.981,3.452,3.835,4.116,4.326,4.487
4.35,-0.4,-0.379,-0.359,-0.328,-0.283,-0.205,-0.066,0.162,0.494,0.919,1.4,1.915,2.455,2.994,3.506,3.952,4.297,4.552,4.753
4.4,-0.398,-0.376,-0.355,-0.317,-0.263,-0.185,-0.053,0.165,0.495,0.925,1.413,1.935,2.47,3.025,3.563,4.05,4.45,4.75,4.98
4.45,-0.399,-0.377,-0.356,-0.312,-0.245,-0.153,-0.017,0.198,0.523,0.953,1.448,1.976,2.517,3.078,3.628,4.142,4.58,4.92,5.175
4.5,-0.396,-0.375,-0.355,-0.313,-0.238,-0.126,0.029,0.253,0.58,1.007,1.504,2.032,2.582,3.143,3.699,4.228,4.687,5.053,5.325
4.55,-0.393,-0.376,-0.36,-0.321,-0.248,-0.123,0.059,0.309,0.65,1.08,1.572,2.096,2.649,3.206,3.762,4.292,4.756,5.134,5.408
4.6,-0.393,-0.376,-0.36,-0.325,-0.257,-0.132,0.065,0.343,0.71,1.152,1.643,2.16,2.702,3.248,3.792,4.308,4.764,5.139,5.412
4.65,-0.394,-0.378,-0.363,-0.333,-0.271,-0.149,0.053,0.347,0.734,1.192,1.685,2.196,2.72,3.247,3.768,4.259,4.7,5.069,5.344
4.7,-0.388,-0.376,-0.364,-0.338,-0.284,-0.173,0.025,0.324,0.718,1.18,1.676,2.185,2.694,3.199,3.694,4.162,4.587,4.95,5.231
