logT,logR_-8.0,logR_-7.5,logR_-7.0,logR_-6.5,logR_-6.0,logR_-5.5,logR_-5.0,logR_-4.5,logR_-4.0,logR_-3.5,logR_-3.0,logR_-2.5,logR_-2.0,logR_-1.5,logR_-1.0,logR_-0.5,logR_0.0,logR_0.5,logR_1.0
3.75,-0.446,-0.865,-1.062,-1.274,-1.489,-1.703,-1.902,-2.066,-2.167,-2.169,-2.076,-1.918,-1.721,-1.504,-1.278,-1.043,-0.799,-0.546,-0.283
3.8,-0.44,-0.512,-0.599,-0.726,-0.881,-1.047,-1.207,-1.338,-1.412,-1.412,-1.334,-1.192,-1.015,-0.82,-0.614,-0.397,-0.17,0.067,0.314
3.85,-0.439,-0.435,-0.431,-0.433,-0.454,-0.501,-0.563,-0.618,-0.645,-0.629,-0.564,-0.456,-0.315,-0.153,0.025,0.215,0.418,0.636,0.867
3.9,-0.449,-0.431,-0.414,-0.375,-0.303,-0.202,-0.096,-0.006,0.066,0.131,0.202,0.286,0.388,0.51,0.65,0.806,0.978,1.168,1.376
3.95,-0.452,-0.435,-0.419,-0.38,-0.295,-0.14,0.085,0.346,0.582,0.758,0.883,0.979,1.067,1.16,1.263,1.381,1.518,1.674,1.851
4.0,-0.445,-0.434,-0.423,-0.391,-0.315,-0.162,0.088,0.426,0.797,1.127,1.371,1.539,1.656,1.747,1.832,1.924,2.029,2.154,2.299
4.05,-0.433,-0.426,-0.419,-0.397,-0.334,-0.199,0.038,0.38,0.794,1.22,1.603,1.895,2.09,2.224,2.323,2.41,2.499,2.601,2.722
4.1,-0.429,-0.421,-0.413,-0.393,-0.342,-0.227,-0.018,0.299,0.707,1.163,1.627,2.034,2.349,2.57,2.717,2.826,2.919,3.012,3.119
4.15,-0.423,-0.415,-0.407,-0.389,-0.344,-0.244,-0.06,0.225,0.607,1.06,1.545,2.026,2.452,2.78,3.008,3.166,3.284,3.385,3.489
4.2,-0.423,-0.412,-0.401,-0.382,-0.342,-0.255,-0.091,0.17,0.53,0.967,1.454,1.964,2.452,2.879,3.208,3.435,3.598,3.724,3.834
4.25,-0.424,-0.411,-0.398,-0.377,-0.339,-0.258,-0.111,0.129,0.472,0.904,1.388,1.903,2.417,2.913,3.329,3.639,3.861,4.026,4.155
4.3,-0.426,-0.409,-0.393,-0.37,-0.333,-0.258,-0.12,0.106,0.437,0.863,1.351,1.868,2.393,2.924,3.4,3.791,4.077,4.289,4.453
4.35,-0.426,-0.407,-0.389,-0.36,-0.319,-0.248,-0.119,0.098,0.425,0.85,1.336,1.855,2.398,2.939,3.454,3.906,4.257,4.515,4.718
4.4,-0.422,-0.404,-0.387,-0.351,-0.3,-0.227,-0.104,0.105,0.428,0.856,1.347,1.874,2.413,2.972,3.514,4.004,4.409,4.713,4.946
4.45,-0.418,-0.401,-0.385,-0.346,-0.284,-0.197,-0.069,0.138,0.458,0.887,1.383,1.914,2.46,3.027,3.581,4.1,4.54,4.885,5.143
4.5,-0.417,-0.399,-0.382,-0.344,-0.274,-0.169,-0.023,0.192,0.514,0.943,1.441,1.971,2.524,3.092,3.656,4.191,4.653,5.022,5.298
4.55,-0.413,-0.4,-0.387,-0.352,-0.283,-0.163,0.013,0.253,0.586,1.017,1.514,2.041,2.596,3.159,3.725,4.264,4.734,5.115,5.392
4.6,-0.412,-0.4,-0.388,-0.357,-0.295,-0.175,0.018,0.294,0.657,1.096,1.59,2.111,2.657,3.21,3.766,4.295,4.761,5.14,5.412
4.65,-0.413,-0.402,-0.391,-0.365,-0.309,-0.195,0.0,0.292,0.681,1.143,1.639,2.154,2.684,3.219,3.754,4.263,4.717,5.091,5.363
4.7,-0.408,-0.4,-0.392,-0.37,-0.322,-0.219,-0.032,0.259,0.65,1.117,1.623,2.141,2.659,3.177,3.689,4.177,4.618,4.989,5.267
4.75,-0.409,-0.4,-0.391,-0.372,-0.331,-0.241,-0.07,0.207,0.589,1.045,1.544,2.064,2.584,3.097,3.596,4.069,4.502,4.869,5.153
4.8,-0.407,-0.399,-0.391,-0.374,-0.336,-0.257,-0.102,0.154,0.516,0.96,1.449,1.963,2.486,3.005,3.502,3.968,4.393,4.752,5.036
4.85,-0.408,-0.399,-0.39,-0.373,-0.337,-0.265,-0.126,0.109,0.45,0.88,1.364,1.874,2.397,2.922,3.424,3.89,4.307,4.652,4.927
4.9,-0.402,-0.395,-0.388,-0.372,-0.339,-0.271,-0.143,0.073,0.396,0.815,1.295,1.806,2.329,2.858,3.366,3.835,4.24,4.566,4.823
4.95,-0.401,-0.392,-0.383,-0.368,-0.338,-0.274,-0.151,0.055,0.366,0.776,1.253,1.763,2.286,2.813,3.324,3.791,4.181,4.483,4.714
5.0,-0.394,-0.386,-0.378,-0.363,-0.335,-0.275,-0.157,0.043,0.346,0.75,1.224,1.734,2.255,2.778,3.286,3.744,4.115,4.391,4.598
5.05,-0.376,-0.369,-0.362,-0.352,-0.327,-0.27,-0.158,0.037,0.336,0.736,1.206,1.71,2.222,2.734,3.228,3.669,4.021,4.277,4.471
5.1,-0.351,-0.346,-0.341,-0.329,-0.309,-0.26,-0.158,0.03,0.322,0.716,1.179,1.673,2.171,2.659,3.128,3.55,3.889,4.141,4.334
5.15,-0.342,-0.33,-0.318,-0.304,-0.283,-0.24,-0.149,0.023,0.303,0.685,1.135,1.612,2.086,2.544,2.984,3.389,3.727,3.989,4.19
5.2,-0.341,-0.323,-0.306,-0.286,-0.26,-0.216,-0.133,0.021,0.279,0.64,1.07,1.527,1.974,2.399,2.812,3.206,3.55,3.831,4.038
5.25,-0.352,-0.331,-0.311,-0.285,-0.252,-0.202,-0.121,0.019,0.251,0.583,0.989,1.424,1.847,2.242,2.632,3.019,3.373,3.672,3.882
5.3,-0.382,-0.355,-0.33,-0.298,-0.261,-0.209,-0.126,0.009,0.221,0.524,0.902,1.313,1.713,2.088,2.46,2.842,3.207,3.514,3.726
5.35,-0.401,-0.379,-0.358,-0.326,-0.283,-0.227,-0.146,-0.016,0.184,0.466,0.818,1.206,1.586,1.942,2.301,2.679,3.051,3.358,3.536
5.4,-0.409,-0.395,-0.381,-0.357,-0.32,-0.262,-0.176,-0.05,0.142,0.411,0.742,1.106,1.466,1.807,2.157,2.533,2.907,3.207,3.383
