logT,logR_-8.0,logR_-7.5,logR_-7.0,logR_-6.5,logR_-6.0,logR_-5.5,logR_-5.0,logR_-4.5,logR_-4.0,logR_-3.5,logR_-3.0,logR_-2.5,logR_-2.0,logR_-1.5,logR_-1.0,logR_-0.5,logR_0.0,logR_0.5,logR_1.0
3.75,-1.189,-1.305,-1.464,-1.654,-1.863,-2.077,-2.292,-2.497,-2.673,-2.796,-2.829,-2.759,-2.616,-2.428,-2.216,-1.995,-1.766,-1.53,-1.286
3.8,-1.083,-1.115,-1.15,-1.222,-1.338,-1.486,-1.65,-1.813,-1.956,-2.05,-2.072,-2.016,-1.889,-1.72,-1.53,-1.327,-1.116,-0.895,-0.665
3.85,-1.096,-1.094,-1.092,-1.088,-1.087,-1.1,-1.139,-1.198,-1.258,-1.295,-1.292,-1.24,-1.144,-1.011,-0.853,-0.681,-0.496,-0.3,-0.09
3.9,-1.098,-1.093,-1.088,-1.076,-1.046,-0.985,-0.891,-0.783,-0.686,-0.609,-0.542,-0.474,-0.394,-0.296,-0.18,-0.045,0.105,0.27,0.451
3.95,-1.074,-1.08,-1.086,-1.078,-1.05,-0.983,-0.852,-0.647,-0.39,-0.141,0.056,0.194,0.298,0.387,0.478,0.577,0.69,0.819,0.968
4.0,-0.885,-0.942,-1.007,-1.045,-1.044,-0.995,-0.872,-0.655,-0.342,0.027,0.377,0.648,0.838,0.969,1.067,1.151,1.24,1.34,1.458
4.05,-0.787,-0.812,-0.839,-0.886,-0.935,-0.945,-0.871,-0.687,-0.387,0.005,0.433,0.835,1.161,1.383,1.532,1.64,1.729,1.815,1.913
4.1,-0.792,-0.791,-0.79,-0.789,-0.787,-0.778,-0.736,-0.625,-0.401,-0.057,0.369,0.832,1.261,1.607,1.856,2.022,2.14,2.237,2.329
4.15,-0.791,-0.786,-0.781,-0.772,-0.75,-0.697,-0.594,-0.443,-0.253,-0.003,0.339,0.766,1.234,1.678,2.036,2.293,2.469,2.598,2.703
4.2,-0.793,-0.785,-0.777,-0.765,-0.742,-0.688,-0.571,-0.37,-0.103,0.185,0.475,0.809,1.218,1.675,2.11,2.469,2.722,2.902,3.037
