logT,logR_-8.0,logR_-7.5,logR_-7.0,logR_-6.5,logR_-6.0,logR_-5.5,logR_-5.0,logR_-4.5,logR_-4.0,logR_-3.5,logR_-3.0,logR_-2.5,logR_-2.0,logR_-1.5,logR_-1.0,logR_-0.5,logR_0.0,logR_0.5,logR_1.0
3.75,-0.779,-0.911,-1.101,-1.307,-1.517,-1.725,-1.919,-2.078,-2.173,-2.165,-2.046,-1.839,-1.562,-1.223,-0.821,-0.376,0.078,0.511,0.906
3.8,-0.513,-0.577,-0.652,-0.771,-0.92,-1.083,-1.241,-1.371,-1.442,-1.435,-1.344,-1.181,-0.972,-0.727,-0.448,-0.119,0.27,0.708,1.147
3.85,-0.511,-0.503,-0.495,-0.495,-0.512,-0.556,-0.615,-0.666,-0.688,-0.663,-0.586,-0.463,-0.302,-0.112,0.106,0.352,0.638,0.979,1.366
3.9,-0.533,-0.504,-0.477,-0.433,-0.366,-0.273,-0.171,-0.077,0.003,0.08,0.163,0.263,0.384,0.532,0.706,0.906,1.135,1.4,1.705
3.95,-0.539,-0.512,-0.487,-0.439,-0.349,-0.202,0.007,0.261,0.503,0.695,0.837,0.952,1.061,1.179,1.316,1.478,1.666,1.883,2.131
4.0,-0.523,-0.507,-0.492,-0.453,-0.369,-0.213,0.032,0.36,0.725,1.063,1.325,1.514,1.655,1.775,1.895,2.029,2.184,2.363,2.567
4.05,-0.49,-0.481,-0.472,-0.446,-0.38,-0.24,0.003,0.348,0.762,1.188,1.572,1.878,2.098,2.261,2.395,2.521,2.654,2.803,2.97
4.1,-0.471,-0.458,-0.445,-0.419,-0.363,-0.243,-0.026,0.302,0.717,1.172,1.625,2.033,2.359,2.602,2.78,2.924,3.054,3.185,3.325
4.15,-0.449,-0.431,-0.414,-0.388,-0.334,-0.221,-0.021,0.278,0.665,1.113,1.586,2.052,2.47,2.804,3.051,3.233,3.378,3.506,3.631
4.2,-0.46,-0.425,-0.393,-0.354,-0.294,-0.187,0.002,0.285,0.65,1.071,1.532,2.015,2.485,2.898,3.227,3.466,3.643,3.784,3.906
4.25,-0.463,-0.43,-0.399,-0.353,-0.279,-0.158,0.029,0.297,0.646,1.057,1.504,1.978,2.462,2.925,3.325,3.634,3.86,4.031,4.168
4.3,-0.448,-0.418,-0.39,-0.349,-0.28,-0.158,0.042,0.321,0.666,1.07,1.514,1.983,2.459,2.939,3.38,3.753,4.037,4.251,4.419
4.35,-0.428,-0.398,-0.37,-0.329,-0.264,-0.154,0.033,0.313,0.676,1.093,1.542,2.011,2.491,2.968,3.426,3.843,4.184,4.445,4.649
4.4,-0.415,-0.38,-0.348,-0.3,-0.231,-0.125,0.047,0.311,0.671,1.106,1.578,2.063,2.544,3.023,3.489,3.927,4.312,4.618,4.851
4.45,-0.412,-0.373,-0.337,-0.277,-0.19,-0.069,0.106,0.356,0.699,1.126,1.609,2.117,2.615,3.101,3.569,4.019,4.43,4.77,5.033
