logT,logR_-8.0,logR_-7.5,logR_-7.0,logR_-6.5,logR_-6.0,logR_-5.5,logR_-5.0,logR_-4.5,logR_-4.0,logR_-3.5,logR_-3.0,logR_-2.5,logR_-2.0,logR_-1.5,logR_-1.0,logR_-0.5,logR_0.0,logR_0.5,logR_1.0
3.75,-0.423,-0.85,-1.049,-1.261,-1.476,-1.689,-1.887,-2.049,-2.146,-2.144,-2.047,-1.887,-1.688,-1.471,-1.245,-1.01,-0.766,-0.513,-0.25
3.8,-0.419,-0.492,-0.58,-0.709,-0.865,-1.031,-1.19,-1.32,-1.391,-1.387,-1.305,-1.161,-0.984,-0.788,-0.581,-0.365,-0.137,0.101,0.347
3.85,-0.416,-0.412,-0.408,-0.41,-0.432,-0.48,-0.542,-0.597,-0.622,-0.604,-0.536,-0.427,-0.285,-0.122,0.056,0.247,0.45,0.668,0.9
3.9,-0.426,-0.407,-0.389,-0.35,-0.276,-0.174,-0.068,0.021,0.092,0.158,0.228,0.313,0.416,0.539,0.68,0.837,1.009,1.199,1.407
3.95,-0.429,-0.411,-0.394,-0.354,-0.266,-0.108,0.12,0.381,0.614,0.788,0.911,1.007,1.094,1.187,1.291,1.41,1.547,1.704,1.881
4.0,-0.425,-0.412,-0.399,-0.366,-0.286,-0.129,0.125,0.466,0.837,1.163,1.403,1.568,1.684,1.774,1.859,1.951,2.057,2.182,2.329
4.05,-0.417,-0.408,-0.399,-0.374,-0.308,-0.167,0.074,0.421,0.837,1.262,1.642,1.929,2.12,2.252,2.351,2.437,2.526,2.629,2.751
4.1,-0.413,-0.404,-0.395,-0.374,-0.32,-0.2,0.016,0.338,0.75,1.208,1.67,2.073,2.385,2.601,2.746,2.854,2.946,3.039,3.148
4.15,-0.407,-0.398,-0.389,-0.371,-0.325,-0.222,-0.033,0.258,0.647,1.104,1.59,2.07,2.493,2.816,3.04,3.196,3.312,3.413,3.517
4.2,-0.406,-0.395,-0.384,-0.365,-0.324,-0.235,-0.068,0.196,0.562,1.006,1.499,2.009,2.496,2.92,3.244,3.467,3.628,3.752,3.862
4.25,-0.407,-0.394,-0.381,-0.36,-0.32,-0.239,-0.089,0.153,0.499,0.936,1.426,1.947,2.462,2.958,3.369,3.674,3.893,4.056,4.183
4.3,-0.409,-0.392,-0.376,-0.353,-0.315,-0.239,-0.099,0.129,0.463,0.892,1.384,1.905,2.436,2.969,3.443,3.829,4.111,4.321,4.483
4.35,-0.409,-0.39,-0.372,-0.343,-0.3,-0.228,-0.098,0.121,0.451,0.879,1.367,1.889,2.436,2.982,3.498,3.947,4.294,4.549,4.75
4.4,-0.409,-0.389,-0.37,-0.334,-0.282,-0.207,-0.083,0.128,0.454,0.884,1.377,1.906,2.448,3.011,3.555,4.046,4.447,4.748,4.978
4.45,-0.408,-0.389,-0.371,-0.331,-0.267,-0.179,-0.049,0.161,0.484,0.915,1.414,1.945,2.493,3.063,3.62,4.139,4.578,4.919,5.174
4.5,-0.406,-0.388,-0.371,-0.332,-0.262,-0.155,-0.007,0.212,0.539,0.97,1.471,2.002,2.557,3.126,3.691,4.225,4.686,5.053,5.325
4.55,-0.402,-0.389,-0.376,-0.341,-0.272,-0.153,0.022,0.265,0.605,1.04,1.54,2.069,2.625,3.188,3.753,4.289,4.756,5.134,5.408
4.6,-0.401,-0.389,-0.377,-0.346,-0.284,-0.165,0.026,0.298,0.664,1.11,1.607,2.131,2.677,3.228,3.78,4.303,4.764,5.14,5.412
4.65,-0.402,-0.391,-0.38,-0.354,-0.298,-0.184,0.01,0.298,0.684,1.144,1.643,2.16,2.689,3.221,3.75,4.25,4.698,5.07,5.345
4.7,-0.397,-0.389,-0.381,-0.359,-0.311,-0.207,-0.02,0.268,0.657,1.12,1.621,2.135,2.65,3.163,3.669,4.148,4.582,4.95,5.233
4.75,-0.397,-0.389,-0.381,-0.361,-0.32,-0.229,-0.058,0.219,0.6,1.054,1.547,2.059,2.571,3.075,3.566,4.03,4.454,4.816,5.105
4.8,-0.397,-0.389,-0.381,-0.364,-0.327,-0.246,-0.091,0.166,0.528,0.971,1.457,1.963,2.476,2.983,3.468,3.923,4.336,4.687,4.973
4.85,-0.395,-0.388,-0.381,-0.364,-0.329,-0.256,-0.115,0.121,0.461,0.89,1.372,1.877,2.389,2.9,3.388,3.839,4.238,4.571,4.848
4.9,-0.39,-0.384,-0.378,-0.364,-0.333,-0.266,-0.136,0.082,0.405,0.823,1.301,1.807,2.32,2.833,3.325,3.773,4.154,4.464,4.727
4.95,-0.389,-0.381,-0.373,-0.36,-0.333,-0.272,-0.151,0.057,0.369,0.778,1.251,1.756,2.269,2.779,3.27,3.712,4.073,4.358,4.603
5.0,-0.382,-0.375,-0.368,-0.354,-0.329,-0.275,-0.163,0.034,0.337,0.739,1.21,1.712,2.22,2.724,3.207,3.636,3.976,4.244,4.473
5.05,-0.363,-0.358,-0.353,-0.343,-0.32,-0.27,-0.168,0.018,0.312,0.707,1.171,1.666,2.162,2.648,3.112,3.525,3.854,4.115,4.34
5.1,-0.341,-0.336,-0.331,-0.32,-0.302,-0.259,-0.168,0.004,0.282,0.665,1.118,1.601,2.08,2.54,2.977,3.374,3.704,3.973,4.203
5.15,-0.331,-0.32,-0.309,-0.295,-0.276,-0.237,-0.157,-0.003,0.254,0.616,1.052,1.517,1.973,2.403,2.812,3.198,3.536,3.825,4.058
5.2,-0.33,-0.313,-0.297,-0.277,-0.252,-0.212,-0.138,-0.001,0.229,0.563,0.975,1.421,1.854,2.254,2.638,3.017,3.367,3.676,3.906
5.25,-0.341,-0.32,-0.3,-0.275,-0.244,-0.197,-0.123,0.002,0.206,0.509,0.896,1.32,1.732,2.107,2.47,2.843,3.206,3.527,3.752
5.3,-0.373,-0.345,-0.319,-0.289,-0.253,-0.202,-0.126,-0.005,0.183,0.459,0.817,1.218,1.611,1.967,2.315,2.684,3.057,3.379,3.597
5.35,-0.39,-0.368,-0.347,-0.316,-0.274,-0.22,-0.144,-0.026,0.152,0.41,0.745,1.124,1.498,1.838,2.175,2.541,2.92,3.232,3.412
5.4,-0.398,-0.384,-0.37,-0.346,-0.31,-0.254,-0.173,-0.057,0.116,0.364,0.681,1.038,1.391,1.718,2.048,2.414,2.791,3.088,3.263
5.45,-0.406,-0.397,-0.388,-0.37,-0.341,-0.293,-0.214,-0.096,0.075,0.318,0.624,0.961,1.296,1.61,1.935,2.301,2.667,2.952,3.123
5.5,-0.409,-0.403,-0.397,-0.386,-0.366,-0.328,-0.26,-0.147,0.027,0.269,0.567,0.891,1.21,1.513,1.834,2.201,2.546,2.736,2.867
5.55,-0.41,-0.406,-0.402,-0.395,-0.382,-0.356,-0.301,-0.199,-0.029,0.219,0.515,0.826,1.131,1.426,1.744,2.107,2.431,2.614,2.743
5.6,-0.409,-0.407,-0.405,-0.4,-0.391,-0.373,-0.332,-0.248,-0.091,0.156,0.458,0.763,1.06,1.35,1.668,2.016,2.324,2.502,2.628
5.65,-0.41,-0.408,-0.406,-0.403,-0.397,-0.383,-0.352,-0.286,-0.151,0.084,0.39,0.701,0.994,1.283,1.601,1.928,2.227,2.402,2.527
5.7,-0.411,-0.409,-0.407,-0.405,-0.399,-0.388,-0.364,-0.311,-0.199,0.012,0.317,0.635,0.933,1.223,1.537,1.845,2.023,2.149,2.247
5.75,-0.41,-0.409,-0.408,-0.406,-0.401,-0.393,-0.373,-0.329,-0.236,-0.053,0.238,0.565,0.87,1.166,1.474,1.768,1.942,2.065,2.162
5.8,-0.411,-0.41,-0.409,-0.407,-0.403,-0.395,-0.379,-0.342,-0.262,-0.103,0.165,0.493,0.807,1.111,1.41,1.703,1.876,2.0,2.096
5.85,-0.409,-0.409,-0.409,-0.408,-0.404,-0.397,-0.382,-0.35,-0.281,-0.141,0.105,0.427,0.748,1.057,1.349,1.646,1.821,1.945,2.042
5.9,-0.409,-0.409,-0.409,-0.408,-0.405,-0.399,-0.386,-0.357,-0.295,-0.169,0.057,0.371,0.697,1.008,1.297,1.594,1.769,1.893,1.99
5.95,-0.408,-0.408,-0.408,-0.407,-0.404,-0.399,-0.388,-0.362,-0.305,-0.19,0.02,0.323,0.655,0.966,1.252,1.554,1.73,1.856,1.953
6.0,-0.408,-0.407,-0.406,-0.405,-0.403,-0.398,-0.388,-0.365,-0.313,-0.206,-0.008,0.286,0.62,0.931,1.215,1.515,1.691,1.816,1.912
6.1,-0.412,-0.409,-0.406,-0.403,-0.398,-0.392,-0.382,-0.362,-0.318,-0.226,-0.049,0.23,0.559,0.865,1.137,1.417,1.586,1.707,1.802
6.2,-0.412,-0.411,-0.41,-0.407,-0.402,-0.393,-0.377,-0.351,-0.308,-0.224,-0.064,0.189,0.489,0.769,1.018,1.302,1.472,1.594,1.689
6.3,-0.411,-0.411,-0.411,-0.41,-0.408,-0.403,-0.39,-0.363,-0.311,-0.221,-0.068,0.152,0.403,0.641,0.88,1.181,1.357,1.482,1.579
6.4,-0.412,-0.412,-0.412,-0.411,-0.41,-0.408,-0.401,-0.384,-0.343,-0.256,-0.11,0.082,0.292,0.504,0.75,1.074,1.257,1.386,1.485
6.5,-0.413,-0.413,-0.413,-0.412,-0.411,-0.41,-0.405,-0.394,-0.367,-0.303,-0.182,-0.016,0.171,0.379,0.638,0.982,1.172,1.303,1.404
