logT,logR_-8.0,logR_-7.5,logR_-7.0,logR_-6.5,logR_-6.0,logR_-5.5,logR_-5.0,logR_-4.5,logR_-4.0,logR_-3.5,logR_-3.0,logR_-2.5,logR_-2.0,logR_-1.5,logR_-1.0,logR_-0.5,logR_0.0,logR_0.5,logR_1.0
3.75,-1.225,-1.377,-1.614,-1.782,-1.973,-2.172,-2.366,-2.546,-2.695,-2.789,-2.779,-2.64,-2.373,-1.999,-1.548,-1.061,-0.578,-0.121,0.291
3.8,-1.28,-1.318,-1.36,-1.406,-1.496,-1.625,-1.777,-1.932,-2.069,-2.154,-2.153,-2.052,-1.859,-1.597,-1.282,-0.908,-0.46,0.038,0.525
3.85,-1.341,-1.327,-1.314,-1.301,-1.293,-1.298,-1.325,-1.372,-1.422,-1.446,-1.423,-1.339,-1.199,-1.012,-0.787,-0.524,-0.206,0.188,0.656
3.9,-1.374,-1.345,-1.317,-1.291,-1.254,-1.201,-1.124,-1.026,-0.921,-0.82,-0.724,-0.621,-0.503,-0.362,-0.194,0.006,0.241,0.525,0.875
3.95,-1.335,-1.321,-1.308,-1.295,-1.259,-1.191,-1.077,-0.904,-0.672,-0.412,-0.179,0.006,0.154,0.289,0.431,0.592,0.779,1.0,1.263
4.0,-1.021,-1.073,-1.133,-1.202,-1.225,-1.188,-1.079,-0.884,-0.598,-0.246,0.117,0.434,0.677,0.862,1.017,1.166,1.327,1.51,1.722
4.05,-0.821,-0.86,-0.902,-0.949,-1.009,-1.047,-1.013,-0.864,-0.588,-0.209,0.218,0.636,0.999,1.282,1.497,1.671,1.831,1.995,2.174
4.1,-0.847,-0.837,-0.828,-0.819,-0.809,-0.793,-0.756,-0.665,-0.476,-0.166,0.242,0.694,1.137,1.523,1.828,2.06,2.245,2.41,2.572
4.15,-0.831,-0.809,-0.788,-0.768,-0.735,-0.67,-0.551,-0.382,-0.18,0.055,0.354,0.737,1.18,1.626,2.015,2.319,2.551,2.736,2.897
4.2,-0.865,-0.818,-0.775,-0.736,-0.685,-0.608,-0.467,-0.241,0.048,0.344,0.626,0.92,1.27,1.685,2.109,2.477,2.764,2.982,3.156
4.25,-0.872,-0.825,-0.782,-0.743,-0.681,-0.581,-0.423,-0.188,0.125,0.485,0.842,1.168,1.479,1.814,2.192,2.577,2.908,3.167,3.364
4.3,-0.84,-0.803,-0.768,-0.736,-0.682,-0.586,-0.418,-0.161,0.167,0.543,0.946,1.344,1.707,2.034,2.357,2.695,3.027,3.314,3.539
4.35,-0.801,-0.769,-0.739,-0.711,-0.663,-0.577,-0.423,-0.175,0.166,0.567,0.996,1.433,1.855,2.236,2.568,2.872,3.171,3.454,3.702
