logT,logR_-8.0,logR_-7.5,logR_-7.0,logR_-6.5,logR_-6.0,logR_-5.5,logR_-5.0,logR_-4.5,logR_-4.0,logR_-3.5,logR_-3.0,logR_-2.5,logR_-2.0,logR_-1.5,logR_-1.0,logR_-0.5,logR_0.0,logR_0.5,logR_1.0
3.75,-1.236,-1.4,-1.667,-1.84,-2.04,-2.252,-2.468,-2.68,-2.875,-3.032,-3.121,-3.109,-3.005,-2.841,-2.643,-2.43,-2.211,-1.985,-1.752
3.8,-1.347,-1.387,-1.43,-1.478,-1.569,-1.699,-1.856,-2.021,-2.179,-2.305,-2.371,-2.361,-2.273,-2.124,-1.946,-1.753,-1.55,-1.34,-1.121
3.85,-1.401,-1.4,-1.399,-1.398,-1.395,-1.398,-1.42,-1.467,-1.528,-1.58,-1.603,-1.58,-1.508,-1.395,-1.251,-1.088,-0.914,-0.728,-0.532
3.9,-1.408,-1.402,-1.396,-1.39,-1.375,-1.336,-1.261,-1.156,-1.049,-0.959,-0.886,-0.819,-0.746,-0.659,-0.553,-0.43,-0.291,-0.138,0.03
3.95,-1.358,-1.366,-1.375,-1.384,-1.374,-1.338,-1.251,-1.091,-0.859,-0.594,-0.362,-0.19,-0.068,0.029,0.118,0.213,0.317,0.435,0.569
4.0,-1.037,-1.102,-1.179,-1.272,-1.326,-1.326,-1.26,-1.107,-0.853,-0.511,-0.139,0.185,0.423,0.589,0.706,0.797,0.882,0.974,1.08
4.05,-0.834,-0.884,-0.941,-1.006,-1.092,-1.165,-1.18,-1.092,-0.879,-0.549,-0.139,0.285,0.667,0.955,1.144,1.274,1.372,1.459,1.549
4.1,-0.881,-0.883,-0.885,-0.887,-0.894,-0.906,-0.91,-0.877,-0.766,-0.538,-0.188,0.244,0.702,1.103,1.412,1.626,1.769,1.877,1.971
4.15,-0.894,-0.886,-0.878,-0.87,-0.853,-0.809,-0.721,-0.596,-0.452,-0.288,-0.067,0.251,0.664,1.118,1.53,1.848,2.068,2.223,2.341
4.2,-0.896,-0.885,-0.875,-0.865,-0.846,-0.799,-0.692,-0.502,-0.249,0.013,0.249,0.481,0.767,1.144,1.57,1.97,2.283,2.502,2.661
4.25,-0.897,-0.885,-0.874,-0.863,-0.842,-0.798,-0.701,-0.514,-0.227,0.13,0.486,0.787,1.05,1.325,1.664,2.066,2.436,2.724,2.937
4.3,-0.897,-0.885,-0.874,-0.863,-0.839,-0.794,-0.704,-0.532,-0.253,0.126,0.556,0.971,1.323,1.612,1.901,2.228,2.585,2.916,3.176
4.35,-0.882,-0.876,-0.87,-0.864,-0.84,-0.792,-0.7,-0.537,-0.271,0.106,0.557,1.029,1.475,1.861,2.185,2.483,2.799,3.12,3.404
4.4,-0.755,-0.781,-0.808,-0.837,-0.829,-0.785,-0.692,-0.531,-0.271,0.102,0.557,1.048,1.543,2.005,2.411,2.757,3.068,3.368,3.647
